source,channel,slice,wid,median_intensity
nyquist,HOECHST,15,PB100082_H07,0.04195744
nyquist,HOECHST,16,PB100082_H07,0.04135985
nyquist,HOECHST,17,PB100082_H07,0.040288255
nyquist,HOECHST,18,PB100082_H07,0.039786413
nyquist,HOECHST,19,PB100082_H07,0.039406255
nyquist,HOECHST,20,PB100082_H07,0.03895428
nyquist,HOECHST,21,PB100082_H07,0.039016612
nyquist,HOECHST,22,PB100082_H07,0.038694177
nyquist,HOECHST,23,PB100082_H07,0.038085766
nyquist,HOECHST,24,PB100082_H07,0.038248077
nyquist,HOECHST,25,PB100082_H07,0.03812223
nyquist,HOECHST,26,PB100082_H07,0.03802077
nyquist,HOECHST,27,PB100082_H07,0.037426673
nyquist,HOECHST,28,PB100082_H07,0.036281087
nyquist,HOECHST,29,PB100082_H07,0.036520712
nyquist,HOECHST,30,PB100082_H07,0.036664046
nyquist,HOECHST,31,PB100082_H07,0.035757884
nyquist,HOECHST,32,PB100082_H07,0.03542313
nyquist,HOECHST,33,PB100082_H07,0.034803852
nyquist,HOECHST,34,PB100082_H07,0.034600273
nyquist,HOECHST,35,PB100082_H07,0.034817167
nyquist,HOECHST,36,PB100082_H07,0.035214007
nyquist,HOECHST,37,PB100082_H07,0.034173697
nyquist,HOECHST,38,PB100082_H07,0.034480203
nyquist,HOECHST,39,PB100082_H07,0.034098215
nyquist,HOECHST,40,PB100082_H07,0.03371673
nyquist,HOECHST,41,PB100082_H07,0.033567555
nyquist,HOECHST,42,PB100082_H07,0.033424668
nyquist,HOECHST,43,PB100082_H07,0.033377543
nyquist,HOECHST,0,PB100083_A02,0.027660765
nyquist,HOECHST,1,PB100083_A02,0.028218675
nyquist,HOECHST,2,PB100083_A02,0.028427236
nyquist,HOECHST,3,PB100083_A02,0.028614713
nyquist,HOECHST,4,PB100083_A02,0.028224649
nyquist,HOECHST,5,PB100083_A02,0.028016623
nyquist,HOECHST,6,PB100083_A02,0.028583284
nyquist,HOECHST,7,PB100083_A02,0.028869191
nyquist,HOECHST,8,PB100083_A02,0.028756501
nyquist,HOECHST,9,PB100083_A02,0.029069696
nyquist,HOECHST,10,PB100083_A02,0.028899744
nyquist,HOECHST,11,PB100083_A02,0.028172672
nyquist,HOECHST,12,PB100083_A02,0.027704274
nyquist,HOECHST,13,PB100083_A02,0.027457688
nyquist,HOECHST,14,PB100083_A02,0.027847234
nyquist,HOECHST,15,PB100083_A02,0.027978987
nyquist,HOECHST,16,PB100083_A02,0.027846929
nyquist,HOECHST,17,PB100083_A02,0.027268238
nyquist,HOECHST,18,PB100083_A02,0.027013805
nyquist,HOECHST,19,PB100083_A02,0.027089607
nyquist,HOECHST,20,PB100083_A02,0.026555607
nyquist,HOECHST,21,PB100083_A02,0.025927158
nyquist,HOECHST,22,PB100083_A02,0.025273312
nyquist,HOECHST,23,PB100083_A02,0.02468976
nyquist,HOECHST,24,PB100083_A02,0.02468229
nyquist,HOECHST,25,PB100083_A02,0.024793873
nyquist,HOECHST,26,PB100083_A02,0.024984319
nyquist,HOECHST,27,PB100083_A02,0.024807038
nyquist,HOECHST,28,PB100083_A02,0.024338208
nyquist,HOECHST,29,PB100083_A02,0.023815062
nyquist,HOECHST,30,PB100083_A02,0.023072947
nyquist,HOECHST,31,PB100083_A02,0.022066198
nyquist,HOECHST,32,PB100083_A02,0.023421308
nyquist,HOECHST,33,PB100083_A02,0.02348148
nyquist,HOECHST,34,PB100083_A02,0.022069521
nyquist,HOECHST,35,PB100083_A02,0.022794088
nyquist,HOECHST,36,PB100083_A02,0.020820512
nyquist,HOECHST,37,PB100083_A02,0.020746978
