well,z,channel,focus_laplacian_var,focus_normalized_var
B05,4,SYTO,27076.189453125,967.5664742893531
B05,5,CONC,8444.822265625,199.149739005319
B05,5,HOECHST,5652.259765625,171.1625668721242
B05,5,MITO,84446.515625,2718.5051943445915
B05,5,PHAandWGA,37628.140625,1263.838241349583
B05,5,SYTO,28847.611328125,949.9207404161408
B05,6,CONC,8631.5693359375,193.87303918858646
B05,6,HOECHST,5828.6142578125,167.53003326557544
B05,6,MITO,85819.03125,2701.0579263188515
B05,6,PHAandWGA,38692.41015625,1244.8958181372009
B05,6,SYTO,29739.3046875,921.7341248152061
B05,7,CONC,8826.5751953125,188.35519934681147
B05,7,HOECHST,5945.60888671875,162.150032724016
B05,7,MITO,87577.71875,2659.407901984218
B05,7,PHAandWGA,39590.31640625,1221.413294567446
B05,7,SYTO,30715.859375,892.0537967059314
B05,8,CONC,8937.708984375,182.86746351954258
B05,8,HOECHST,6035.03369140625,157.6190810759323
B05,8,MITO,89329.375,2620.9813737904146
B05,8,PHAandWGA,41389.8203125,1198.3722482079254
B05,8,SYTO,31498.33203125,858.1057885097857
B05,9,CONC,8980.59375,177.02669392081182
B05,9,HOECHST,6134.08935546875,152.4350344665184
B05,9,MITO,90096.890625,2573.7360651578274
B05,9,PHAandWGA,41865.0,1166.3194433943445
B05,9,SYTO,31717.671875,824.2592193329413
B05,10,CONC,9063.3046875,171.06654335314602
B05,10,HOECHST,6186.244140625,146.95004377567722
B05,10,MITO,92036.234375,2514.698003523711
B05,10,PHAandWGA,42462.4375,1134.1028114440041
B05,10,SYTO,32346.0703125,789.2923686781606
B05,11,CONC,9164.033203125,165.05347202297955
B05,11,HOECHST,6244.9892578125,141.34310430180392
B05,11,MITO,93056.15625,2464.9824048404553
B05,11,PHAandWGA,42970.265625,1102.3254939744706
B05,11,SYTO,32579.115234375,758.0052979996655
B05,12,CONC,9194.130859375,159.22377909920124
B05,12,HOECHST,6307.751953125,136.34692948328046
B05,12,MITO,94244.703125,2404.572326432292
B05,12,PHAandWGA,42671.984375,1072.4096829264229
B05,12,SYTO,32052.923828125,725.774494131718
B05,13,CONC,9278.5771484375,153.16441703533127
B05,13,HOECHST,6336.484375,131.52432412278625
B05,13,MITO,95143.3515625,2334.782169327285
B05,13,PHAandWGA,43299.1953125,1039.1882729050055
B05,13,SYTO,32409.58203125,697.4755747698193
B05,14,CONC,9286.296875,147.11306386982073
B05,14,HOECHST,6426.916015625,127.10718981164797
B05,14,MITO,95422.5703125,2268.2518694550854
B05,14,PHAandWGA,43668.1171875,1007.6199416104178
B05,14,SYTO,32286.7109375,667.2796119508354
B05,15,CONC,9406.85546875,141.39184275823877
B05,15,HOECHST,6490.66015625,122.2781629076493
B05,15,MITO,96974.125,2201.3986055874975
B05,15,PHAandWGA,43580.8828125,975.8082042791128
B05,15,SYTO,32293.5703125,635.6850970536434
B06,0,CONC,6473.076171875,118.4026152691091
B06,0,HOECHST,4020.84716796875,88.90284251325832
B06,0,MITO,68558.765625,1669.3876914206342
B06,0,PHAandWGA,26965.60546875,765.8186761753523
B06,0,SYTO,18687.802734375,585.2464920518552
B06,1,CONC,7002.9560546875,155.02328045170265
B06,1,HOECHST,4271.001953125,110.48229838889374
B06,1,MITO,70854.796875,1989.4972584177733
B06,1,PHAandWGA,28126.826171875,930.2550744882093
B06,1,SYTO,19979.84375,742.8363714894298
B06,2,CONC,7771.0634765625,209.4081267900844
B06,2,HOECHST,4735.5234375,148.30728382210862
B06,2,MITO,75491.0,2393.984392683256
B06,2,PHAandWGA,30723.0703125,1160.0063701785298
B06,2,SYTO,22076.41796875,979.925622324019
B06,3,CONC,8430.685546875,241.36174491152823
B06,3,HOECHST,5116.1171875,176.13730644220786
B06,3,MITO,79360.0703125,2656.1659965051813
B06,3,PHAandWGA,32627.40625,1312.051127897677
B06,3,SYTO,24708.69140625,1121.4724010159796
B06,4,CONC,9040.55859375,254.25200523433537
B06,4,HOECHST,5508.0927734375,192.35914874969396
B06,4,MITO,83013.40625,2831.4038329784676
B06,4,PHAandWGA,34451.7578125,1386.4829983601014
B06,4,SYTO,26696.69921875,1177.1831080921222
B06,5,CONC,9510.9814453125,256.36739886832123
B06,5,HOECHST,5755.00146484375,195.4205520551163
B06,5,MITO,87431.3203125,2939.3763720031484
B06,5,PHAandWGA,36716.1484375,1420.7024286975857
B06,5,SYTO,28839.34375,1178.0861722103305
B06,6,CONC,9857.654296875,255.0389939040458
B06,6,HOECHST,5972.072265625,194.98550391607827
B06,6,MITO,91014.0625,2985.5023169483097
B06,6,PHAandWGA,38597.82421875,1426.5919691615843
B06,6,SYTO,30619.234375,1153.737021271138
B06,7,CONC,10148.1220703125,250.66719821510807
B06,7,HOECHST,6210.0791015625,193.41930173282825
B06,7,MITO,93510.40625,2989.484001342642
B06,7,PHAandWGA,40794.65625,1407.4924872622958
B06,7,SYTO,32333.37890625,1123.46386502478
B06,8,CONC,10440.53515625,244.04631666099954
B06,8,HOECHST,6417.65185546875,188.62888082652904
B06,8,MITO,95442.109375,2947.711764512129
B06,8,PHAandWGA,41745.1328125,1381.431781873244
B06,8,SYTO,33742.21875,1081.533769686755
B06,9,CONC,10597.1328125,235.989311367147
B06,9,HOECHST,6511.5673828125,182.4257426444774
B06,9,MITO,98973.9375,2903.7357968346987
B06,9,PHAandWGA,43199.03125,1345.347882810803
B06,9,SYTO,34220.9375,1033.5405378510688
B06,10,CONC,10741.494140625,227.2910617625808
B06,10,HOECHST,6648.7451171875,176.58040638696488
B06,10,MITO,99904.9921875,2849.1102291480324
B06,10,PHAandWGA,44320.6640625,1306.031296854696
B06,10,SYTO,35721.81640625,983.8540786029522
B06,11,CONC,10796.548828125,219.36985243690032
B06,11,HOECHST,6759.67138671875,170.56504686691002
B06,11,MITO,102871.78125,2801.5077514496593
B06,11,PHAandWGA,45760.4921875,1270.1266722211415
B06,11,SYTO,35730.46875,938.5729798903816
B06,12,CONC,10923.0478515625,211.63409667685994
B06,12,HOECHST,6816.17333984375,164.76071038758113
B06,12,MITO,103529.25,2747.9082710539033
B06,12,PHAandWGA,46440.0,1236.863642888872
B06,12,SYTO,36631.7578125,901.0380913970182
B06,13,CONC,10998.736328125,203.6012603309883
B06,13,HOECHST,6929.1748046875,159.059182271486
B06,13,MITO,105745.265625,2684.250548954209
B06,13,PHAandWGA,46468.3828125,1197.9086060057625
B06,13,SYTO,36127.4609375,860.0599003624258
B06,14,CONC,11141.3515625,196.45286538069942
B06,14,HOECHST,6999.86767578125,153.49130777189768
B06,14,MITO,106792.03125,2621.431229737387
B06,14,PHAandWGA,47461.0703125,1164.9967935907823
B06,14,SYTO,36646.83984375,823.070069273714
B06,15,CONC,11203.806640625,189.06922825187138
B06,15,HOECHST,7081.5751953125,147.75953477720415
B06,15,MITO,107429.8359375,2564.174570713664
B06,15,PHAandWGA,47734.6953125,1137.2112194193005
B06,15,SYTO,36497.9921875,792.7483740956676
B07,0,CONC,3709.52099609375,114.158507021063
B07,0,HOECHST,1622.790771484375,34.64539269716344
B07,0,MITO,42629.96875,2412.0059002836974
B07,0,PHAandWGA,9531.6064453125,493.36239447098603
B07,0,SYTO,4652.3056640625,222.63766966115054
B07,1,CONC,3884.546875,129.3377242925118
B07,1,HOECHST,1702.015625,40.401894216036595
B07,1,MITO,43235.390625,2617.141357102863
B07,1,PHAandWGA,10389.6357421875,553.8653891547957
B07,1,SYTO,4941.14404296875,251.67372314561314
B07,2,CONC,4087.111328125,143.6448674584311
B07,2,HOECHST,1778.422607421875,45.92204663724296
B07,2,MITO,45331.28515625,2822.742625994495
B07,2,PHAandWGA,11311.26171875,612.0266173624774
B07,2,SYTO,5224.5986328125,279.6780251918761
B07,3,CONC,4259.078125,156.43932887449924
B07,3,HOECHST,1887.9910888671875,50.85468568475038
B07,3,MITO,46702.7109375,2975.4072590416026
B07,3,PHAandWGA,12367.39453125,666.3202370420851
B07,3,SYTO,5499.4560546875,304.0227939336419
B07,4,CONC,4457.61376953125,167.09966209443772
B07,4,HOECHST,1977.1534423828125,54.87032632164978
B07,4,MITO,48258.15625,3123.8078972446638
B07,4,PHAandWGA,13410.8125,710.5307186898497
B07,4,SYTO,5802.9072265625,323.4855299743088
B07,5,CONC,4640.1201171875,175.50901895799078
B07,5,HOECHST,2050.7099609375,57.75968100682704
B07,5,MITO,50042.4296875,3199.910405460406
B07,5,PHAandWGA,14172.3671875,738.4361496603299
B07,5,SYTO,6076.310546875,336.91789909734734
B07,6,CONC,4784.63671875,179.94753131929926
B07,6,HOECHST,2114.2568359375,59.30107719032201
B07,6,MITO,52025.171875,3246.4621438820013
B07,6,PHAandWGA,14663.328125,752.4770968769423
B07,6,SYTO,6291.55712890625,342.56864779001825
B07,7,CONC,4901.6630859375,181.83008734918732
B07,7,HOECHST,2149.906005859375,59.43717808660873
B07,7,MITO,52226.28125,3237.7620341655816
B07,7,PHAandWGA,14944.1123046875,754.3684321876713
B07,7,SYTO,6411.78564453125,344.20447770815554
B07,8,CONC,4998.42578125,182.4352285425925
B07,8,HOECHST,2200.583984375,59.21693261862483
