plate,kind,well,z,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_expert,n_pred,depth_um
PB000139,cell,G08,7,HCT116,abemaciclib,0.5262689739317529,0.4137301671486075,0.723473626240471,0.4225352112676056,0.4,0.410958904109589,30,45,41,75,71,35
PB000139,cell,G08,9,HCT116,abemaciclib,0.49642154357811763,0.3939247014731093,0.7335726519691067,0.4426229508196721,0.40298507462686567,0.421875,27,40,34,67,61,45
PB000139,cell,J06,1,HCT116,SN-38,0.6792827885310417,0.3375922064696479,0.7001292701685808,0.23076923076923078,0.21428571428571427,0.22222222222222224,3,11,10,14,13,5
PB000139,cell,J06,11,HCT116,SN-38,0.2803433506124664,0.209941775998166,0.7731874933406567,0.3125,0.18518518518518517,0.2325581395348837,5,22,11,27,16,55
PB000139,cell,J06,3,HCT116,SN-38,0.607910009479988,0.2860104236425762,0.6704466954593928,0.2608695652173913,0.23076923076923078,0.24489795918367346,6,20,17,26,23,15
PB000139,cell,J06,5,HCT116,SN-38,0.4286782015365138,0.29840346544804547,0.6725609851901596,0.3333333333333333,0.2692307692307692,0.2978723404255319,7,19,14,26,21,25
PB000139,cell,J06,7,HCT116,SN-38,0.38728810012138465,0.2836683097694213,0.6605873067235027,0.37037037037037035,0.30303030303030304,0.3333333333333333,10,23,17,33,27,35
PB000139,cell,J06,9,HCT116,SN-38,0.3114459778689544,0.2973458419768591,0.6144972338690906,0.29411764705882354,0.23809523809523808,0.2631578947368421,5,16,12,21,17,45
PB000139,cell,J15,1,HT29,abemaciclib,0.6956645774074727,0.6233811310482764,0.7309566643161477,0.7333333333333333,0.6875,0.7096774193548386,11,5,4,16,15,5
PB000139,cell,J15,11,HT29,abemaciclib,0.3744074686094057,0.3718182104558947,0.7028329305027384,0.4,0.3333333333333333,0.3636363636363636,4,8,6,12,10,55
PB000139,cell,J15,3,HT29,abemaciclib,0.7647800766350181,0.5067035427418701,0.7019314022488448,0.5555555555555556,0.5434782608695652,0.5494505494505495,25,21,20,46,45,15
PB000139,cell,J15,5,HT29,abemaciclib,0.6684086277516595,0.45154258818463255,0.7075389441646185,0.4318181818181818,0.4222222222222222,0.4269662921348315,19,26,25,45,44,25
PB000139,cell,J15,7,HT29,abemaciclib,0.5078648936727883,0.4046981542452446,0.6520475863227341,0.43902439024390244,0.42857142857142855,0.4337349397590361,18,24,23,42,41,35
PB000139,cell,J15,9,HT29,abemaciclib,0.423614684235252,0.3473462572741039,0.6329913536740016,0.1875,0.17647058823529413,0.1818181818181818,3,14,13,17,16,45
PB000139,nuclei,C03,1,HCT116,binimetinib,0.4887542767401425,0.4554203796021861,0.727112592810047,0.5333333333333333,0.5333333333333333,0.5333333333333333,8,7,7,15,15,5
PB000139,nuclei,C03,11,HCT116,binimetinib,0.06745270085001372,0.19350393700787402,0.7740157480314961,0.3333333333333333,0.25,0.28571428571428575,1,3,2,4,3,55
PB000139,nuclei,C03,3,HCT116,binimetinib,0.3197456667537671,0.30003326197109603,0.7491866359500562,0.22580645161290322,0.21875,0.2222222222222222,7,25,24,32,31,15
PB000139,nuclei,C03,5,HCT116,binimetinib,0.27877234606747275,0.24713714832844982,0.6847133880508045,0.19230769230769232,0.18518518518518517,0.18867924528301885,5,22,21,27,26,25
