well,z,channel,focus_laplacian_var,focus_normalized_var
B09,12,PHAandWGA,34015.7109375,1373.2842990461227
B09,12,SYTO,21989.1953125,751.1921009004029
B09,13,CONC,6618.76171875,174.11532368627283
B09,13,HOECHST,4357.89111328125,124.46742623014852
B09,13,MITO,71597.0859375,2981.8140172151
B09,13,PHAandWGA,33529.33984375,1319.1442580890712
B09,13,SYTO,21713.033203125,714.0949933782642
B09,14,CONC,6677.05908203125,167.37879917240232
B09,14,HOECHST,4410.51953125,118.93605730818734
B09,14,MITO,72525.09375,2870.132793683105
B09,14,PHAandWGA,33700.76171875,1271.1002981769211
B09,14,SYTO,21509.9453125,678.3972938897531
B09,15,CONC,6770.92578125,160.42525626792937
B09,15,HOECHST,4485.64111328125,113.56969394358468
B09,15,MITO,72901.5703125,2747.9269735029416
B09,15,PHAandWGA,34098.5234375,1211.9803529980034
B09,15,SYTO,21614.90234375,641.97068199795
B10,0,CONC,3780.677978515625,111.96921811895189
B10,0,HOECHST,2664.58544921875,91.51331399556662
B10,0,MITO,46874.1796875,2196.119269756365
B10,0,PHAandWGA,18229.98828125,955.6554962336003
B10,0,SYTO,9735.794921875,562.3824737556567
B10,1,CONC,4271.646484375,166.98898791697758
B10,1,HOECHST,2944.939453125,129.65273654151247
B10,1,MITO,49792.265625,2748.865636333264
B10,1,PHAandWGA,20200.0546875,1278.0969933205304
B10,1,SYTO,12204.052734375,829.1793166959036
B10,2,CONC,4830.7275390625,221.0957185073403
B10,2,HOECHST,3383.220703125,186.4296979282656
B10,2,MITO,53931.6875,3291.23048710035
B10,2,PHAandWGA,22447.1171875,1591.035794788928
B10,2,SYTO,14462.62890625,1094.8713668581765
B10,3,CONC,5255.22314453125,244.3862328285683
B10,3,HOECHST,3663.44384765625,205.1447263998816
B10,3,MITO,56914.125,3591.4496269918027
B10,3,PHAandWGA,24373.44140625,1754.6429960838839
B10,3,SYTO,16614.9765625,1179.9356117103566
B10,4,CONC,5572.0478515625,255.3430338248358
B10,4,HOECHST,3882.78076171875,211.80241323042154
B10,4,MITO,59930.125,3806.658744089832
B10,4,PHAandWGA,26544.5625,1832.1950872644627
B10,4,SYTO,18421.56640625,1196.0076989059721
B10,5,CONC,5801.41015625,255.9734582069954
B10,5,HOECHST,4093.244140625,217.59316577489116
B10,5,MITO,62441.9296875,3942.5855618760934
B10,5,PHAandWGA,27859.16015625,1852.1602742486816
B10,5,SYTO,19997.095703125,1185.2383094719205
B10,6,CONC,5928.5205078125,254.6683631654334
B10,6,HOECHST,4214.81494140625,216.06628383269538
B10,6,MITO,65038.359375,4012.7324091825353
B10,6,PHAandWGA,29204.43359375,1849.4446109744665
B10,6,SYTO,20831.671875,1147.831919032097
B10,7,CONC,6072.5400390625,249.64582227554504
B10,7,HOECHST,4327.046875,208.84730339451855
B10,7,MITO,66747.21875,4005.5564309093716
B10,7,PHAandWGA,30381.23046875,1840.6392268856384
B10,7,SYTO,21649.49609375,1100.2886887510892
B10,8,CONC,6072.388671875,240.8916888203187
B10,8,HOECHST,4318.60986328125,198.571232892049
B10,8,MITO,67500.25,3988.2782234454735
B10,8,PHAandWGA,31284.970703125,1823.3124462119902
B10,8,SYTO,21956.34375,1048.2366826853
B10,9,CONC,6061.7109375,230.71516005195397
B10,9,HOECHST,4359.5078125,189.69026778985872
B10,9,MITO,68943.625,3956.064145776262
B10,9,PHAandWGA,31849.841796875,1763.5072826377675
B10,9,SYTO,21686.5703125,996.8104374822326
B10,10,CONC,6019.6484375,219.94273270974637
B10,10,HOECHST,4349.13525390625,182.33547638800772
B10,10,MITO,69634.96875,3888.8775398720354
B10,10,PHAandWGA,32233.36328125,1715.4647807478082
B10,10,SYTO,21360.65625,949.2902919829183
B10,11,CONC,5978.61669921875,210.05647974212533
B10,11,HOECHST,4348.7568359375,173.48416219980092
B10,11,MITO,69757.0546875,3808.5991049218414
B10,11,PHAandWGA,31892.576171875,1672.4390392034827
B10,11,SYTO,20814.861328125,899.3589128790736
B10,12,CONC,5955.9814453125,200.72833936753335
B10,12,HOECHST,4357.4091796875,165.22249850623777
B10,12,MITO,70000.71875,3715.233141685741
B10,12,PHAandWGA,31750.046875,1619.9506067404297
B10,12,SYTO,20200.1640625,852.5984973080546
B10,13,CONC,5955.2685546875,191.4228106287358
B10,13,HOECHST,4347.36181640625,156.64021152928066
B10,13,MITO,70037.578125,3596.2612765529757
B10,13,PHAandWGA,31844.41015625,1555.9285080490786
B10,13,SYTO,19691.302734375,802.4995975873865
B10,14,CONC,5974.89013671875,182.2436069113477
B10,14,HOECHST,4360.400390625,149.2508301181566
B10,14,MITO,70247.0390625,3482.4037379258025
B10,14,PHAandWGA,31629.828125,1486.3550117515751
B10,14,SYTO,19172.1171875,758.0819888399533
B10,15,CONC,5961.80517578125,172.6669372941255
B10,15,HOECHST,4378.98876953125,140.9665597599724
B10,15,MITO,71031.96875,3328.8582217006724
B10,15,PHAandWGA,31253.05078125,1415.6296852495257
B10,15,SYTO,18935.125,711.601883846285
B11,0,CONC,4828.26123046875,97.59633044907348
B11,0,HOECHST,3225.470703125,79.26094007811173
B11,0,MITO,58151.3515625,1712.2874692156333
B11,0,PHAandWGA,23224.6796875,843.8190235011022
B11,0,SYTO,12485.158203125,488.76348850570787
B11,1,CONC,5225.2744140625,122.64025334564238
B11,1,HOECHST,3386.765869140625,95.56113821293948
B11,1,MITO,59094.5546875,1993.4729918050016
B11,1,PHAandWGA,24460.310546875,978.2924602112741
B11,1,SYTO,13954.7080078125,597.7586329003685
B11,2,CONC,6088.15234375,214.42806220405961
B11,2,HOECHST,3965.03857421875,181.11578973032044
B11,2,MITO,64394.5,2753.676256236408
B11,2,PHAandWGA,27214.177734375,1405.2171502292965
B11,2,SYTO,16745.6953125,1009.0118595099917
B11,3,CONC,7009.9609375,295.273282075211
B11,3,HOECHST,4550.857421875,244.78126668316048
B11,3,MITO,70151.546875,3423.2325251670295
B11,3,PHAandWGA,30435.9375,1830.7097949202146
