well,z,channel,focus_laplacian_var,focus_normalized_var
B05,9,HOECHST,9380.7275390625,102.92911714441671
B05,9,MITO,168766.34375,1550.1990393442918
B05,9,PHAandWGA,66686.046875,681.9838830283418
B05,9,SYTO,50255.73046875,517.7714964285549
B05,10,CONC,16717.83984375,113.12991679178067
B05,10,HOECHST,9537.2666015625,97.10170769870025
B05,10,MITO,170589.6875,1465.170504067001
B05,10,PHAandWGA,68951.8203125,644.0806388954851
B05,10,SYTO,51141.29296875,479.9182510840687
B05,11,CONC,16852.30859375,105.20097813249264
B05,11,HOECHST,9690.333984375,91.78581040123217
B05,11,MITO,173684.375,1384.2687154718933
B05,11,PHAandWGA,69789.75,605.9523753022852
B05,11,SYTO,51754.703125,445.9024921153972
B05,12,CONC,17041.32421875,98.37745209512457
B05,12,HOECHST,9808.4775390625,87.27830056038962
B05,12,MITO,175479.84375,1308.1651604886813
B05,12,PHAandWGA,71022.84375,574.7189406291683
B05,12,SYTO,51907.5859375,418.41334356233546
B05,13,CONC,17137.884765625,92.31125306022872
B05,13,HOECHST,9901.5390625,83.04018720820902
B05,13,MITO,175451.0625,1236.1163847147682
B05,13,PHAandWGA,70949.921875,543.7348314326921
B05,13,SYTO,52919.328125,392.18986959470766
B05,14,CONC,17294.734375,87.64474538582907
B05,14,HOECHST,10075.7451171875,79.66233723159834
B05,14,MITO,176478.96875,1175.5710277713554
B05,14,PHAandWGA,71555.4609375,517.2603233565877
B05,14,SYTO,52629.515625,370.6888378797557
B05,15,CONC,17414.427734375,83.59134438799843
B05,15,HOECHST,10162.3330078125,76.73874292666659
B05,15,MITO,177827.09375,1121.0345584794293
B05,15,PHAandWGA,72315.7109375,493.6233035906781
B05,15,SYTO,53728.84765625,352.51368150465424
B06,0,CONC,3585.931884765625,119.35088019896001
B06,0,HOECHST,1589.092041015625,42.714747987049556
B06,0,MITO,55744.09765625,4711.41870116601
B06,0,PHAandWGA,12715.509765625,878.5512593530966
B06,0,SYTO,5625.25634765625,430.3920106895332
B06,1,CONC,3829.45751953125,140.97711518647975
B06,1,HOECHST,1686.1474609375,52.15254734838461
