;principal component 1;principal component 2;principal component 3;principal component 4;compound;conc;pert_type;ImageID;barcode;well_id;site
463;-3.388793630397349;-6.271797860991663;3.542130148371036;-1.736008762866717;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04_6;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04;E04;6
464;9.159773832102735;-1.0850513273294335;-3.581484702938913;11.84682320589305;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04_7;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04;E04;7
465;-14.682560562512325;2.745969257551141;-4.572731155876764;1.6582553656641001;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04_8;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04;E04;8
466;-15.22588427172826;-3.659901452398699;7.282340083395639;0.9116035971865721;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04_9;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E04;E04;9
467;-3.5184806980799674;2.651235004085832;0.5830498408966608;0.6434650863927368;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_1;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;1
468;18.028066553144324;5.056967951913103;1.1146228322336775;9.8769672243386;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_2;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;2
469;15.778045896226674;7.97924516629333;-7.5739966868785995;11.789377550669666;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_3;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;3
470;-11.228790113083654;0.6358504626211412;4.591614757874267;-6.338824355464449;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_4;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;4
471;-5.886876311437245;-9.008134895061424;0.4006668936242277;4.578779283651308;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_5;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;5
472;-5.56317475133644;-16.184433642623105;-3.104063238576876;14.558352035214247;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_7;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;7
473;-3.8695611562520273;-7.982582489476452;-1.7732657373374587;5.127635120688774;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_8;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;8
474;-19.55092572313167;9.164249573110693;-6.14286161280649;13.74065839093624;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12_9;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E12;E12;9
475;1.2558288177058714;11.44243217729344;-5.999871642460279;-4.7221899461999275;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_1;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;1
476;-21.360279209768944;6.04438894381584;-15.736095097497358;-0.24807241060098742;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_2;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;2
477;67.13640767688216;10.61317746806058;-11.540381585420896;3.41395631948794;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_3;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;3
478;2.140747831536481;5.766716102934922;-14.793492169677087;3.04330784400862;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_4;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;4
479;6.619429202059507;11.922781212906095;-12.250772807089282;-1.5247390692830798;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_5;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;5
480;33.90035302842932;23.82976714758143;-20.23537708699759;10.908999256512534;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_6;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;6
481;-8.576406415976864;-9.712480474672716;-10.767210125046494;5.306451280075143;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_7;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;7
482;18.990084793845384;-11.753456096843344;-4.288988178074147;2.3663940889906048;[flup];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23_8;colo44-v1-FA-P017366-CACO2-48h-P1-L2_E23;E23;8
483;5.648461178740369;-19.1106096738383;4.859769797799308;-8.093497904661765;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_1;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;1
484;-2.2839339902125677;3.427773822129651;-0.6051855075614928;3.87891681021248;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_2;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;2
485;-1.3596272305451897;-18.875002537721613;5.327453632138123;0.6824019080636154;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_4;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;4
486;7.090118208322076;-1.2657612086072914;-0.5202678444676194;1.2346517374938442;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_5;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;5
487;-4.058624254013844;-5.285462787010552;-2.072323633852288;-1.0518767411240333;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_6;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;6
488;9.47988920122218;6.020509124410079;-11.10700212103391;13.263055912350625;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_7;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;7
489;13.173926538497879;-12.796950418382371;1.7390008316309655;2.2197606620709194;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_8;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;8
490;8.252526906171447;17.77344927154459;-7.439756280844099;20.04160870496541;[tetr];2.5;poscon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02_9;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F02;F02;9
491;4.61541720421174;-24.300655294471056;-0.07512617809192039;-0.23090205242986583;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_1;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;1
492;17.98019378100845;-1.0000846793665514;4.036775181718664;5.145753944860465;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_2;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;2
493;-4.053928900792815;-18.293818441781816;5.551532805699734;0.6548642741923442;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_3;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;3
494;4.212136497624708;-17.839715351826406;4.301985053021258;6.551926224953707;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_4;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;4
495;44.26101321850389;-26.476008719818537;8.001447229300043;9.00406842212316;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_5;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;5
496;11.87260985087917;-3.5758574877480664;-5.030686121271395;14.909303381701696;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_6;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;6
497;9.810367707767382;-1.6578021676368992;3.5284531002365505;6.418479164086997;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_7;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;7
498;-13.416819460965025;-2.9878122801577116;-2.6320188124576473;8.178498372188827;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_8;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;8
499;-14.972716922560322;9.374554271972379;-6.1328153107400825;13.85446872076556;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06_9;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F06;F06;9
500;-14.72339650545044;-7.87518144858559;1.9373028688554288;-5.580686183286033;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_1;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;1
501;-28.3745922194418;0.47060943455481524;-3.872913603777184;2.6770307022308786;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_2;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;2
502;-13.360119744727395;-1.1298877708323405;-4.285628802828804;2.1415275213873968;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_3;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;3
503;-19.342679235321604;-2.240883246214752;-4.316175931218111;5.34622688065891;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_4;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;4
504;-1.6722765269189293;8.455525112792591;3.5929734833083593;-13.363270822639926;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_5;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;5
505;-19.180508348128747;-0.07522021186178883;-4.8387115249736175;5.392933536898338;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_6;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;6
506;1.6837428574243025;7.170851006505507;-0.9737945089622485;4.0536801934623385;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_7;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;7
507;3.393036181072051;7.40400197685713;1.6829141069788642;-1.6602380241894155;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_8;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;8
508;-20.971438144310447;-5.014154892277362;-2.9628287469676535;2.3216803155529524;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15_9;colo44-v1-FA-P017366-CACO2-48h-P1-L2_F15;F15;9
509;-9.129047104179948;-16.60764334214134;7.779484393005732;1.1460500107848008;[dmso];0.1;negcon;colo44-v1-FA-P017366-CACO2-48h-P1-L2_G08_1;colo44-v1-FA-P017366-CACO2-48h-P1-L2_G08;G08;1
