;Count_nuclei;ObjectNumber_nuclei;ObjectNumber_cells;compound;conc;cmpd_conc
1098;60.0;64.5;20.0;Vinore;0.0333;0.0333
1099;108.0;95.0;44.0;Taseli;0.1;0.1
1100;143.5;128.0;57.5;[dmso];0.1;0.1
1101;188.0;134.0;71.0;Dabraf;0.1;0.1
1102;159.0;125.5;53.0;AMG 23;0.00833;0.00833
1103;122.0;97.5;54.5;Velipa;0.333;0.333
1104;181.0;159.5;71.0;tricir;0.0333;0.0333
1105;183.0;146.0;67.5;[tetr];2.5;2.5
1106;176.0;160.5;59.0;MK-177;0.00833;0.00833
1107;89.0;112.0;32.0;[fenb];2.5;2.5
1108;130.0;121.5;48.0;AZD805;0.0333;0.0333
1109;186.0;147.0;71.5;Ruxoli;0.00833;0.00833
1110;136.0;115.0;47.0;MK-220;1.0;1.0
1111;143.0;120.5;54.0;Taseli;0.333;0.333
1112;120.0;100.0;40.0;AZD776;0.1;0.1
1113;81.0;88.5;30.0;MK-177;1.0;1.0
1114;136.0;107.25;46.5;Ruxoli;1.0;1.0
1115;23.0;18.0;11.5;Navito;10.0;10.0
1116;88.0;80.5;33.5;tricir;1.0;1.0
1117;65.0;70.0;28.5;Vinore;0.00833;0.00833
1118;60.0;52.5;28.5;[dmso];0.1;0.1
1119;63.0;44.5;21.0;Dabraf;10.0;10.0
1120;77.0;69.5;40.0;LGK974;10.0;10.0
1121;179.0;135.5;58.5;Nutlin;0.00833;0.00833
1122;81.0;60.5;26.5;SB5051;1.0;1.0
1123;64.0;62.0;24.0;Taseli;0.1;0.1
1124;51.0;40.5;22.5;Navito;0.0333;0.0333
1125;105.0;79.0;39.0;SB2167;0.0333;0.0333
1126;162.0;133.0;54.5;AZD454;0.333;0.333
1127;159.0;141.0;66.5;AZD454;1.0;1.0
1128;131.0;113.0;53.0;BMS-75;0.00833;0.00833
1129;131.0;106.5;47.0;Taseli;0.333;0.333
1130;138.0;112.0;49.0;LGK974;1.0;1.0
1131;177.0;134.5;59.5;[dmso];0.1;0.1
1132;130.0;127.5;58.5;Velipa;10.0;10.0
1133;149.0;115.0;57.0;Abemac;0.00833;0.00833
1134;161.0;131.0;65.0;Linsit;0.1;0.1
1135;128.0;112.0;45.0;AZD776;0.0333;0.0333
1136;55.0;48.5;25.0;[etop];2.5;2.5
1137;73.0;55.0;25.0;SB5051;0.00833;0.00833
1138;74.0;62.0;31.0;MK-220;0.00833;0.00833
1139;27.0;20.5;7.0;Taseli;10.0;10.0
1140;95.0;98.0;34.0;LY2603;10.0;10.0
1141;60.0;58.5;24.5;BMS-75;1.0;1.0
1142;150.0;110.0;56.0;AMG 23;0.0333;0.0333
1143;159.0;157.5;62.0;[flup];2.5;2.5
1144;164.0;134.5;56.0;Taseli;0.00833;0.00833
1145;141.0;116.0;44.0;AMG 23;0.333;0.333
1146;58.0;54.0;22.5;Linsit;10.0;10.0
1147;156.0;122.0;52.0;LY2603;1.0;1.0
1148;177.0;154.0;69.0;[dmso];0.1;0.1
1149;166.0;139.5;66.0;Ruxoli;0.0333;0.0333
1150;145.0;133.0;54.0;Dabraf;1.0;1.0
1151;222.0;184.0;77.5;ABT-73;0.333;0.333
1152;183.0;150.5;70.5;Nutlin;0.0333;0.0333
1153;195.0;153.5;65.0;SB2167;0.0333;0.0333
1154;143.0;126.0;46.0;tricir;1.0;1.0
1155;149.0;111.0;59.0;[berb];2.5;2.5
1156;156.0;125.5;58.0;Ruxoli;0.00833;0.00833
1157;166.0;134.5;60.0;[dmso];0.1;0.1
1158;163.0;125.5;68.0;Velipa;0.0333;0.0333
1159;133.0;105.0;56.0;Abemac;0.0333;0.0333
1160;109.0;86.0;41.5;Abemac;0.333;0.333
1161;50.0;36.5;23.0;Abemac;0.333;0.333
1162;53.0;37.0;21.5;SB5051;0.0333;0.0333
