EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000140534,TICRR,-2.01834,2.02045e-7,0.0000735184,114.407,protein_coding,31.1812,7.52513,2.13987,2.1411,4.1336,C15orf42;SLD3;Treslin,TOPBP1 interacting checkpoint and replication regulator,"Treslin is involved in the initiation of DNA replication (Kumagai et al., 2010 [PubMed 20116089]).[supplied by OMIM, Apr 2010]"
ENSG00000101443,WFDC2,3.59572,2.20626e-7,0.0000765274,84.7049,protein_coding,0.162355,2.65177,0.1097,0.578566,4.11618,BENP;EDDM4;HE4;WAP5;dJ461P17.6,WAP four-disulfide core domain 2,"This gene encodes a protein that is a member of the WFDC domain family. The WFDC domain, or WAP Signature motif, contains eight cysteines forming four disulfide bonds at the core of the protein, and functions as a protease inhibitor in many family members. This gene is expressed in pulmonary epithelial cells, and was also found to be expressed in some ovarian cancers. The encoded protein is a small secretory protein, which may be involved in sperm maturation. [provided by RefSeq, Jul 2008]."
ENSG00000048392,RRM2B,1.67771,2.22523e-7,0.0000765274,111.179,protein_coding,50.6837,164.22,9.89227,11.786,4.11618,MTDPS8A;MTDPS8B;P53R2;RCDFRD,ribonucleotide reductase regulatory TP53 inducible subunit M2B,"This gene encodes the small subunit of a p53-inducible ribonucleotide reductase. This heterotetrameric enzyme catalyzes the conversion of ribonucleoside diphosphates to deoxyribonucleoside diphosphates. The product of this reaction is necessary for DNA synthesis. Mutations in this gene have been associated with autosomal recessive mitochondrial DNA depletion syndrome, autosomal dominant progressive external ophthalmoplegia-5, and mitochondrial neurogastrointestinal encephalopathy. Alternatively spliced transcript variants have been described.[provided by RefSeq, Feb 2010]."
ENSG00000189057,FAM111B,-2.73982,2.26492e-7,0.0000765274,111.61,protein_coding,8.19056,1.19999,0.936648,0.443212,4.11618,CANP;POIKTMP,FAM111 trypsin like peptidase B,"This gene encodes a protein with a trypsin-like cysteine/serine peptidase domain in the C-terminus. Mutations in this gene are associated with an autosomal dominant form of hereditary fibrosing poikiloderma (HFP). Affected individuals display mottled pigmentation, telangiectasia, epidermal atrophy, tendon contractures, and progressive pulmonary fibrosis. Alternative splicing results in multiple transcript variants encoding distinct isoforms. A paralog of this gene which also has a trypsin&#8208;like peptidase domain, FAM111A, is located only 16 kb from this gene on human chromosome 11q12.1. [provided by RefSeq, Apr 2014]."
ENSG00000202198,7SK,2.29781,2.92095e-7,0.0000937591,109.037,misc_RNA,11.245,51.0576,4.59971,6.05352,4.02799,,7SK RNA,
ENSG00000283293,RN7SK,2.29781,2.92095e-7,0.0000937591,109.037,snRNA,11.245,51.0576,4.59971,6.05352,4.02799,7SK,RNA component of 7SK nuclear ribonucleoprotein,
ENSG00000152229,PSTPIP2,1.74806,2.97312e-7,0.0000937591,105.367,protein_coding,21.5461,74.6047,5.1485,4.90422,4.02799,MAYP,proline-serine-threonine phosphatase interacting protein 2,"Predicted to enable actin filament binding activity. Predicted to be involved in actin filament polymerization. Predicted to be located in cytoskeleton and membrane. Predicted to be active in actin filament; cytoplasm; and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000085840,ORC1,-2.0809,3.0711e-7,0.0000947435,107.998,protein_coding,32.4967,7.64906,2.92794,2.27873,4.02345,HSORC1;ORC1L;PARC1,origin recognition complex subunit 1,"The origin recognition complex (ORC) is a highly conserved six subunits protein complex essential for the initiation of the DNA replication in eukaryotic cells. Studies in yeast demonstrated that ORC binds specifically to origins of replication and serves as a platform for the assembly of additional initiation factors such as Cdc6 and Mcm proteins. The protein encoded by this gene is the largest subunit of the ORC complex. While other ORC subunits are stable throughout the cell cycle, the levels of this protein vary during the cell cycle, which has been shown to be controlled by ubiquitin-mediated proteolysis after initiation of DNA replication. This protein is found to be selectively phosphorylated during mitosis. It is also reported to interact with MYST histone acetyltransferase 2 (MyST2/HBO1), a protein involved in control of transcription silencing. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010]."
ENSG00000102384,CENPI,-2.56976,3.30714e-7,0.0000992679,106.882,protein_coding,11.0052,1.74021,1.05481,0.778652,4.00319,CENP-I;FSHPRH1;LRPR1,centromere protein I,"This gene encodes a centromere protein that is a component of the CENPA-NAC (nucleosome-associated) complex. This complex is critical for accurate chromosome alignment and segregation and it ensures proper mitotic progression. This protein regulates the recruitment of kinetochore-associated proteins that are required to generate the spindle checkpoint signal. The product of this gene is involved in the response of gonadal tissues to follicle-stimulating hormone. Mutations in this gene may be involved in human X-linked disorders of gonadal development and gametogenesis. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 13. [provided by RefSeq, Jan 2016]."
ENSG00000130766,SESN2,1.36578,3.35766e-7,0.0000992679,102.547,protein_coding,19.569,51.0902,1.72636,4.02964,4.00319,HI95;SES2;SEST2,sestrin 2,"This gene encodes a member of the sestrin family of PA26-related proteins. The encoded protein may function in the regulation of cell growth and survival. This protein may be involved in cellular response to different stress conditions. [provided by RefSeq, Jul 2008]."
