EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000234277,LINC01641,-0.028356,0.870069,0.915986,0.0276938,lncRNA,12.4166,12.6103,3.09715,2.70104,0.0381111,,,
ENSG00000014164,ZC3H3,0.0138799,0.870151,0.916004,0.0276582,protein_coding,27.9485,28.0664,1.24679,1.90651,0.0381026,,,
ENSG00000059804,SLC2A3,-0.0412253,0.870718,0.916463,0.0274155,protein_coding,2.57214,2.51174,0.681558,0.710259,0.0378848,,,
ENSG00000143819,EPHX1,0.0136386,0.870719,0.916463,0.0274145,protein_coding,37.0371,37.1956,2.15107,2.7498,0.0378848,,,
ENSG00000105676,ARMC6,-0.0162242,0.870828,0.916508,0.0273681,protein_coding,24.3756,24.1155,2.42483,2.01732,0.0378636,,,
ENSG00000237357,FAM88E,0.0400227,0.871255,0.916889,0.027187,lncRNA,1.83749,1.89303,0.178417,0.547891,0.0376831,,,
ENSG00000261342,ENSG00000261342,-0.0452415,0.871752,0.917343,0.0269787,lncRNA,1.23858,1.13312,0.259054,0.178189,0.0374685,,,
ENSG00000249592,PCGF3-AS1,0.0440268,0.872203,0.917748,0.0267849,lncRNA,1.68967,1.66848,0.300985,0.514358,0.0372765,,,
ENSG00000263809,ENSG00000263809,0.0125709,0.872286,0.917767,0.0267475,protein_coding,188.093,190.171,15.1657,14.4282,0.0372677,,,
ENSG00000148950,IMMP1L,-0.0166441,0.872463,0.917883,0.0266728,protein_coding,32.9337,32.8807,4.44339,2.61259,0.0372124,,,
ENSG00000280063,ENSG00000280063,0.0606045,0.872655,0.918016,0.0265957,TEC,1.53569,1.31999,1.08565,0.156055,0.0371499,,,
ENSG00000104221,BRF2,-0.0267232,0.872842,0.918143,0.0265133,protein_coding,6.91921,6.91293,1.53822,0.999703,0.0370897,,,
ENSG00000134013,LOXL2,-0.0328232,0.873001,0.918242,0.0264464,protein_coding,3.55463,3.55545,0.773484,0.666955,0.037043,,,
ENSG00000136213,CHST12,0.015334,0.873097,0.918273,0.0264059,protein_coding,20.6977,20.8013,1.83159,1.1368,0.0370281,,,
ENSG00000106479,ZNF862,0.0431693,0.873286,0.918402,0.0263289,protein_coding,1.71761,1.65061,0.593888,0.34094,0.0369671,,,
ENSG00000164338,UTP15,-0.013919,0.873468,0.918524,0.0262504,protein_coding,22.0365,21.8124,0.395355,1.53135,0.0369094,,,
ENSG00000134138,MEIS2,0.0366652,0.873629,0.918625,0.0261829,protein_coding,7.12182,7.21244,1.0908,2.76863,0.0368618,,,
ENSG00000008394,MGST1,0.0115478,0.873788,0.918723,0.0261163,protein_coding,119.171,120.45,8.74294,5.75882,0.0368154,,,
ENSG00000027869,SH2D2A,-0.0456099,0.874234,0.919081,0.0259315,protein_coding,2.08638,1.92364,0.64106,0.576718,0.0366461,,,
ENSG00000103342,GSPT1,-0.0128582,0.874296,0.919081,0.0259047,protein_coding,136.437,135.31,8.06533,13.9777,0.0366461,,,
ENSG00000197969,VPS13A,-0.0197458,0.874365,0.919081,0.0258759,protein_coding,31.7028,31.0827,4.70681,5.02112,0.0366461,,,
ENSG00000064199,SPA17,0.0226619,0.874442,0.919081,0.0258442,protein_coding,7.42992,7.59717,1.243,0.687194,0.0366461,,,
ENSG00000130414,NDUFA10,0.0113069,0.874505,0.919081,0.0258179,protein_coding,118.661,119.584,1.62813,9.57324,0.0366461,,,
ENSG00000070669,ASNS,-0.0212991,0.874525,0.919081,0.0258097,protein_coding,19.6962,19.8007,2.98124,3.64268,0.0366461,,,
ENSG00000144815,NXPE3,-0.0260538,0.874665,0.91909,0.0257516,protein_coding,5.51882,5.41867,0.557628,1.06267,0.0366418,,,
ENSG00000147912,FBXO10,-0.0415532,0.874665,0.91909,0.0257525,protein_coding,2.20376,2.01211,0.509826,0.669089,0.0366418,,,
ENSG00000171421,MRPL36,-0.0139612,0.874771,0.919132,0.0257076,protein_coding,63.5093,62.9392,7.3205,3.30866,0.0366221,,,
ENSG00000001629,ANKIB1,-0.0185497,0.875012,0.919305,0.0256078,protein_coding,11.9572,11.6414,1.01973,1.37372,0.0365405,,,
ENSG00000138459,SLC35A5,-0.0220773,0.875067,0.919305,0.0255851,protein_coding,9.44331,9.19282,1.04762,1.53259,0.0365405,,,
ENSG00000147119,CHST7,0.0257309,0.875143,0.919315,0.0255537,protein_coding,7.04437,7.23211,1.3568,1.22543,0.0365355,,,
ENSG00000099625,CBARP,0.0187385,0.875287,0.919397,0.0254943,protein_coding,17.5289,17.3719,3.01835,1.21055,0.0364969,,,
ENSG00000153786,ZDHHC7,-0.0157878,0.875446,0.919495,0.0254285,protein_coding,24.6625,24.277,1.47359,2.92673,0.0364505,,,
ENSG00000152904,GGPS1,-0.0154131,0.875667,0.919658,0.0253374,protein_coding,16.6299,16.2699,1.33901,0.997999,0.0363734,,,
ENSG00000064995,TAF11,0.0135554,0.875902,0.919835,0.0252411,protein_coding,33.0037,33.6814,3.0781,1.68128,0.0362899,,,
ENSG00000252498,RNU6-1016P,-0.0466488,0.876101,0.919976,0.0251615,snRNA,1.77482,1.57961,0.612954,0.468683,0.0362237,,,
ENSG00000090013,BLVRB,0.0214939,0.876729,0.920533,0.0249637,protein_coding,76.7133,78.4171,13.8269,14.0741,0.0359606,,,
ENSG00000204560,DHX16,-0.0162889,0.876764,0.920533,0.0248884,protein_coding,25.3664,24.9509,2.27584,2.92241,0.0359606,,,
ENSG00000085185,BCORL1,-0.0183996,0.876918,0.920566,0.0248259,protein_coding,23.2438,22.5797,3.88063,1.73053,0.0359452,,,
ENSG00000261884,ENSG00000261884,-0.028023,0.876927,0.920566,0.0248829,protein_coding,20.864,21.0193,6.39288,3.3015,0.0359452,,,
ENSG00000188130,MAPK12,0.0169357,0.877009,0.920582,0.0247888,protein_coding,33.5387,34.3868,5.4898,2.66637,0.0359376,,,
ENSG00000213906,LTB4R2,0.0422706,0.877245,0.920677,0.024695,protein_coding,1.66603,1.64206,0.381603,0.416208,0.0358926,,,
ENSG00000110274,CEP164,-0.0199652,0.877278,0.920677,0.0246797,protein_coding,15.2808,14.6636,2.67435,1.70032,0.0358926,,,
ENSG00000267213,DPY19L3-DT,0.054426,0.877341,0.920677,0.0246563,lncRNA,1.44716,1.61719,0.670607,0.592022,0.0358926,,,
ENSG00000243725,TTC4,-0.0135883,0.877364,0.920677,0.0246447,protein_coding,20.1048,19.9432,0.718717,1.07586,0.0358926,,,
ENSG00000166579,NDEL1,-0.0158402,0.87745,0.920685,0.0246097,protein_coding,18.2926,18.3365,1.84618,1.49283,0.0358888,,,
ENSG00000189164,ZNF527,-0.0392078,0.877503,0.920685,0.0245902,protein_coding,1.60236,1.54855,0.12258,0.402058,0.0358888,,,
