Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,drug,coll
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.28477902447307724,1.2087303624803838,0.09597523219814241,0.2546852331024993,0.834,22/107,11.22%,CDKN1A;PTAFR;BTG2;SERPINE1;ADORA2B;TLR3;F3;HBEGF;LAMP3;RGS16;ABCA1;CD82;PTPRE;MXD1;AXL;LIF;MYC;PLAUR;ITGB8;P2RY2;RNF144B;IFITM1,5FU,H
prerank,HALLMARK_MYC_TARGETS_V1,-0.2790449427419918,-1.1479343737512004,0.18438761776581428,0.5458396408036279,0.999,47/200,25.84%,RRM1;MCM5;DEK;MCM4;CCNA2;MCM7;CDC45;CDC20;MCM2;RFC4;MCM6;USP1;MAD2L1;CDK2;DUT;H2AZ1;KPNA2;NAP1L1;SMARCC1;POLE3;KPNB1;NOP56;HNRNPR;SET;GNL3;TRA2B;EIF1AX;PSMC6;SERBP1;CBX3;EIF2S2;PSMD1;PRPS2;SRSF3;PABPC1;SRSF2;HNRNPA1;PA2G4;PSMA7;MRPL23;PPM1G;SNRPB2;SRSF7;SYNCRIP;SSB;TFDP1;PCNA,5FU,H
prerank,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.3438763204264429,1.1434749500726895,0.27419354838709675,0.36773978500597204,0.942,7/31,14.50%,DKK1;NOTCH1;DLL1;MYC;JAG1;PPARD;JAG2,5FU,H
prerank,HALLMARK_GLYCOLYSIS,0.24554118805471004,1.1243397492208846,0.15185185185185185,0.38720591094691814,0.96,47/172,18.91%,GPR87;TGFA;NT5E;CHST6;ADORA2B;FAM162A;BIK;VCAN;STC2;ELF3;DDIT4;ANGPTL4;MERTK;CYB5A;PYGL;PPIA;GLRX;TXN;AK4;NOL3;PSMC4;AGRN;PKM;P4HA2;SOX9;PPP2CB;B3GALT6;ARTN;IDUA;MDH2;ISG20;ALDOA;PGK1;ENO1;G6PD;GFUS;HK2;CD44;ALG1;SOD1;SDC1;ALDH7A1;PFKP;TPST1;CITED2;NDUFV3;CHPF2,5FU,H
prerank,HALLMARK_APICAL_SURFACE,0.35751378051246546,1.1240218649135243,0.2794871794871795,0.36409926113163527,0.96,5/25,9.23%,SULF2;MDGA1;SRPX;GATA3;PLAUR,5FU,H
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.3054082888163065,1.1096099466615694,0.2761394101876676,0.3771659937550754,0.969,23/46,31.07%,GLRX;TXN;ATOX1;MSRA;MBP;LAMTOR5;PRDX6;HMOX2;OXSR1;G6PD;SOD1;PFKP;SOD2;ABCC1;PDLIM1;FES;NDUFB4;STK25;PRNP;NDUFA6;MGST1;PRDX1;TXNRD1,5FU,H
prerank,HALLMARK_XENOBIOTIC_METABOLISM,0.24842992802460725,1.0974017300357768,0.23417721518987342,0.3840171106358157,0.976,26/134,13.10%,FAS;CYFIP2;SERPINE1;ABCC3;NINJ1;SMOX;EPHA2;GSTT2;PTGES;CDA;MT2A;ALDH2;ENPEP;SLC12A4;CYB5A;ABHD6;PINK1;SERTAD1;LCAT;CYP2S1;DDT;DHRS7;COMT;AHCY;PPARD;CYP1A1,5FU,H
prerank,HALLMARK_UV_RESPONSE_UP,-0.2777123292123744,-1.0959671385802445,0.26337448559670784,0.6617714269185155,1.0,39/138,22.17%,FEN1;HSPA2;RFC4;H2AX;LHX2;CDK2;APOM;CDKN1C;TUBA4A;RAB27A;FOS;AGO2;NUP58;CHRNA5;OLFM1;NFKBIA;POLE3;AMD1;CDC5L;TYRO3;MAPK8IP2;PARP2;CASP3;IRF1;KLHDC3;E2F5;HSPA13;RET;SHOX2;MGAT1;CEBPG;TMBIM6;AP2S1;ASNS;PSMC3;CDC34;CTSV;MSX1;STARD3,5FU,H
prerank,HALLMARK_BILE_ACID_METABOLISM,-0.3052736946513179,-1.0823311404897593,0.3202416918429003,0.6466691735847965,1.0,23/67,25.25%,NEDD4;IDH2;GCLM;FADS1;IDI1;PEX11A;CYP27A1;ABCA5;PECR;DHCR24;ACSL1;SLC35B2;PEX11G;PXMP2;HSD17B11;AMACR;LIPE;IDH1;TFCP2L1;ALDH9A1;NUDT12;EPHX2;HACL1,5FU,H
prerank,HALLMARK_DNA_REPAIR,-0.2689525413869029,-1.076808433361515,0.3132867132867133,0.6096342792128278,1.0,23/148,12.05%,RAD51;FEN1;POLD3;PRIM1;POLA2;RFC2;RFC4;ZWINT;RFC5;RFC3;HCLS1;DUT;POLA1;RPA2;DGCR8;GTF2F1;ARL6IP1;POLD1;RPA3;NT5C;UPF3B;LIG1;AGO4,5FU,H
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.28156672392959486,-1.0618539207658388,0.3181818181818182,0.6074677975982539,1.0,16/87,13.87%,E2F1;CAMK4;TRAF2;NOD1;CDK2;PRKAG1;CDKN1B;YWHAB;CDK1;IRAK4;PRKAR2A;MAPK9;RPS6KA3;PITX2;HSP90B1;ITPR2,5FU,H
prerank,HALLMARK_COMPLEMENT,-0.2687967384934945,-1.0613170330748054,0.32503457814661135,0.5652177506332723,1.0,46/132,27.00%,CD36;CCL5;S100A9;CTSS;HSPA1A;PLEK;ANG;PSMB9;ITGAM;PCSK9;APOC1;PIM1;FCER1G;RBSN;CTSO;BRPF3;DGKH;FN1;CALM1;CASP3;PPP4C;GCA;CPM;PLA2G4A;IRF1;USP14;CBLB;CSRP1;HSPA5;USP8;PCLO;USP16;PIK3R5;CTSV;DUSP6;PRKCD;PRDM4;CASP10;PDP1;CALM3;MMP15;KIF2A;HPCAL4;CASP7;GNAI2;PLSCR1,5FU,H
prerank,HALLMARK_NOTCH_SIGNALING,0.3310186490568791,1.0613101084516303,0.35279805352798055,0.45323741007194246,0.989,14/28,25.63%,NOTCH3;NOTCH1;HES1;DLL1;CCND1;JAG1;PPARD;MAML2;SKP1;RBX1;PRKCA;KAT2A;FZD5;DTX4,5FU,H
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.29539893107832144,-1.052414829665978,0.378698224852071,0.550156682383115,1.0,20/69,16.03%,HMGCS1;MVD;TMEM97;EBP;LPL;IDI1;NIBAN1;MVK;SCD;ACAT2;FDPS;STARD4;LSS;ATXN2;GPX8;SQLE;HSD17B7;HMGCR;ATF5;PMVK,5FU,H
prerank,HALLMARK_ADIPOGENESIS,0.22331220630271087,1.0115891852294865,0.3851851851851852,0.5698716702313825,0.998,59/173,26.86%,GADD45A;MGLL;RIOK3;CMBL;GBE1;NABP1;ALDH2;ABCA1;ANGPTL4;SORBS1;TOB1;UBC;UQCR10;PGM1;COX6A1;PDCD4;DDT;IDH3A;DHRS7;SNCG;SAMM50;PLIN2;IDH3G;SDHB;GHITM;COX8A;NDUFA5;MTCH2;MDH2;BCL6;SCP2;ALDOA;STOM;AK2;SLC27A1;MGST3;ECH1;CHCHD10;SOD1;FAH;RREB1;GRPEL1;IFNGR1;DLD;RNF11;ACO2;COX7B;UQCR11;RMDN3;PPARG;MRPL15;RETSAT;ATP5PO;ESRRA;PFKFB3;CMPK1;CCNG2;QDPR;ATL2,5FU,H
prerank,HALLMARK_FATTY_ACID_METABOLISM,-0.25622710587459513,-1.0081330319660895,0.4332855093256815,0.6338206155448208,1.0,35/125,24.00%,CD36;HMGCS1;ACAA2;H2AZ1;XIST;NCAPH2;IDI1;HSPH1;BPHL;ACADS;CPT2;HSP90AA1;CBR3;HADH;ACAT2;GSTZ1;ETFDH;FH;KMT5A;HSD17B7;DHCR24;ACSL1;CPOX;ELOVL5;HSD17B11;NTHL1;RDH11;IDH1;ENO3;CRAT;YWHAH;AADAT;ALDH9A1;ACADM;ERP29,5FU,H
prerank,HALLMARK_ANGIOGENESIS,0.32967530538787476,1.005510031370132,0.4274611398963731,0.5610677481181078,0.998,9/22,16.29%,NRP1;VCAN;SERPINA5;PDGFA;TIMP1;JAG1;APP;JAG2;S100A4,5FU,H
prerank,HALLMARK_KRAS_SIGNALING_DN,0.2626496136533517,0.996999843716043,0.4489795918367347,0.5610185070616726,0.998,7/63,3.87%,BTG2;KLK7;KRT15;KCND1;KLK8;COQ8A;CLSTN3,5FU,H
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.2871395177067323,-0.9646687015166137,0.5161290322580645,0.7164862763247674,1.0,10/49,15.33%,CD36;A2M;IL1R1;PIM1;IL17RB;MAP3K8;TNFRSF1B;SOCS3;LEPR;IRF1,5FU,H
prerank,HALLMARK_HEME_METABOLISM,0.21042485491546548,0.9495773976541936,0.6170212765957447,0.6748725578878847,1.0,40/153,21.42%,BTG2;SLC2A1;RIOK3;ANK1;SMOX;YPEL5;SLC30A1;MOSPD1;MARCHF2;PPP2R5B;ATG4A;BCAM;AGPAT4;RNF123;RCL1;NCOA4;SIDT2;P4HA2;OSBP2;ATP6V0A1;SLC6A9;BSG;MKRN1;UROD;KHNYN;MGST3;HAGH;SLC6A8;LRP10;ISCA1;PICALM;EZH1;AQP3;H1-0;TMEM9B;DMTN;FN3K;ERMAP;MAP2K3;PC,5FU,H
prerank,HALLMARK_IL2_STAT5_SIGNALING,0.21388431033114846,0.9409564096246535,0.6436781609195402,0.6721271631343574,1.0,44/141,21.99%,NRP1;NT5E;MYO1E;PLEC;NDRG1;ANXA4;DHRS3;IFITM3;AHNAK;BCL2L1;RGS16;SOCS2;MXD1;ADAM19;LIF;MYC;PDCD2L;EMP1;CDCP1;ECM1;COL6A1;APLP1;SH3BGRL2;AHCY;PRKCH;BATF3;PLIN2;SYNGR2;MAFF;PUS1;FLT3LG;CYFIP1;HK2;CD44;NOP2;ITGA6;FAH;PNP;EOMES;SOCS1;IFNGR1;TNFRSF21;IRF6;RNH1,5FU,H
prerank,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.2308341808723389,-0.8853070181299001,0.7074542897327707,0.894936025377725,1.0,39/112,31.03%,SLC1A4;H2AX;EXOSC9;KHSRP;CCL2;KDELR3;NOP56;HSP90B1;XBP1;IFIT1;TUBB2A;CALR;DCP2;EIF2AK3;HSPA5;CEBPG;SDAD1;ASNS;SPCS3;LSM4;SKIC3;NFYB;CNOT4;DNAJB9;HERPUD1;ATP6V0D1;SEC11A;FUS;PARN;DNAJC3;EXOSC2;MTHFD2;GEMIN4;EIF4A1;DDX10;VEGFA;EDC4;EIF4A3;CXXC1,5FU,H
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.21987630719603873,-0.8729487906737559,0.7414285714285714,0.8794882842175294,1.0,24/136,16.01%,PSMB8;TXNIP;CCL5;DDX60;NOD1;BST2;PSMB9;PTGS2;OAS3;CD74;PIM1;CCL2;EIF2AK2;BANK1;SPPL2A;NFKBIA;SOCS3;IFIT1;CASP3;PLA2G4A;NFKB1;IFIT3;IRF1;PTPN6,5FU,H
prerank,HALLMARK_PANCREAS_BETA_CELLS,-0.3305371153174057,-0.8674883364856703,0.6508196721311476,0.849451852708918,1.0,4/16,13.82%,PAX6;NKX6-1;ISL1;MAFB,5FU,H
prerank,HALLMARK_ANDROGEN_RESPONSE,-0.23366462832861673,-0.8617021751967436,0.7585692995529061,0.8220225870568645,1.0,27/85,25.26%,INSIG1;HMGCS1;FADS1;ACSL3;IDI1;SLC26A2;SCD;LMAN1;FKBP5;RPS6KA3;DHCR24;HMGCR;SEC24D;ELOVL5;SELENOP;ARID5B;HERC3;PGM3;SPCS3;PDLIM5;PIAS1;PA2G4;CENPN;ELK4;ABHD2;DNAJB9;CCND3,5FU,H
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.22967988668796893,-0.825781547797265,0.7984,0.8541815131442275,1.0,22/75,27.92%,PSMB8;TXNIP;DDX60;BST2;PSMB9;CD74;EIF2AK2;PARP9;IFIT3;IRF1;NCOA7;SP110;IFIH1;SLC25A28;CMTR1;TRIM25;IFI35;PLSCR1;CSF1;TRIM5;NMI;CNP,5FU,H
prerank,HALLMARK_PEROXISOME,0.20329985441467935,0.8238159841147558,0.8571428571428571,0.925164300991639,1.0,23/85,20.53%,CEL;ABCB9;MVP;DHRS3;CLN8;CRABP2;ABCD1;SLC27A2;ITGB1BP1;FABP6;SCP2;BCL10;ECH1;SOD1;HRAS;DLG4;SOD2;NUDT19;ERCC1;ABCC5;MLYCD;PEX11B;CTPS1,5FU,H
prerank,HALLMARK_PROTEIN_SECRETION,0.20140807961461793,0.8220188247306596,0.8459016393442623,0.8926098206673747,1.0,21/91,23.97%,STX16;AP3S1;ABCA1;KRT18;DOP1A;OCRL;ICA1;ARFGAP3;RAB5A;ATP1A1;AP2B1;MON2;SNX2;VPS45;SOD1;AP2M1;ARCN1;TSG101;TPD52;SCAMP1;CAV2,5FU,H
