Files	well_id	z_plane	channel	cell_line
detection_example_dataset/Well-B04-z28-HOECHST.ome.tiff	B04	28	HOECHST	HCT-116
detection_example_dataset/Well-B04-z28-SYTO.ome.tiff	B04	28	SYTO	HCT-116
detection_example_dataset/Well-B04-z29-HOECHST.ome.tiff	B04	29	HOECHST	HCT-116
detection_example_dataset/Well-B04-z29-SYTO.ome.tiff	B04	29	SYTO	HCT-116
detection_example_dataset/Well-B04-z3-HOECHST.ome.tiff	B04	3	HOECHST	HCT-116
detection_example_dataset/Well-B04-z3-SYTO.ome.tiff	B04	3	SYTO	HCT-116
detection_example_dataset/Well-B04-z30-HOECHST.ome.tiff	B04	30	HOECHST	HCT-116
detection_example_dataset/Well-B04-z30-SYTO.ome.tiff	B04	30	SYTO	HCT-116
detection_example_dataset/Well-B04-z31-HOECHST.ome.tiff	B04	31	HOECHST	HCT-116
detection_example_dataset/Well-B04-z31-SYTO.ome.tiff	B04	31	SYTO	HCT-116
detection_example_dataset/Well-B04-z32-HOECHST.ome.tiff	B04	32	HOECHST	HCT-116
detection_example_dataset/Well-B04-z32-SYTO.ome.tiff	B04	32	SYTO	HCT-116
detection_example_dataset/Well-B04-z33-HOECHST.ome.tiff	B04	33	HOECHST	HCT-116
detection_example_dataset/Well-B04-z33-SYTO.ome.tiff	B04	33	SYTO	HCT-116
detection_example_dataset/Well-B04-z34-HOECHST.ome.tiff	B04	34	HOECHST	HCT-116
detection_example_dataset/Well-B04-z34-SYTO.ome.tiff	B04	34	SYTO	HCT-116
detection_example_dataset/Well-B04-z35-HOECHST.ome.tiff	B04	35	HOECHST	HCT-116
detection_example_dataset/Well-B04-z35-SYTO.ome.tiff	B04	35	SYTO	HCT-116
detection_example_dataset/Well-B04-z36-HOECHST.ome.tiff	B04	36	HOECHST	HCT-116
detection_example_dataset/Well-B04-z36-SYTO.ome.tiff	B04	36	SYTO	HCT-116
detection_example_dataset/Well-B04-z37-HOECHST.ome.tiff	B04	37	HOECHST	HCT-116
detection_example_dataset/Well-B04-z37-SYTO.ome.tiff	B04	37	SYTO	HCT-116
detection_example_dataset/Well-B04-z38-HOECHST.ome.tiff	B04	38	HOECHST	HCT-116
detection_example_dataset/Well-B04-z38-SYTO.ome.tiff	B04	38	SYTO	HCT-116
detection_example_dataset/Well-B04-z39-HOECHST.ome.tiff	B04	39	HOECHST	HCT-116
detection_example_dataset/Well-B04-z39-SYTO.ome.tiff	B04	39	SYTO	HCT-116
detection_example_dataset/Well-B04-z4-HOECHST.ome.tiff	B04	4	HOECHST	HCT-116
detection_example_dataset/Well-B04-z4-SYTO.ome.tiff	B04	4	SYTO	HCT-116
detection_example_dataset/Well-B04-z40-HOECHST.ome.tiff	B04	40	HOECHST	HCT-116
detection_example_dataset/Well-B04-z40-SYTO.ome.tiff	B04	40	SYTO	HCT-116
