Drug1,Drug2,Similarity
Afati,Encor,0.8984500161016258
Afati,Fluor,0.2091866516213398
Afati,Gefit,0.7233573212715102
Afati,Gemci,0.19128086315072226
Afati,Linsi,0.6215405979580274
Afati,MK-22,0.5212408545994656
Afati,Navit,0.6032011018508824
Afati,Nutli,0.44229600720288753
Afati,Olapa,0.13971099601909223
Afati,Oxali,0.46201836685618486
Afati,PD032,0.7773234541326479
Afati,PI-10,0.8268218784262942
Afati,Pacli,0.6223400253703851
Afati,Palbo,0.7403688173213386
Afati,Rabus,0.459057251018327
Afati,Regor,0.7507259019067122
Afati,Ruxol,0.42084591645335606
Afati,SB216,0.6452987460360581
Afati,SB505,0.5728209010217364
Afati,SN-38,0.5428960210296894
Afati,Sapit,0.5697589901019366
Afati,Soraf,0.7637678843734235
Afati,Tanes,0.7478708462704264
Afati,Tasel,0.7215010033116249
Afati,Trame,0.7670156807292902
Afati,Trici,0.11650653676459143
Afati,Trifl,0.09500337990964168
Afati,Vemur,0.5611302232398147
Afati,Vinor,0.7469062449533783
Afati,Vorin,0.7644535436452047
Afati,abema,0.7550288454340188
Alpel,BMS-7,0.3547028997130949
Alpel,Binim,0.725793943406825
Alpel,Cobim,0.7737946202615044
Alpel,Crizo,0.19571533494565588
Alpel,Dabra,0.7606838920974827
Alpel,Doram,0.06348633410150185
Alpel,Encor,0.8167364102490273
Alpel,Fluor,-0.32431801215512457
Alpel,Gefit,0.41877703978231606
Alpel,Gemci,-0.1574168023283593
Alpel,Linsi,0.5004445223848264
Alpel,MK-22,0.3901279663425378
Alpel,Navit,0.379710785451888
Alpel,Nutli,-0.014234530764121928
Alpel,Olapa,-0.2651368251038063
Alpel,Oxali,0.15504250905359435
Alpel,PD032,0.6710751966208031
Alpel,PI-10,0.8775248392963115
Alpel,Pacli,0.42485912201029014
Alpel,Palbo,0.284057958984926
Alpel,Rabus,0.5212388070634039
Alpel,Regor,0.6615191185630191
Alpel,Ruxol,-0.15702648805925454
Alpel,SB216,0.5154331757761347
Alpel,SB505,0.12415383438679567
Alpel,SN-38,0.10586956726973663
Alpel,Sapit,0.8047376976547628
Alpel,Soraf,0.6275033209924328
Alpel,Tanes,0.27710268354840906
Alpel,Tasel,0.9575244595330983
Alpel,Trame,0.6462048208933763
Alpel,Trici,0.03267779128307719
Alpel,Trifl,-0.27757241585478826
Alpel,Vemur,0.07698811957939264
Alpel,Vinor,0.29223409166180064
Alpel,Vorin,0.3393584381692211
Alpel,abema,0.3940360027973746
BMS-7,Binim,0.6757560059204719
BMS-7,Cobim,0.6663727363018519
BMS-7,Crizo,0.8711020513354137
BMS-7,Dabra,0.5947814929469972
BMS-7,Doram,0.3049448637915007
BMS-7,Encor,0.5778144677785189
BMS-7,Fluor,0.5224644506997905
BMS-7,Gefit,0.28553094276909746
BMS-7,Gemci,0.5870170158761779
BMS-7,Linsi,0.4598442446201285
BMS-7,MK-22,0.41002262443661874
BMS-7,Navit,0.6981943266220282
BMS-7,Nutli,0.6350111708384585
BMS-7,Olapa,0.6412320614370304
BMS-7,Oxali,0.5863602311467858
BMS-7,PD032,0.6351965984784768
BMS-7,PI-10,0.501067449055692
BMS-7,Pacli,0.8151990688456022
BMS-7,Palbo,0.6530163034688263
BMS-7,Rabus,0.2900733269662992
BMS-7,Regor,0.40490780961088635
BMS-7,Ruxol,0.11133835983495721
BMS-7,SB216,0.5966523794998863
BMS-7,SB505,0.5166309433192751
BMS-7,SN-38,0.6191090595971553
BMS-7,Sapit,0.44679146802939645
BMS-7,Soraf,0.5217337908814126
BMS-7,Tanes,0.5811023702780247
BMS-7,Tasel,0.5618993548024211
BMS-7,Trame,0.6493166179040403
BMS-7,Trici,0.3202847645047958
BMS-7,Trifl,0.5243598880707485
BMS-7,Vemur,0.467228316600108
BMS-7,Vinor,0.7044134663652716
BMS-7,Vorin,0.5363000823018707
BMS-7,abema,0.6636864878057057
Binim,Cobim,0.9531525937071378
Binim,Crizo,0.6249024725998393
Binim,Dabra,0.9196814963163422
Binim,Doram,0.3325595489808127
Binim,Encor,0.8378023668256218
Binim,Fluor,0.1210655691866294
Binim,Gefit,0.6227346970614689
Binim,Gemci,0.2940004105417088
Binim,Linsi,0.38150763328223464
Binim,MK-22,0.48482226481482604
Binim,Navit,0.431461057721006
Binim,Nutli,0.25532521406802533
Binim,Olapa,-0.0107011570055282
Binim,Oxali,0.5657610085500554
Binim,PD032,0.9468674650902165
Binim,PI-10,0.7196976387145195
Binim,Pacli,0.6915674000556031
Binim,Palbo,0.5228327302259578
Binim,Rabus,0.42984386795657686
Binim,Regor,0.8990154143655831
Binim,Ruxol,0.24640374949931634
Binim,SB216,0.5896215670969382
Binim,SB505,0.6513109380485529
Binim,SN-38,0.34677051568610723
Binim,Sapit,0.6746658851176585
Binim,Soraf,0.7890045305543776
Binim,Tanes,0.7316281550451322
Binim,Tasel,0.7878037694855007
Binim,Trame,0.963122342883108
Binim,Trici,0.10283369631020564
Binim,Trifl,0.1043304668212841
Binim,Vemur,0.24332905981861552
Binim,Vinor,0.574904809760002
Binim,Vorin,0.479060777376758
Binim,abema,0.5785815547898184
Cobim,Crizo,0.6312774377521561
Cobim,Dabra,0.8522357556960759
Cobim,Doram,0.3102306706849159
Cobim,Encor,0.8101194672691978
Cobim,Fluor,0.2970719314366096
Cobim,Gefit,0.6511724267538154
Cobim,Gemci,0.44173099516966385
Cobim,Linsi,0.36276853749653715
Cobim,MK-22,0.5565846822078433
Cobim,Navit,0.3827435837436606
Cobim,Nutli,0.38749267936278553
Cobim,Olapa,0.1372043881604033
Cobim,Oxali,0.6043451244129403
Cobim,PD032,0.9561955216577435
Cobim,PI-10,0.7152155365105023
Cobim,Pacli,0.6260412059101524
Cobim,Palbo,0.6691911601176883
Cobim,Rabus,0.5710585693380854
Cobim,Regor,0.8473724909733735
Cobim,Ruxol,0.3401705480345201
Cobim,SB216,0.6105195484905543
Cobim,SB505,0.6743429057303815
Cobim,SN-38,0.4910499926634492
Cobim,Sapit,0.6580524656150244
Cobim,Soraf,0.8133708784702015
Cobim,Tanes,0.7595735461893403
Cobim,Tasel,0.76930305323038
Cobim,Trame,0.9724161923595948
Cobim,Trici,0.1660432927841371
Cobim,Trifl,0.3076704863929901
Cobim,Vemur,0.45354360929110765
Cobim,Vinor,0.5225547286838605
Cobim,Vorin,0.5880695731719284
Cobim,abema,0.6475195086630408
Crizo,Dabra,0.5469267771976166
Crizo,Doram,0.41307088360994637
Crizo,Encor,0.530150097150053
Crizo,Fluor,0.4443873703247363
Crizo,Gefit,0.4521436584641617
Crizo,Gemci,0.460782277799067
Crizo,Linsi,0.365685540123842
Crizo,MK-22,0.5076075287562135
Crizo,Navit,0.20097951227773725
Crizo,Nutli,0.5742474730764918
Crizo,Olapa,0.5014936157652594
Crizo,Oxali,0.49732922988480144
Crizo,PD032,0.6613213696027261
Crizo,PI-10,0.37553902529572736
Crizo,Pacli,0.7577515604214613
Crizo,Palbo,0.799607289033223
Crizo,Rabus,0.6304958288708105
Crizo,Regor,0.40035751230738387
Crizo,Ruxol,0.44363578148416616
Crizo,SB216,0.4718988573937643
Crizo,SB505,0.5826906304859012
Crizo,SN-38,0.4218921591427499
Crizo,Sapit,0.21219968477923182
Crizo,Soraf,0.5137069498507291
Crizo,Tanes,0.6050131038197284
Crizo,Tasel,0.33688782355089475
Crizo,Trame,0.649006253762611
Crizo,Trici,0.23938360506722844
Crizo,Trifl,0.4189290314965256
Crizo,Vemur,0.5367936124429116
Crizo,Vinor,0.6305631447382174
Crizo,Vorin,0.5251695604654012
Crizo,abema,0.6063180046363796
Dabra,Doram,0.32260968237542864
Dabra,Encor,0.8547110537037262
Dabra,Fluor,0.14414133733893691
Dabra,Gefit,0.6683058280413638
Dabra,Gemci,0.19920181692513847
Dabra,Linsi,0.5671735110184702
Dabra,MK-22,0.4439463137309057
Dabra,Navit,0.5198025311097354
Dabra,Nutli,0.38930087482236997
Dabra,Olapa,0.1993518334820487
Dabra,Oxali,0.40690861063199646
Dabra,PD032,0.8633224538729722
Dabra,PI-10,0.6732399157993387
Dabra,Pacli,0.4139239239792334
Dabra,Palbo,0.39014704462510585
Dabra,Rabus,0.5089986599598536
Dabra,Regor,0.9150119310640563
Dabra,Ruxol,0.19360825000720272
Dabra,SB216,0.5945969224109358
Dabra,SB505,0.46537901191867515
Dabra,SN-38,0.3126136572101704
Dabra,Sapit,0.6785857053479656
Dabra,Soraf,0.7877802451427987
Dabra,Tanes,0.48527224891773596
Dabra,Tasel,0.7972231247437632
Dabra,Trame,0.7226326369360625
Dabra,Trici,-0.09552669201886428
Dabra,Trifl,0.2229258342833783
Dabra,Vemur,0.7479346559019309
Dabra,Vinor,0.3772081998228456
Dabra,Vorin,0.3677030464369381
Dabra,abema,0.49659082108829106
Doram,Encor,0.3052516705438193
Doram,Fluor,0.44840329915061033
