EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000117632,STMN1,-0.0674951,0.63682,0.888566,0.235316,protein_coding,285.204,272.786,41.0313,27.0825,0.0513105,,,
ENSG00000128294,TPST2,0.0870512,0.636859,0.888566,0.235396,protein_coding,12.6123,12.8696,3.00688,1.37127,0.0513105,,,
ENSG00000271976,ENSG00000271976,-0.0887764,0.637138,0.888719,0.234838,lncRNA,4.96631,4.87312,1.08662,0.47271,0.0512354,,,
ENSG00000104388,RAB2A,-0.0620275,0.637144,0.888719,0.234813,protein_coding,115.747,111.167,12.9924,9.79657,0.0512354,,,
ENSG00000107831,FGF8,0.239587,0.637212,0.888719,0.234747,protein_coding,1.47891,1.18085,1.27225,0.393496,0.0512354,,,
ENSG00000119509,INVS,-0.0796028,0.637413,0.888719,0.234446,protein_coding,6.3342,5.84189,0.584671,0.76884,0.0512354,,,
ENSG00000145002,FAM86B2,0.095275,0.637481,0.888719,0.234386,protein_coding,2.67127,2.92791,0.296333,0.276232,0.0512354,,,
ENSG00000163626,COX18,-0.073041,0.637502,0.888719,0.234318,protein_coding,6.96741,6.49055,0.641229,0.508583,0.0512354,,,
ENSG00000213397,HAUS7,-0.0998926,0.637508,0.888719,0.234565,protein_coding,10.1157,8.73346,3.66564,1.03317,0.0512354,,,
ENSG00000244754,N4BP2L2,-0.100173,0.637521,0.888719,0.234542,protein_coding,64.6975,59.1668,21.4526,6.45668,0.0512354,,,
ENSG00000004478,FKBP4,0.0595229,0.637655,0.888719,0.234095,protein_coding,183.453,190.658,23.9408,1.52889,0.0512354,,,
ENSG00000141030,COPS3,0.0581232,0.637663,0.888719,0.234083,protein_coding,117.356,122.303,12.5606,4.88142,0.0512354,,,
ENSG00000115484,CCT4,-0.0614175,0.637674,0.888719,0.234068,protein_coding,335.353,321.021,38.096,27.7772,0.0512354,,,
ENSG00000224631,RPS27AP16,0.0622695,0.637768,0.888726,0.233936,transcribed_processed_pseudogene,33.8744,35.7219,4.36622,1.75625,0.0512321,,,
ENSG00000169220,RGS14,0.113508,0.637807,0.888726,0.234149,protein_coding,5.91516,7.02846,2.41595,1.1555,0.0512321,,,
ENSG00000122694,GLIPR2,-0.0681412,0.637875,0.888732,0.233785,protein_coding,26.2885,24.7868,3.56895,2.55524,0.0512291,,,
ENSG00000173456,RNF26,0.0645593,0.637982,0.888792,0.233635,protein_coding,30.7465,32.5389,4.78858,0.946033,0.0512001,,,
ENSG00000141279,NPEPPS,-0.0641297,0.638194,0.888998,0.233336,protein_coding,190.14,182.344,27.3828,12.032,0.051099,,,
ENSG00000213757,RPS3AP20,0.109685,0.638303,0.889061,0.233442,processed_pseudogene,46.65,49.1878,17.6688,2.54112,0.0510685,,,
ENSG00000123575,FAM199X,-0.0565341,0.638513,0.889264,0.232889,protein_coding,36.672,35.3956,1.65185,2.51142,0.0509693,,,
