name_y,5Z-7-,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Gefit,Gemci,Linsi,MK-22,Oxali,PD032,Pacli,Palbo,Rabus,Regor,SN-38,Tanes,Tasel,Trici,Trifl,Vemur,Vorin,abema
Rabus,0.6409740679730257,0.6873162647654372,0.7240975938492458,0.6023193709842212,0.5978664162553886,0.660343115402847,0.5236209572320277,0.6706300948910876,0.7351364396479725,0.5300169403133125,0.7379697189338512,0.6281996502248368,0.6831231726881637,0.7348440795236681,0.5963390105273193,0.47456338111086543,0.6882844761898601,0.6355560619993174,0.5729852561180414,0.6674309155913578,0.6796056821709733,0.501809006533751,1.0000000000000002,0.6750861830853636,0.7559452853432398,0.4941028202427221,0.6739286314198429,0.008235994606874797,0.38686448207263247,0.5785983751946737,0.6726573936103085,0.45859114378302956
Regor,0.6011215320102385,0.43262063951358976,0.4523043203212499,0.7798037367278798,0.29054531507586556,0.6774450024932716,0.6338902568816084,0.6389065410856385,0.6489326449412951,0.628132725183914,0.5698316603154088,0.7259912634559904,0.6042097023060949,0.6108659932296208,0.8087699283083791,0.5617911229133015,0.8436538913465221,0.6875434062716078,0.7443153216832736,0.6687566939839432,0.5865904559624121,0.46413142034512345,0.6750861830853636,1.0,0.6175443894453958,0.8871960930639446,0.7305827471366584,0.16334849970693038,0.5455280097179457,0.7059900568569769,0.6861927307727442,0.504358784115278
SN-38,0.7564936552382787,0.754593579302413,0.7078488654290448,0.6264573085508878,0.5458594995039021,0.6570604072159891,0.6364611655981264,0.7114185387238294,0.7766635606512955,0.546010769668759,0.7690113354267407,0.6820856134415944,0.7775685412623969,0.775772065723836,0.6445736052792322,0.6042023534422151,0.7075316151544943,0.6538200406440349,0.6518166839606792,0.6639012549090679,0.7057992794971886,0.7065187193434544,0.7559452853432398,0.6175443894453958,1.0000000000000007,0.547847761164269,0.7929268023046754,0.21346883754220475,0.5333460821861051,0.639647467647224,0.6911925466951531,0.7105309399362421
Tanes,0.5827456532630261,0.5847477885383312,0.6209314811537654,0.6035147709843197,0.47068793154787925,0.5187057539646495,0.6620120882592377,0.5720100314399695,0.5847245345376728,0.6412395538684283,0.4700872228211582,0.4632042857933713,0.6180862514498322,0.6390596349550867,0.7865739767712583,0.31772724518504414,0.8514803027640678,0.5140856522787616,0.5929069801999074,0.7412943738870992,0.4600039339605888,0.5838907834578538,0.4941028202427221,0.8871960930639446,0.547847761164269,0.9999999999999991,0.7067801901062177,0.20161761024312988,0.5195928018087406,0.6702315630662508,0.4823766587066315,0.4809865823780045
Tasel,0.8805803817543066,0.7151897466450658,0.6742988967726924,0.7914126231679082,0.42949919091701705,0.6931403276808021,0.7892636439493894,0.8396508515224443,0.8572444961392507,0.5633636509689599,0.8257857102331518,0.6523648847136471,0.8658543355010033,0.8656122911937932,0.7923356544614244,0.285989252235945,0.8231918217496512,0.7370739963094068,0.7347637086592277,0.767934453325562,0.6183799444625737,0.5253796123370666,0.6739286314198429,0.7305827471366584,0.7929268023046754,0.7067801901062177,1.0000000000000007,0.04560045995900118,0.48168379758935065,0.8039491311182299,0.7969353872863992,0.4993616957624609
Trici,-0.04238105418236808,0.08572479148679246,0.10537198465060428,0.013476468360318489,0.006671257147744827,0.03632338212599009,0.05028826838535535,-0.050649085418579015,-0.048636837877200065,0.06577627524280515,-0.13700071056242652,0.0923911620654407,-0.09716728397724438,-0.07111442889050673,0.05561069257192133,0.5711171271334083,0.07879739552536194,0.02392946644645999,0.07746083301313256,-0.13984195806134025,0.12759182183190637,0.536929880206464,0.008235994606874797,0.16334849970693038,0.21346883754220475,0.20161761024312988,0.04560045995900118,1.0000000000000002,0.4524897584648949,0.07286708566383622,-0.041551950087884044,0.4120242583959367
Trifl,0.24391876971512366,0.3538055061122978,0.34411367180044183,0.4188491554529308,0.1884580190199734,0.37302811851547746,0.3470355867687248,0.2604196701185377,0.27103250052693717,0.5394707141145583,0.1758118491063065,0.4330467718295751,0.22998905121746763,0.2563011396342487,0.47596529689099126,0.7575349288731376,0.5750598731391543,0.3921229250599124,0.45939681686575584,0.23171308278723596,0.4557736875594546,0.6923393605836181,0.38686448207263247,0.5455280097179457,0.5333460821861051,0.5195928018087406,0.48168379758935065,0.4524897584648949,1.0000000000000007,0.4812164091274604,0.36169658649044845,0.6898997127758733
Vemur,0.8564174501596089,0.6524049534083987,0.6689983345875116,0.8315201653701906,0.39221209031324156,0.6326760551957789,0.73359010260808,0.8204457562787362,0.84279654709505,0.4664313556691626,0.751165465676091,0.6201663516262117,0.8313377768240089,0.8357799242945048,0.7746074627567996,0.6258709565813667,0.8604598366180658,0.707998238842373,0.7724383454137486,0.8502381394455829,0.5813802843953165,0.4338066547467986,0.5785983751946737,0.7059900568569769,0.639647467647224,0.6702315630662508,0.8039491311182299,0.07286708566383622,0.4812164091274604,1.0000000000000009,0.7758622814360383,0.4135653435408063
Vorin,0.7480888690126051,0.5368430777704092,0.5774152508421798,0.8685117406524638,0.24862851423972757,0.6481975898517142,0.6151462628720445,0.8409472669274258,0.8065593374849369,0.4693354949688512,0.777357813438344,0.6633901495432545,0.8171258747154095,0.7622590100815089,0.8149130749253829,0.4510512973947942,0.837830251402194,0.7290863260990336,0.678704733474653,0.8322629526425998,0.5829850585475762,0.3590528993185285,0.6726573936103085,0.6861927307727442,0.6911925466951531,0.4823766587066315,0.7969353872863992,-0.041551950087884044,0.36169658649044845,0.7758622814360383,1.0000000000000009,0.37338381539355536
abema,0.3933627921359647,0.5269655854334568,0.45506708071275326,0.42402829168380973,0.39152718252375523,0.4166648706706565,0.47940701515485257,0.2949000081146214,0.3528420343601423,0.47332099008117656,0.3371862545343116,0.44247207945122913,0.3660679915737051,0.39157899541066865,0.3442049274222807,0.7360342143677807,0.38518663785073004,0.3874948169796024,0.4803853401755789,0.2367935180282545,0.5216980526785047,0.7483829505071955,0.45859114378302956,0.504358784115278,0.7105309399362421,0.4809865823780045,0.4993616957624609,0.4120242583959367,0.6898997127758733,0.4135653435408063,0.37338381539355536,1.0000000000000009
