cond,z,wid,n_objects
noclear,7,PB100082_P07,160
noclear,7,PB100083_I02,72
noclear,7,PB100083_I08,139
noclear,7,PB100083_J05,136
noclear,7,PB100083_K08,135
noclear,7,PB100083_L03,123
noclear,7,PB100083_M06,97
noclear,7,PB100083_O04,100
noclear,7,PB100083_P01,88
noclear,7,PB100083_P07,136
noclear,8,PB100082_I02,101
noclear,8,PB100082_I08,140
noclear,8,PB100082_J05,124
noclear,8,PB100082_K08,112
noclear,8,PB100082_L03,124
noclear,8,PB100082_M06,150
noclear,8,PB100082_N01,128
noclear,8,PB100082_O04,153
noclear,8,PB100082_P01,75
noclear,8,PB100082_P07,149
noclear,8,PB100083_I02,84
noclear,8,PB100083_I08,134
noclear,8,PB100083_J05,120
noclear,8,PB100083_K08,130
noclear,8,PB100083_L03,120
noclear,8,PB100083_M06,86
noclear,8,PB100083_O04,111
noclear,8,PB100083_P01,73
noclear,8,PB100083_P07,144
noclear,9,PB100082_I02,105
noclear,9,PB100082_I08,140
noclear,9,PB100082_J05,96
noclear,9,PB100082_K08,125
noclear,9,PB100082_L03,109
noclear,9,PB100082_M06,160
noclear,9,PB100082_N01,119
noclear,9,PB100082_O04,127
noclear,9,PB100082_P01,65
noclear,9,PB100082_P07,153
noclear,9,PB100083_I02,71
noclear,9,PB100083_I08,120
noclear,9,PB100083_J05,113
noclear,9,PB100083_K08,113
noclear,9,PB100083_L03,88
noclear,9,PB100083_M06,89
noclear,9,PB100083_O04,106
noclear,9,PB100083_P01,61
noclear,9,PB100083_P07,132
noclear,10,PB100082_I02,105
noclear,10,PB100082_I08,128
noclear,10,PB100082_J05,81
noclear,10,PB100082_K08,101
noclear,10,PB100082_L03,100
noclear,10,PB100082_M06,159
noclear,10,PB100082_N01,125
noclear,10,PB100082_O04,100
noclear,10,PB100082_P01,65
noclear,10,PB100082_P07,149
noclear,10,PB100083_I02,60
noclear,10,PB100083_I08,109
noclear,10,PB100083_J05,101
noclear,10,PB100083_K08,107
noclear,10,PB100083_L03,96
noclear,10,PB100083_M06,78
noclear,10,PB100083_O04,104
noclear,10,PB100083_P01,57
noclear,10,PB100083_P07,129
noclear,11,PB100082_I02,97
noclear,11,PB100082_I08,119
noclear,11,PB100082_J05,87
noclear,11,PB100082_K08,77
noclear,11,PB100082_L03,96
noclear,11,PB100082_M06,143
noclear,11,PB100082_N01,112
noclear,11,PB100082_O04,85
noclear,11,PB100082_P01,56
noclear,11,PB100082_P07,134
noclear,11,PB100083_I02,51
noclear,11,PB100083_I08,99
noclear,11,PB100083_J05,84
noclear,11,PB100083_K08,96
noclear,11,PB100083_L03,89
noclear,11,PB100083_M06,78
noclear,11,PB100083_O04,83
noclear,11,PB100083_P01,50
noclear,11,PB100083_P07,102
noclear,12,PB100082_I02,84
noclear,12,PB100082_I08,99
noclear,12,PB100082_J05,71
noclear,12,PB100082_K08,63
noclear,12,PB100082_L03,87
noclear,12,PB100082_M06,150
noclear,12,PB100082_N01,99
noclear,12,PB100082_O04,67
noclear,12,PB100082_P01,53
noclear,12,PB100082_P07,108
noclear,12,PB100083_I02,32
noclear,12,PB100083_I08,100
noclear,12,PB100083_J05,54
noclear,12,PB100083_K08,69
noclear,12,PB100083_L03,60
noclear,12,PB100083_M06,62
noclear,12,PB100083_O04,74
noclear,12,PB100083_P01,43
noclear,12,PB100083_P07,108
noclear,13,PB100082_I02,60
noclear,13,PB100082_I08,89
noclear,13,PB100082_J05,64
noclear,13,PB100082_K08,52
noclear,13,PB100082_L03,80
noclear,13,PB100082_M06,151
noclear,13,PB100082_N01,85
noclear,13,PB100082_O04,64
noclear,13,PB100082_P01,41
noclear,13,PB100082_P07,89
noclear,13,PB100083_I02,28
noclear,13,PB100083_I08,82
noclear,13,PB100083_J05,46
noclear,13,PB100083_K08,66
noclear,13,PB100083_L03,66
noclear,13,PB100083_M06,57
noclear,13,PB100083_O04,63
noclear,13,PB100083_P01,30
noclear,13,PB100083_P07,78
nyquist,0,PB100082_A02,7
nyquist,0,PB100082_B05,20
nyquist,0,PB100082_C08,10
nyquist,0,PB100082_D03,12
nyquist,0,PB100082_E06,12
nyquist,0,PB100082_F01,11
nyquist,0,PB100082_G04,23
nyquist,0,PB100082_H01,4
nyquist,0,PB100082_H07,20
nyquist,0,PB100083_A02,11
nyquist,0,PB100083_A08,33
nyquist,0,PB100083_B05,19
nyquist,0,PB100083_C08,13
nyquist,0,PB100083_D03,27
nyquist,0,PB100083_F01,6
nyquist,0,PB100083_G04,17
nyquist,0,PB100083_H01,15
nyquist,0,PB100083_H07,40
nyquist,3,PB100082_A02,20
nyquist,3,PB100082_A08,17
nyquist,3,PB100082_B05,39
nyquist,3,PB100082_C08,28
nyquist,3,PB100082_D03,26
nyquist,3,PB100082_E06,22
nyquist,3,PB100082_F01,25
nyquist,3,PB100082_G04,38
nyquist,3,PB100082_H01,5
nyquist,3,PB100082_H07,29
nyquist,3,PB100083_A02,10
nyquist,3,PB100083_A08,45
nyquist,3,PB100083_B05,33
nyquist,3,PB100083_C08,18
nyquist,3,PB100083_D03,38
nyquist,3,PB100083_E06,9
nyquist,3,PB100083_F01,18
nyquist,3,PB100083_G04,25
nyquist,3,PB100083_H01,33
nyquist,3,PB100083_H07,58
nyquist,7,PB100082_A02,43
nyquist,7,PB100082_A08,37
nyquist,7,PB100082_B05,76
nyquist,7,PB100082_C08,53
nyquist,7,PB100082_D03,60
nyquist,7,PB100082_E06,40
nyquist,7,PB100082_F01,49
nyquist,7,PB100082_G04,48
nyquist,7,PB100082_H01,10
nyquist,7,PB100082_H07,57
nyquist,7,PB100083_A02,14
nyquist,7,PB100083_A08,69
nyquist,7,PB100083_B05,73
nyquist,7,PB100083_C08,60
