name_y,5Z-7-,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Gefit,Gemci,Linsi,MK-22,Migli,Navit,Oxali,PD032,Pacli,Palbo,Regor,SB216,SN-38,Soraf,Tanes,Tasel,Temoz,Trame,Trifl,Vinor,Vorin,abema
Oxali,0.8112981323935401,0.7961618149463171,0.7830017763526838,0.5955753928160923,0.7839052289995498,0.755153285794619,0.6107834731136003,0.6486080067851333,0.5786705965956632,0.8674654552897706,0.6667038742044251,0.7876307951558825,0.20355489012830746,0.7537321165547071,0.8043634854372945,0.5443873237181552,0.787943152375442,0.5570093376598242,0.5036366521924283,-0.050747175029302385,0.43126406602503886,1.0,0.8416711340768762,0.8354879798706559,0.6447495604000749,0.6464760281079891,0.12513161984203627,0.8339251286620124,0.837479708146549,0.7872333668871296,0.7330288973186956,0.1780186518980626,0.7976455949905887,0.7029899300701825,0.8883775738442379,0.606926316436909,0.7404294470176869
PD032,0.8915076776004038,0.7816208485600615,0.8665935079401754,0.8026673272723284,0.8439347422451082,0.8497994646110241,0.8553651909520265,0.7308800310495539,0.8226043057502148,0.8987444657626463,0.649506973159,0.8699547544564554,0.43571054805997067,0.7086773813713199,0.8786890546218793,0.7272706952198937,0.8901588753038305,0.6465931903188513,0.8067931062245763,-0.03075857781914408,0.3426083890830358,0.8416711340768762,1.000000000000001,0.9374065789341435,0.6883474172421812,0.8320626189465805,0.18380621999763797,0.8694450971604868,0.8744765661515024,0.9122042077502293,0.8010714461596626,0.1672290950146928,0.9232606077062824,0.7656790234096263,0.8263774893497009,0.7466122904978134,0.7265860716058964
Pacli,0.8280260502857715,0.7495848919255177,0.7815146993718527,0.6278999588482183,0.8133506027159708,0.8679584740238662,0.6841503340397121,0.6314812946928257,0.6759921892541134,0.8924042915273458,0.7121770908567464,0.8423882862924031,0.4894108815965189,0.6929980188273575,0.8275431989926177,0.718078560761869,0.8813160458600259,0.5708407490967801,0.5676608966810388,-0.06451742859530007,0.31763006879655525,0.8354879798706559,0.9374065789341435,0.9999999999999999,0.6443082765202747,0.7401243108955454,0.14556044546635757,0.8400207458460605,0.8330547296582971,0.877869804263776,0.748174218481351,0.17991102154080646,0.9216300508356708,0.7798920492327441,0.8699710168657595,0.7263640989671108,0.7001707095355407
Palbo,0.7518647077087139,0.8619221451252653,0.6679292650385944,0.6127363655983584,0.666225683124009,0.7400076017558254,0.6961748416614171,0.7139979569359202,0.7099442696476668,0.7472266950522114,0.3585434520179754,0.6934990680755909,0.2903131648399752,0.759308952661869,0.7253680935805422,0.5479261267164126,0.7339257566417521,0.6206522950588588,0.41821530586508876,-0.12609900692429798,0.5895341097167079,0.6447495604000749,0.6883474172421812,0.6443082765202747,1.0000000000000004,0.6867917780331079,0.15465244222414176,0.823681490136493,0.7608879814740029,0.7829781699061127,0.7861564770418381,0.14481571673821628,0.6875221754595127,0.5327106307775819,0.7032410545708937,0.5620711924434373,0.8448270232239068
Regor,0.7063154038267975,0.6869722666814406,0.6959041474992143,0.7270270100360349,0.7552433384230441,0.8221637625605624,0.7758978648672072,0.7515139802708637,0.7975200004905564,0.7578660729187754,0.3754255368370819,0.7633603474021158,0.33829126543942845,0.7189344321417571,0.7220044794603637,0.7940436008325374,0.8288959514243626,0.7273334360297783,0.6444441629409648,-0.13302106941064173,0.4565742614884258,0.6464760281079891,0.8320626189465805,0.7401243108955454,0.6867917780331079,1.0,0.07353612577757396,0.713714773025125,0.7191248193608903,0.8337020220185214,0.7164590452368153,0.05196896913342926,0.8012466459354946,0.6990420091110281,0.6336166763985361,0.8254705462413159,0.7375324279837094
SB216,0.07644619924226037,0.07448184475798227,0.017136144642847708,-0.0017033873775258099,0.10022276302508708,0.22389593136500513,0.040228489006234346,0.02009770883401281,-0.029334815248617623,0.08847272723744476,0.12385504851418688,0.04429714986865354,-0.08966819436226425,0.07410091345511871,0.06935801766241534,0.0017736776446826345,0.22023408905781966,0.10602875198430603,-0.030434362528302096,0.2052753870059731,0.10465553219833049,0.12513161984203627,0.18380621999763797,0.14556044546635757,0.15465244222414176,0.07353612577757396,1.0000000000000004,0.026707771235293113,0.050451984656276413,0.12210625904481937,0.049302281646318294,0.43444086777592095,0.3088394785217624,0.14176220210087256,0.06516678381912897,0.027891319241357883,0.13457419998137074
SN-38,0.9049889404292741,0.9193596557315176,0.8852808477059914,0.764144827198401,0.8255084392679755,0.8611896561581263,0.8400167512730888,0.8080194734323041,0.7879897180390569,0.897185331598043,0.6023372653613137,0.9048059659788628,0.32261518500726694,0.8285197125765006,0.86941654844482,0.6550606956639262,0.819760513049141,0.6893514852105322,0.6725653336939683,-0.12070857334669771,0.43981430313276315,0.8339251286620124,0.8694450971604868,0.8400207458460605,0.823681490136493,0.713714773025125,0.026707771235293113,1.0000000000000002,0.9061931659479587,0.8646589106898412,0.8867546456639877,0.0947395906525758,0.8239432217651199,0.6698018694802883,0.9023287393043575,0.7045316517047063,0.8693458214837864
Soraf,0.8580866911262162,0.8630801015534287,0.8988829254018889,0.6484567306121142,0.8884123940711527,0.8371788891358554,0.6599612526306424,0.8256299079434621,0.6884608356422022,0.8848130701982355,0.606415358032409,0.8528033721190407,0.29356999556382934,0.845251076880054,0.8467973351454208,0.6626282993117178,0.826400608568757,0.6707142166595219,0.5684203473827898,-0.06672520792454698,0.6222429541499831,0.837479708146549,0.8744765661515024,0.8330547296582971,0.7608879814740029,0.7191248193608903,0.050451984656276413,0.9061931659479587,1.0000000000000009,0.8745725801670616,0.8290017807441161,0.09307343958047345,0.825169867414524,0.6698256124609265,0.8945673851280217,0.6896615638465069,0.7801106392240296
Tanes,0.8693985654629854,0.8472501391480711,0.8266398475694041,0.8471816205748249,0.8399974099709278,0.9204271450568835,0.9126125481991534,0.7488407742864327,0.8608612584628375,0.8655079394563405,0.6172338201041043,0.8656381497375363,0.3359618658776247,0.7373039690262937,0.8753656699456189,0.7212389556815679,0.9562348253433846,0.6799492754108154,0.6858626046845073,-0.09322310924445801,0.4033283716523751,0.7872333668871296,0.9122042077502293,0.877869804263776,0.7829781699061127,0.8337020220185214,0.12210625904481937,0.8646589106898412,0.8745725801670616,1.0000000000000004,0.8511899194725627,0.15522763712508983,0.9429391727175901,0.7987536262671222,0.8226498653502585,0.741914210259879,0.7752622924176686
Tasel,0.9099453177978543,0.8238386095236603,0.7348998231004286,0.7432927293144557,0.7747419542505212,0.7770834248316295,0.8220511840233442,0.9000808992994088,0.8155491441635458,0.8879801301110744,0.44042538257102987,0.8695786664831882,0.47472307020383203,0.8718869715719313,0.9176493148276621,0.6204670816602631,0.7585079599491253,0.7267422333977294,0.695084923742328,-0.06102201374006888,0.6769084693563725,0.7330288973186956,0.8010714461596626,0.748174218481351,0.7861564770418381,0.7164590452368153,0.049302281646318294,0.8867546456639877,0.8290017807441161,0.8511899194725627,1.0000000000000013,0.08019547721386307,0.7934654388019244,0.5172191016757683,0.778116481929366,0.700952629800024,0.7749911341252039
Temoz,0.0509611095770568,0.15189995731908706,0.07347547226176092,0.06542479280995808,0.23618058433315225,0.2817237407933161,0.13171571789647066,0.11117917932965159,0.08710667572779371,0.05852024094704826,0.1877170711442676,0.05051962615455407,-0.0017636034726261505,0.1157313031032195,0.07246617011962336,0.08892285760169005,0.209982421362256,0.29810763899966164,-0.014623403392112372,0.23833765990266093,0.07249532224711737,0.1780186518980626,0.1672290950146928,0.17991102154080646,0.14481571673821628,0.05196896913342926,0.43444086777592095,0.0947395906525758,0.09307343958047345,0.15522763712508983,0.08019547721386307,1.0000000000000007,0.3326124060441928,0.15279030135416835,0.10866612543927288,0.11976311559531655,0.15518645754912974
