,Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um,total_per_spheroid
137,PB000137_K11,1,HCT116,32.0,41.0,108064,PB000137,K11,5,1401.0
138,PB000142_E16,1,HT29,30.0,38.0,116971,PB000142,E16,5,528.0
139,PB000142_L18,1,HT29,21.0,27.5,77233,PB000142,L18,5,743.0
140,PB000140_H12,1,HCT116,41.0,46.0,122613,PB000140,H12,5,1359.0
141,PB000139_K09,1,HCT116,43.0,50.0,137537,PB000139,K09,5,1341.0
142,PB000142_O09,1,HT29,12.0,13.0,45615,PB000142,O09,5,789.0
143,PB000141_G13,1,HT29,38.0,42.0,140181,PB000141,G13,5,1164.0
144,PB000142_H17,1,HT29,22.0,28.5,91985,PB000142,H17,5,484.0
145,PB000142_N04,1,HT29,41.0,46.5,144559,PB000142,N04,5,1007.0
146,PB000137_L07,1,HCT116,67.0,74.0,198650,PB000137,L07,5,1401.0
147,PB000138_D12,1,HCT116,32.0,37.0,100410,PB000138,D12,5,1785.0
148,PB000142_F06,1,HT29,27.0,34.0,104925,PB000142,F06,5,915.0
149,PB000139_G14,1,HT29,33.0,39.0,123560,PB000139,G14,5,1127.0
150,PB000142_B22,1,HT29,22.0,28.0,83748,PB000142,B22,5,609.0
151,PB000139_C10,1,HCT116,53.0,60.0,169961,PB000139,C10,5,1344.0
152,PB000140_O07,1,HCT116,17.0,21.0,60353,PB000140,O07,5,1257.0
153,PB000137_I21,1,HCT116,47.0,53.0,117718,PB000137,I21,5,1320.0
154,PB000139_G03,1,HCT116,37.0,39.0,113724,PB000139,G03,5,1422.0
155,PB000142_L07,1,HT29,40.0,50.0,152956,PB000142,L07,5,792.0
156,PB000139_N05,1,HCT116,33.0,37.0,98763,PB000139,N05,5,975.0
157,PB000141_K11,1,HT29,32.0,38.0,132510,PB000141,K11,5,1102.0
158,PB000142_H10,1,HT29,18.0,20.0,69748,PB000142,H10,5,661.0
159,PB000138_E16,1,HCT116,26.0,26.0,74753,PB000138,E16,5,1514.0
160,PB000137_H10,1,HCT116,38.0,40.0,108611,PB000137,H10,5,1161.0
161,PB000138_N04,1,HCT116,9.0,9.5,39343,PB000138,N04,5,141.0
162,PB000138_F20,1,HCT116,30.0,33.0,88046,PB000138,F20,5,1585.0
163,PB000137_N15,1,HCT116,29.0,34.0,85309,PB000137,N15,5,1383.0
164,PB000140_E13,1,HT29,45.0,55.0,174870,PB000140,E13,5,1352.0
165,PB000142_J14,1,HT29,25.0,33.5,100606,PB000142,J14,5,810.0
166,PB000138_N15,1,HCT116,56.0,69.0,177232,PB000138,N15,5,1713.0
167,PB000139_O11,1,HCT116,28.0,31.0,88845,PB000139,O11,5,1527.0
168,PB000137_G13,1,HCT116,66.0,81.0,212929,PB000137,G13,5,1660.0
169,PB000140_H23,1,HT29,33.0,42.0,130734,PB000140,H23,5,1092.0
170,PB000140_O11,1,HCT116,75.0,82.0,260331,PB000140,O11,5,1553.0
171,PB000141_M23,1,HT29,29.0,37.0,102487,PB000141,M23,5,945.0
172,PB000141_I21,1,HT29,23.0,26.0,87222,PB000141,I21,5,955.0
173,PB000142_C05,1,HT29,11.0,17.0,40888,PB000142,C05,5,216.0
174,PB000138_O09,1,HCT116,20.0,24.0,61979,PB000138,O09,5,558.0
175,PB000142_N15,1,HT29,31.0,36.0,119852,PB000142,N15,5,941.0
176,PB000139_C21,1,HT29,13.0,13.0,48336,PB000139,C21,5,542.0
177,PB000138_H10,1,HCT116,46.0,53.0,132844,PB000138,H10,5,1739.0
178,PB000140_O22,1,HT29,25.0,31.5,91698,PB000140,O22,5,821.0
179,PB000142_M23,1,HT29,15.0,18.0,52918,PB000142,M23,5,678.0
180,PB000141_O09,1,HT29,39.0,48.5,156032,PB000141,O09,5,1362.0
181,PB000139_H23,1,HT29,15.0,19.5,54558,PB000139,H23,5,333.0
182,PB000138_L07,1,HCT116,34.0,39.0,107956,PB000138,L07,5,1531.0
183,PB000140_G03,1,HCT116,42.0,48.0,145796,PB000140,G03,5,1262.0
184,PB000138_G02,1,HCT116,65.0,72.0,194642,PB000138,G02,5,1540.0
185,PB000141_L18,1,HT29,20.0,25.0,81230,PB000141,L18,5,1036.0
186,PB000139_E13,1,HT29,20.0,21.5,84457,PB000139,E13,5,1102.0
187,PB000140_C10,1,HCT116,23.0,27.0,78789,PB000140,C10,5,1394.0
188,PB000137_D12,1,HCT116,55.0,63.0,184603,PB000137,D12,5,1813.0
189,PB000142_G13,1,HT29,18.0,19.0,69251,PB000142,G13,5,898.0
190,PB000138_K11,1,HCT116,18.0,21.0,56496,PB000138,K11,5,447.0
191,PB000137_H17,1,HCT116,29.0,31.0,83992,PB000137,H17,5,1431.0
192,PB000141_B22,1,HT29,5.0,7.0,13942,PB000141,B22,5,131.0
193,PB000137_G02,1,HCT116,47.0,54.5,121565,PB000137,G02,5,1310.0
194,PB000138_B22,1,HCT116,69.0,76.0,187734,PB000138,B22,5,1588.0
195,PB000140_K20,1,HT29,31.0,35.0,124847,PB000140,K20,5,1061.0
196,PB000141_F06,1,HT29,18.0,20.0,68845,PB000141,F06,5,1068.0
197,PB000137_B22,1,HCT116,40.0,47.0,132828,PB000137,B22,5,946.0
198,PB000141_J14,1,HT29,17.0,20.0,53615,PB000141,J14,5,889.0
199,PB000140_N05,1,HCT116,43.0,48.0,153412,PB000140,N05,5,1727.0
200,PB000139_O22,1,HT29,35.0,46.0,151268,PB000139,O22,5,911.0
201,PB000140_B15,1,HT29,19.0,19.0,54952,PB000140,B15,5,596.0
202,PB000141_H17,1,HT29,30.0,37.0,118051,PB000141,H17,5,1074.0
203,PB000140_N16,1,HT29,19.0,20.0,72462,PB000140,N16,5,986.0
204,PB000138_J14,1,HCT116,44.0,51.0,130063,PB000138,J14,5,1641.0
205,PB000137_C05,1,HCT116,86.0,101.5,296108,PB000137,C05,5,1949.0
206,PB000137_F20,1,HCT116,49.0,56.0,159162,PB000137,F20,5,1721.0
207,PB000141_H10,1,HT29,16.0,20.0,62061,PB000141,H10,5,634.0
208,PB000140_B04,1,HCT116,45.0,51.0,148683,PB000140,B04,5,855.0
209,PB000139_N16,1,HT29,14.0,17.0,71584,PB000139,N16,5,930.0
210,PB000142_D12,1,HT29,24.0,28.0,100438,PB000142,D12,5,1098.0
211,PB000138_I21,1,HCT116,45.0,52.5,146821,PB000138,I21,5,1440.0
212,PB000139_B04,1,HCT116,29.0,33.0,88435,PB000139,B04,5,1173.0
213,PB000142_J03,1,HT29,13.0,16.0,58730,PB000142,J03,5,254.0
214,PB000137_J03,1,HCT116,58.0,65.0,179601,PB000137,J03,5,1619.0
215,PB000142_F20,1,HT29,30.0,32.0,103641,PB000142,F20,5,851.0
216,PB000140_G14,1,HT29,28.0,32.0,103082,PB000140,G14,5,1316.0
217,PB000139_K20,1,HT29,24.0,34.0,81367,PB000139,K20,5,524.0
218,PB000139_H12,1,HCT116,50.0,56.0,158212,PB000139,H12,5,1663.0
219,PB000138_M23,1,HCT116,31.0,40.0,97388,PB000138,M23,5,1644.0
220,PB000140_I06,1,HCT116,71.0,81.0,227437,PB000140,I06,5,1621.0
221,PB000137_E16,1,HCT116,60.0,74.0,165587,PB000137,E16,5,1422.0
222,PB000138_J03,1,HCT116,62.0,76.0,206296,PB000138,J03,5,1666.0
223,PB000140_E02,1,HCT116,53.0,57.0,173091,PB000140,E02,5,1830.0
224,PB000142_K11,1,HT29,31.0,35.0,137577,PB000142,K11,5,970.0
225,PB000137_F06,2,HCT116,57.0,63.0,164634,PB000137,F06,10,1377.0
226,PB000138_L07,2,HCT116,60.0,75.5,189341,PB000138,L07,10,1531.0
227,PB000142_M23,2,HT29,22.0,27.0,75463,PB000142,M23,10,678.0
228,PB000137_N15,2,HCT116,59.0,61.0,161265,PB000137,N15,10,1383.0
229,PB000139_N05,2,HCT116,44.0,49.0,136485,PB000139,N05,10,975.0
230,PB000138_G13,2,HCT116,58.0,66.0,178789,PB000138,G13,10,1541.0
231,PB000139_O07,2,HCT116,74.0,85.5,223252,PB000139,O07,10,1220.0
232,PB000141_J14,2,HT29,33.0,38.0,108384,PB000141,J14,10,889.0
233,PB000139_O18,2,HT29,43.0,56.0,172750,PB000139,O18,10,701.0
234,PB000138_E16,2,HCT116,39.0,47.0,127701,PB000138,E16,10,1514.0
235,PB000137_H10,2,HCT116,40.0,49.0,131407,PB000137,H10,10,1161.0
236,PB000137_E16,2,HCT116,65.0,88.0,188303,PB000137,E16,10,1422.0
237,PB000139_O11,2,HCT116,60.0,64.5,180674,PB000139,O11,10,1527.0
238,PB000141_L07,2,HT29,45.0,56.0,156945,PB000141,L07,10,826.0
239,PB000140_E13,2,HT29,65.0,73.5,261675,PB000140,E13,10,1352.0
240,PB000137_C05,2,HCT116,114.0,139.0,363091,PB000137,C05,10,1949.0
241,PB000142_C05,2,HT29,14.0,19.5,50788,PB000142,C05,10,216.0
242,PB000139_N16,2,HT29,25.0,31.0,132137,PB000139,N16,10,930.0
243,PB000140_O07,2,HCT116,46.0,52.0,162766,PB000140,O07,10,1257.0
244,PB000141_M23,2,HT29,38.0,44.5,155344,PB000141,M23,10,945.0
245,PB000140_K20,2,HT29,42.0,56.0,175125,PB000140,K20,10,1061.0
246,PB000140_O18,2,HT29,57.0,65.0,212731,PB000140,O18,10,1011.0
247,PB000139_O22,2,HT29,52.0,64.66666666666667,203959,PB000139,O22,10,911.0
248,PB000139_H12,2,HCT116,65.0,77.0,222747,PB000139,H12,10,1663.0
249,PB000137_G02,2,HCT116,60.0,71.0,166112,PB000137,G02,10,1310.0
250,PB000140_C10,2,HCT116,57.0,60.0,181695,PB000140,C10,10,1394.0
251,PB000140_O11,2,HCT116,93.0,118.0,310628,PB000140,O11,10,1553.0
252,PB000138_N04,2,HCT116,9.0,14.5,37142,PB000138,N04,10,141.0
253,PB000138_G02,2,HCT116,82.0,99.0,269610,PB000138,G02,10,1540.0
254,PB000140_N05,2,HCT116,76.0,85.0,262707,PB000140,N05,10,1727.0
255,PB000142_F20,2,HT29,40.0,43.0,150978,PB000142,F20,10,851.0
256,PB000141_I21,2,HT29,41.0,49.0,140436,PB000141,I21,10,955.0
257,PB000142_L07,2,HT29,52.0,76.0,188082,PB000142,L07,10,792.0
258,PB000137_L18,2,HCT116,96.0,117.0,331242,PB000137,L18,10,1787.0
259,PB000137_F20,2,HCT116,74.0,87.0,236731,PB000137,F20,10,1721.0
260,PB000140_I06,2,HCT116,76.0,101.0,250100,PB000140,I06,10,1621.0
