barcode,well,plane,depth_um,seg_type,cell_line,treatment,binary_iou,instance_iou,n_objects,depth_bin
PB000137,F06,7,35,cell,HCT116,DMSO,0.5866269529430592,,126,20-40µm
PB000139,D11,5,25,cell,HCT116,binimetinib,0.28325521658632596,,22,20-40µm
PB000139,J06,5,25,nuclei,HCT116,SN-38,0.5002266888317969,,29,20-40µm
PB000140,H23,5,25,cell,HT29,DMSO,0.5556313714512329,,58,20-40µm
PB000140,D22,7,35,nuclei,HT29,binimetinib,0.37433367260682804,,29,20-40µm
PB000141,G02,7,35,nuclei,HT29,DMSO,0.6553178680207067,,99,20-40µm
PB000139,C23,1,5,cell,HCT116,SN-38,0.4802062306337349,,20,0-20µm
PB000140,I13,3,15,nuclei,HT29,binimetinib,0.4690361773506211,,56,0-20µm
PB000139,J06,3,15,cell,HCT116,SN-38,0.607910009479988,,26,0-20µm
PB000140,J04,1,5,cell,HCT116,abemaciclib,0.6023196256763436,,30,0-20µm
PB000139,D11,1,5,nuclei,HCT116,binimetinib,0.4123602336707991,,14,0-20µm
PB000140,H23,1,5,nuclei,HT29,DMSO,0.8248768706693806,,45,0-20µm
PB000139,J06,11,55,cell,HCT116,SN-38,0.2852667048662402,,27,40-60µm
PB000140,I13,11,55,nuclei,HT29,binimetinib,0.0904,,23,40-60µm
PB000139,D06,5,25,cell,HT29,SN-38,0.5434318504928985,,29,20-40µm
PB000139,D11,9,45,nuclei,HCT116,binimetinib,0.37077969043830467,,10,40-60µm
PB000140,B14,3,15,nuclei,HT29,abemaciclib,0.8948006385872244,,49,0-20µm
PB000139,G08,5,25,nuclei,HCT116,abemaciclib,0.6770343747120081,,78,20-40µm
PB000140,C23,7,35,nuclei,HCT116,SN-38,0.3179961375185782,,22,20-40µm
PB000140,I13,9,45,nuclei,HT29,binimetinib,0.2435926806219753,,34,40-60µm
PB000139,J06,9,45,cell,HCT116,SN-38,0.3114444289721299,,21,40-60µm
PB000140,B14,7,35,cell,HT29,abemaciclib,0.5913255504654943,,60,20-40µm
PB000140,G08,7,35,cell,HCT116,abemaciclib,0.5196886799722586,,44,20-40µm
PB000140,B14,11,55,nuclei,HT29,abemaciclib,0.4916409267507409,,87,40-60µm
PB000139,D06,1,5,nuclei,HT29,SN-38,0.6855152394775036,,9,0-20µm
PB000139,C23,5,25,cell,HCT116,SN-38,0.38672397129284997,,24,20-40µm
PB000139,G08,3,15,cell,HCT116,abemaciclib,0.6925423869964001,,56,0-20µm
PB000139,J15,7,35,nuclei,HT29,abemaciclib,0.6304998272401803,,62,20-40µm
PB000139,C14,11,55,cell,HT29,binimetinib,0.0,,7,40-60µm
PB000139,C12,7,35,cell,HT29,SN-38,0.4174394546077016,,31,20-40µm
PB000140,J04,5,25,cell,HCT116,abemaciclib,0.6402364266340561,,65,20-40µm
PB000137,F06,7,35,nuclei,HCT116,DMSO,0.5597074025348534,,154,20-40µm
PB000139,D11,5,25,nuclei,HCT116,binimetinib,0.27036536169432474,,22,20-40µm
PB000139,C03,1,5,cell,HCT116,binimetinib,0.4439880074870385,,15,0-20µm
PB000140,B14,9,45,nuclei,HT29,abemaciclib,0.6492582263232219,,98,40-60µm
PB000139,G08,11,55,cell,HCT116,abemaciclib,0.3677733639844836,,49,40-60µm
PB000140,H23,5,25,nuclei,HT29,DMSO,0.7063485067113315,,113,20-40µm
PB000141,M23,3,15,cell,HT29,DMSO,0.7870601004146203,,59,0-20µm
PB000139,C23,1,5,nuclei,HCT116,SN-38,0.5708895745894328,,15,0-20µm
PB000139,C14,9,45,cell,HT29,binimetinib,0.0,,15,40-60µm
PB000141,M23,11,55,cell,HT29,DMSO,0.5570735090152565,,77,40-60µm
PB000139,C03,9,45,cell,HCT116,binimetinib,0.20782163035820359,,11,40-60µm
PB000139,J06,3,15,nuclei,HCT116,SN-38,0.6946595354035284,,29,0-20µm
PB000139,D11,3,15,cell,HCT116,binimetinib,0.4507578811577844,,26,0-20µm
PB000140,J04,1,5,nuclei,HCT116,abemaciclib,0.7441167892175675,,30,0-20µm
PB000140,J17,1,5,cell,HT29,SN-38,0.6198614650990709,,21,0-20µm
PB000139,G08,9,45,cell,HCT116,abemaciclib,0.46782336230835525,,67,40-60µm
PB000140,H23,3,15,cell,HT29,DMSO,0.6780398969365634,,48,0-20µm
PB000139,J06,11,55,nuclei,HCT116,SN-38,0.28866404465871603,,18,40-60µm
PB000140,B14,5,25,nuclei,HT29,abemaciclib,0.758391393373384,,69,20-40µm
PB000140,H23,11,55,cell,HT29,DMSO,0.6754779801240983,,116,40-60µm
PB000140,G19,11,55,cell,HT29,abemaciclib,0.28747416779411544,,25,40-60µm
PB000139,D06,5,25,nuclei,HT29,SN-38,0.4473143785022924,,25,20-40µm
PB000139,C14,5,25,cell,HT29,binimetinib,0.3302995154621817,,32,20-40µm
PB000139,C03,5,25,cell,HCT116,binimetinib,0.3121427993200032,,23,20-40µm
PB000139,J06,9,45,nuclei,HCT116,SN-38,0.362379659343372,,21,40-60µm
PB000140,H23,9,45,cell,HT29,DMSO,0.6402082031548058,,105,40-60µm
PB000140,G19,9,45,cell,HT29,abemaciclib,0.45529651454842635,,42,40-60µm
PB000141,M23,7,35,cell,HT29,DMSO,0.6599612727797081,,82,20-40µm
PB000139,D06,3,15,cell,HT29,SN-38,0.6664410705288726,,19,0-20µm
PB000141,M23,7,35,nuclei,HT29,DMSO,0.583927781219577,,84,20-40µm
PB000139,C23,5,25,nuclei,HCT116,SN-38,0.29633865309210977,,21,20-40µm
PB000139,G08,3,15,nuclei,HCT116,abemaciclib,0.7143707900433771,,61,0-20µm
PB000140,J17,5,25,cell,HT29,SN-38,0.6892484804572717,,45,20-40µm
PB000139,C12,7,35,nuclei,HT29,SN-38,0.4391852660426876,,40,20-40µm
PB000139,D06,11,55,cell,HT29,SN-38,0.25366068540967335,,20,40-60µm
PB000139,C03,1,5,nuclei,HCT116,binimetinib,0.4758072916666667,,15,0-20µm
PB000139,D11,7,35,cell,HCT116,binimetinib,0.4347300342610066,,28,20-40µm
PB000139,J15,1,5,nuclei,HT29,abemaciclib,0.7866452518091862,,21,0-20µm
PB000139,G08,11,55,nuclei,HCT116,abemaciclib,0.3510628198190501,,51,40-60µm
PB000140,I13,7,35,cell,HT29,binimetinib,0.3462034300944435,,55,20-40µm
PB000140,N05,9,45,cell,HCT116,DMSO,0.007004232513795395,,3,40-60µm
PB000139,C23,3,15,cell,HCT116,SN-38,0.5557681409108426,,27,0-20µm
PB000139,J15,7,35,cell,HT29,abemaciclib,0.5053620235205752,,42,20-40µm
PB000139,C14,9,45,nuclei,HT29,binimetinib,0.0,,9,40-60µm
PB000140,G19,5,25,cell,HT29,abemaciclib,0.5860200605452232,,26,20-40µm
PB000137,D12,1,5,cell,HCT116,DMSO,0.7986391664894747,,61,0-20µm
PB000140,G05,1,5,cell,HCT116,binimetinib,0.7050694444444444,,6,0-20µm
PB000140,J17,1,5,nuclei,HT29,SN-38,0.5238048165676087,,13,0-20µm
PB000139,D11,3,15,nuclei,HCT116,binimetinib,0.3332019750110109,,30,0-20µm
PB000139,D06,9,45,cell,HT29,SN-38,0.38933465500381764,,28,40-60µm
PB000139,C23,11,55,cell,HCT116,SN-38,0.26146478424500685,,9,40-60µm
PB000141,G02,7,35,cell,HT29,DMSO,0.4411360889533478,,71,20-40µm
PB000140,H23,3,15,nuclei,HT29,DMSO,0.7567120811741423,,83,0-20µm
PB000139,G08,9,45,nuclei,HCT116,abemaciclib,0.5263728554116972,,81,40-60µm
PB000140,D22,1,5,cell,HT29,binimetinib,0.4492054942095341,,20,0-20µm
PB000140,J04,11,55,cell,HCT116,abemaciclib,0.19234820995602228,,29,40-60µm
PB000139,D11,11,55,nuclei,HCT116,binimetinib,0.3867900376696046,,7,40-60µm
PB000140,J04,3,15,cell,HCT116,abemaciclib,0.6283128345523639,,51,0-20µm
PB000140,H23,11,55,nuclei,HT29,DMSO,0.6112858676207513,,185,40-60µm
PB000140,G19,1,5,nuclei,HT29,abemaciclib,0.7915127403618453,,8,0-20µm
PB000140,N05,5,25,cell,HCT116,DMSO,0.7944095628269456,,166,20-40µm
PB000139,C23,9,45,cell,HCT116,SN-38,0.36819829131396126,,18,40-60µm
PB000139,C14,5,25,nuclei,HT29,binimetinib,0.34442013803302934,,23,20-40µm
PB000139,C03,5,25,nuclei,HCT116,binimetinib,0.30101537073830736,,27,20-40µm
PB000140,J04,9,45,cell,HCT116,abemaciclib,0.3444713958054882,,52,40-60µm
PB000140,G08,1,5,nuclei,HCT116,abemaciclib,0.7848501768099758,,19,0-20µm
PB000140,H23,9,45,nuclei,HT29,DMSO,0.6183942052642318,,178,40-60µm
PB000140,G19,9,45,nuclei,HT29,abemaciclib,0.759357070811145,,83,40-60µm
PB000139,D06,3,15,nuclei,HT29,SN-38,0.4569349408059086,,17,0-20µm
PB000140,N05,1,5,nuclei,HCT116,DMSO,0.7196956857428017,,42,0-20µm
PB000137,D12,5,25,cell,HCT116,DMSO,0.8212284385463753,,181,20-40µm
PB000139,C14,3,15,cell,HT29,binimetinib,0.35505135273808797,,43,0-20µm
PB000140,G05,5,25,cell,HCT116,binimetinib,0.3819578028151812,,33,20-40µm
PB000139,C03,3,15,cell,HCT116,binimetinib,0.3375982597518169,,20,0-20µm
PB000140,J17,5,25,nuclei,HT29,SN-38,0.5722559575445221,,33,20-40µm
PB000139,D06,11,55,nuclei,HT29,SN-38,0.2889263872916241,,18,40-60µm
PB000140,C23,1,5,cell,HCT116,SN-38,0.5890421792618629,,10,0-20µm
PB000140,D22,5,25,cell,HT29,binimetinib,0.2330621897658463,,22,20-40µm
PB000139,C03,11,55,cell,HCT116,binimetinib,0.17827310013098843,,8,40-60µm
PB000140,I13,7,35,nuclei,HT29,binimetinib,0.3277921296623965,,65,20-40µm
PB000139,J06,7,35,cell,HCT116,SN-38,0.3810584751730699,,33,20-40µm
PB000139,C23,3,15,nuclei,HCT116,SN-38,0.40780094818154694,,24,0-20µm
PB000140,N05,9,45,nuclei,HCT116,DMSO,0.6423613859359435,,218,40-60µm
PB000140,J17,3,15,cell,HT29,SN-38,0.6936895633469727,,37,0-20µm
PB000137,D12,1,5,nuclei,HCT116,DMSO,0.8182169046700116,,69,0-20µm
PB000140,J04,3,15,nuclei,HCT116,abemaciclib,0.6365835933826358,,52,0-20µm
PB000137,F06,1,5,cell,HCT116,DMSO,0.5183471109550711,,15,0-20µm
PB000139,D06,9,45,nuclei,HT29,SN-38,0.41749326201291764,,30,40-60µm
PB000140,G19,5,25,nuclei,HT29,abemaciclib,0.8243165658260831,,36,20-40µm
PB000140,G05,1,5,nuclei,HCT116,binimetinib,0.6308754933620381,,18,0-20µm
PB000139,C23,11,55,nuclei,HCT116,SN-38,0.3087126180482686,,15,40-60µm
PB000140,G08,5,25,nuclei,HCT116,abemaciclib,0.6281381399950532,,68,20-40µm
PB000140,J17,11,55,cell,HT29,SN-38,0.6375241221444689,,44,40-60µm
