,Metadata_Site,Location_Center_X_cells,Location_Center_Y_cells
448196,11,201.0151,573.4059
448197,11,298.72696,574.7323
448198,11,561.6794,579.53784
448199,11,267.77048,588.9713
448200,11,161.12901,595.89105
448201,11,811.4593,596.45306
448202,11,496.52673,598.65314
448203,11,760.51764,600.1399
448204,11,686.53906,591.20715
448205,11,361.73727,595.2
448206,11,620.8032,623.3855
448207,11,431.17615,621.6798
448208,11,233.97212,618.49554
448209,11,313.08215,635.9942
448210,11,559.4214,628.4582
448211,11,681.4251,652.26184
448212,11,730.60156,667.45905
448213,11,781.4971,665.17316
448214,11,187.87228,664.36505
448215,11,570.2967,675.0832
448216,11,268.15884,703.2154
448217,11,638.9788,704.1721
448218,11,340.76193,690.8324
448219,11,516.30804,719.0976
448220,11,186.05035,709.35455
448221,11,406.5662,723.837
448222,11,461.0273,761.54443
448223,11,306.1463,747.2869
448224,11,698.89185,763.1332
448225,11,357.4198,786.2091
448226,11,519.8335,783.8444
448227,11,256.754,781.1375
448228,11,407.9924,811.2069
448229,11,470.03714,825.3856
448230,11,525.1772,838.6905
448231,11,583.167,839.7027
495284,12,513.11383,128.66199
495285,12,638.3005,157.93031
495286,12,481.7944,162.52069
495287,12,575.36115,165.70558
495288,12,327.31766,184.88391
495289,12,524.75256,178.80511
495290,12,709.2226,206.49925
495291,12,397.8839,198.84502
495292,12,234.42102,213.36577
495293,12,446.5446,224.12766
495294,12,612.7184,221.85017
495295,12,507.79666,223.97621
495296,12,674.6887,242.73161
495297,12,270.85583,243.4068
495298,12,774.7812,264.85706
495299,12,375.75613,265.83844
495300,12,180.63448,260.00992
495301,12,607.00287,285.59534
495302,12,432.66992,283.31512
495303,12,554.32196,299.94577
495304,12,314.21255,298.82538
495305,12,756.75934,322.61307
495306,12,145.91241,305.87262
495307,12,253.43108,312.96432
495308,12,808.1133,321.92838
495309,12,197.1019,323.0141
495310,12,363.01364,337.12863
495311,12,653.85,355.5701
495312,12,437.3993,331.3357
495313,12,302.11996,355.51746
495314,12,414.58356,378.31607
495315,12,591.6779,371.84195
495316,12,799.78894,388.05154
495317,12,709.20807,392.9946
495318,12,353.00528,417.05783
495319,12,276.0094,401.47046
495320,12,753.9148,391.37158
495321,12,314.7904,401.86826
495322,12,129.60582,398.0899
495323,12,627.31757,419.869
495324,12,767.3795,454.46973
495325,12,238.72302,459.86874
495326,12,288.77023,466.08533
495327,12,813.2681,463.84183
495328,12,155.73517,461.47513
495329,12,709.42444,508.47922
495330,12,498.32614,512.4153
495331,12,563.5827,515.2919
495332,12,240.47452,523.171
495333,12,327.75623,540.87146
495334,12,786.05743,537.0519
495335,12,382.02213,545.0367
495336,12,440.40442,555.8327
495337,12,209.3021,572.2866
495338,12,559.8089,578.2695
495339,12,267.77765,568.85815
495340,12,745.4367,592.6274
495341,12,807.4552,606.3321
495342,12,373.0381,617.51263
