umap1,umap2,kmeans_cluster,pathway
34.85494,16.195827,4,Protein Tyrosine Kinase
32.77664,13.822219,5,Protein Tyrosine Kinase
30.225006,22.50655,3,Protein Tyrosine Kinase
0.15026923,5.550345,1,DNA Damage
33.374474,19.522423,3,PI3K/Akt/mTOR
23.55752,15.378743,2,Cell Cycle
36.16513,12.461433,4,Cell Cycle
37.574123,14.354841,4,Protein Tyrosine Kinase
34.519135,19.952707,3,Protein Tyrosine Kinase
31.847736,21.183832,3,Protein Tyrosine Kinase
33.906406,20.07594,3,Protein Tyrosine Kinase
32.599777,18.934427,3,PI3K/Akt/mTOR
-1.0361886,5.964228,1,DNA Damage
31.511238,24.229733,3,Protein Tyrosine Kinase
38.952263,16.188353,4,Cytoskeletal Signaling
25.536375,18.432016,2,Cell Cycle
-0.5635468,8.251398,1,DNA Damage
