,Metadata_name,Metadata_conc_step,cell_line,MIP,Aggregates,Metadata_pathway
192,Tasel,4.0,HCT116,0.7218415349314544,0.633159968979577,PI3K/Akt/mTOR
193,Temoz,4.0,HCT116,-0.094265675799739,0.3651680662541279,DNA Damage
194,Trame,4.0,HCT116,0.4137508346570129,0.6367411373618133,MAPK
195,Trici,4.0,HCT116,0.1139795283041798,0.1895590900688137,PI3K/Akt/mTOR
196,Trifl,4.0,HCT116,0.333640634576628,0.6256609056171081,DNA Damage
197,Velip,4.0,HCT116,0.0401187958261428,0.4195150216235647,DNA Damage
198,Vemur,4.0,HCT116,0.0828871930978764,0.1956719179900112,MAPK
199,Vinor,4.0,HCT116,0.6198381947737641,0.8057268392194286,Cytoskeletal Signaling
200,abema,4.0,HCT116,0.5075452197843724,0.7813956863701659,Cell Cycle
201,5Z-7-,1.0,HT29,0.5567168053633385,0.671928343926997,MAPK
202,ABT-7,1.0,HT29,0.118614641395251,-0.0169818585938172,Apoptosis
203,AMG23,1.0,HT29,-0.0030430353276386,0.1456118165277238,Apoptosis
204,AZD45,1.0,HT29,-0.0566861275149544,0.0343508408766508,Angiogenesis
205,AZD77,1.0,HT29,0.3213783738734781,0.3016159605760184,Cell Cycle
206,AZD80,1.0,HT29,0.4117133669056427,0.6334153151206601,PI3K/Akt/mTOR
207,Adavo,1.0,HT29,0.3792721044964445,0.3401984433311846,Cell Cycle
208,Afati,1.0,HT29,0.1814125933538217,0.6789557518867898,Protein Tyrosine Kinase
209,Alpel,1.0,HT29,-0.0151502568912359,0.1233320481193596,PI3K/Akt/mTOR
210,BMS-7,1.0,HT29,0.7592632873928031,0.6537062278722489,Protein Tyrosine Kinase
211,Binim,1.0,HT29,0.7467426014657006,0.6493464678115779,MAPK
212,Borte,1.0,HT29,0.0828542434298403,0.0294030405872858,Proteases
213,Cobim,1.0,HT29,,,MAPK
214,Crizo,1.0,HT29,-0.1180895155978323,-0.0786108041166864,Protein Tyrosine Kinase
215,Dabra,1.0,HT29,0.6753223772173242,0.795130397034408,MAPK
216,Doram,1.0,HT29,0.0272432300418703,0.1900461222116976,MAPK
217,Encor,1.0,HT29,0.7118977512341903,0.7675176136421051,MAPK
218,Fluor,1.0,HT29,0.0369244546097078,0.0797999596171978,DNA Damage
219,Gefit,1.0,HT29,0.0289329979844707,0.1180410839657117,Protein Tyrosine Kinase
220,Gemci,1.0,HT29,0.6470677974292469,0.8421359386387088,DNA Damage
221,LGK-9,1.0,HT29,-0.0661110957720426,-0.0083580981093039,Stem Cells & Wnt
222,Linsi,1.0,HT29,0.3345304820961229,0.5444374611136381,Protein Tyrosine Kinase
223,MK-22,1.0,HT29,0.0164789107731122,0.3632441590910116,PI3K/Akt/mTOR
224,Migli,1.0,HT29,0.0548067461443906,0.2831309065794426,Others
225,Navit,1.0,HT29,0.1095383915096483,0.2525468294102115,Apoptosis
226,Nutli,1.0,HT29,-0.1416224758921078,-0.1514517641276856,Apoptosis
227,Olapa,1.0,HT29,-0.062795207300651,-0.0571982935275912,DNA Damage
228,Oxali,1.0,HT29,0.1625568268873835,0.4373643794713983,DNA Damage
229,PD032,1.0,HT29,0.5465398445742,0.757850799559909,MAPK
230,PI-10,1.0,HT29,-0.0417861219297982,0.1163469410652369,PI3K/Akt/mTOR
231,Pacli,1.0,HT29,-0.0020186738453875,0.0847150660893444,Cytoskeletal Signaling
232,Palbo,1.0,HT29,0.4827888632830566,0.7555783858560616,Cell Cycle
233,Phenf,1.0,HT29,-0.0607573004309613,0.0941813301798687,PI3K/Akt/mTOR
234,Rabus,1.0,HT29,0.129998511088327,0.292509113993833,Cell Cycle
235,Regor,1.0,HT29,0.1025323680129058,0.0194598066349751,Protein Tyrosine Kinase
236,Ruxol,1.0,HT29,-0.0069228753278938,0.0792989064407298,JAK/STAT
237,SB216,1.0,HT29,-0.0117620441032874,0.0365757603676792,PI3K/Akt/mTOR
238,SB505,1.0,HT29,0.0552931102490015,0.0673007630333502,TGF-beta/Smad
239,SN-38,1.0,HT29,0.4649726386287852,0.6554030333127099,DNA Damage
240,Sapit,1.0,HT29,0.078557492181712,0.29480066173453,Protein Tyrosine Kinase
241,Soraf,1.0,HT29,0.1866653235207962,0.4085853513395658,MAPK
242,Tanes,1.0,HT29,0.5182527030861479,0.4922189258764102,Cytoskeletal Signaling
243,Tasel,1.0,HT29,0.37967580752588,0.7023408177351957,PI3K/Akt/mTOR
244,Temoz,1.0,HT29,0.0215758647865141,0.04919859181039,DNA Damage
245,Trame,1.0,HT29,-0.0429304975123726,-0.1053932167472505,MAPK
246,Trici,1.0,HT29,0.0532770557841477,0.4224035932284902,PI3K/Akt/mTOR
247,Trifl,1.0,HT29,-0.1272805533950994,-0.0319735053946544,DNA Damage
248,Velip,1.0,HT29,-0.0983979084288184,0.04191768196298,DNA Damage
249,Vemur,1.0,HT29,0.4612846849581685,0.5420051250880282,MAPK
250,Vinor,1.0,HT29,0.2421305427424446,0.3288469442913004,Cytoskeletal Signaling
251,Vorin,1.0,HT29,0.1368153465337258,0.2631991673399597,Epigenetics
252,abema,1.0,HT29,0.3688273900427914,0.5986259804454945,Cell Cycle
253,5Z-7-,2.0,HT29,0.6198402568169843,0.7089294703647423,MAPK
254,ABT-7,2.0,HT29,0.0420647454516649,0.2650495959183258,Apoptosis
255,AMG23,2.0,HT29,-0.0449560943914763,0.1971918573898566,Apoptosis
256,AZD45,2.0,HT29,0.0250797582713274,-0.0491615711769475,Angiogenesis
257,AZD77,2.0,HT29,,,Cell Cycle
258,AZD80,2.0,HT29,0.5940058338546004,0.6609247248312768,PI3K/Akt/mTOR
259,Adavo,2.0,HT29,,,Cell Cycle
260,Afati,2.0,HT29,0.1246137574277817,0.3604094783495174,Protein Tyrosine Kinase
261,Alpel,2.0,HT29,0.226136030839648,0.4154786312919063,PI3K/Akt/mTOR
262,BMS-7,2.0,HT29,0.5928603234076344,0.3577840737455137,Protein Tyrosine Kinase
263,Binim,2.0,HT29,0.6594936155470993,0.7672544789558258,MAPK
264,Borte,2.0,HT29,0.4773029015990528,0.5801492733747511,Proteases
265,Cobim,2.0,HT29,0.6625693203052501,0.6918855247238362,MAPK
266,Crizo,2.0,HT29,0.1132252899359469,0.2031851545244379,Protein Tyrosine Kinase
267,Dabra,2.0,HT29,0.6046627293909999,0.6560174551270971,MAPK
268,Doram,2.0,HT29,0.0521196462228579,0.1129449855883395,MAPK
269,Encor,2.0,HT29,0.5720464089174235,0.4423357475635837,MAPK
270,Fluor,2.0,HT29,0.0285746503074676,0.2010761420683539,DNA Damage
271,Gefit,2.0,HT29,0.112307590953693,0.2024065446771493,Protein Tyrosine Kinase
272,Gemci,2.0,HT29,0.5678708513779318,0.7722326540665871,DNA Damage
273,LGK-9,2.0,HT29,-0.1689961195316099,-0.2328868086200789,Stem Cells & Wnt
274,Linsi,2.0,HT29,0.6168190561952152,0.686535804812083,Protein Tyrosine Kinase
275,MK-22,2.0,HT29,0.3760974151285083,0.395358295035855,PI3K/Akt/mTOR
276,Migli,2.0,HT29,-0.0151505554610051,0.1984850776505502,Others
277,Navit,2.0,HT29,0.1148526424927281,0.349181093355589,Apoptosis
278,Nutli,2.0,HT29,0.0326293445829522,0.1993190836746834,Apoptosis
279,Olapa,2.0,HT29,0.0392240592499544,0.0772176495987037,DNA Damage
280,Oxali,2.0,HT29,0.252341434411164,0.5816371062022143,DNA Damage
281,PD032,2.0,HT29,0.7663610085839809,0.6603801875515596,MAPK
282,PI-10,2.0,HT29,-0.0478410346733172,-0.0151388773765323,PI3K/Akt/mTOR
283,Pacli,2.0,HT29,0.4797478289281128,0.5271302067737288,Cytoskeletal Signaling
