,cmpd_code,cmpdname,z,channel,mean_laplacian_var,std_laplacian_var,mean_normalized_var,std_normalized_var,n_wells
44,colo-040,SN-38,8,SYTO,8518.67850435697,4432.1984133779115,575.2824270573215,180.7693883184603,26
49,colo-040,SN-38,9,SYTO,8433.947368915264,4333.56136549913,551.045624828605,169.28145173918824,26
54,colo-040,SN-38,10,SYTO,8318.695162259615,4158.83926293136,527.1401098874777,160.3649371069179,26
59,colo-040,SN-38,11,SYTO,8224.649545522836,4023.492658670789,502.7893872444564,153.47965183319903,26
64,colo-040,SN-38,12,SYTO,8140.890380859375,3857.2409538476873,478.46875596322,146.23434535565448,26
69,colo-040,SN-38,13,SYTO,8083.862220177283,3713.6674155624205,454.20899002480564,139.39009512673007,26
74,colo-040,SN-38,14,SYTO,8070.952345628005,3633.1650186771844,429.94768026860635,132.45543987396601,26
79,colo-040,SN-38,15,SYTO,8089.541090745192,3551.6398415883227,405.1615998952697,125.62425392180798,26
80,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0,CONC,2119.900682237413,839.564181845194,91.75043257961767,36.985003696783245,27
85,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",1,CONC,2346.658643934462,994.6394003230288,124.61576276035655,57.355990046797494,27
90,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",2,CONC,2573.759955512153,1141.7741596823762,153.4250893560547,70.34622998001733,27
95,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",3,CONC,2753.8276095920137,1251.0663332045324,170.98830319432844,76.08891035562274,27
100,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",4,CONC,2875.947866934317,1332.5192519786274,178.49224245518053,77.26407218366472,27
105,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",5,CONC,2954.5369036639177,1379.262689304542,179.57976907712066,75.54795970863563,27
110,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",6,CONC,2988.314168294271,1393.7376499464044,176.37529826346616,71.8725164911255,27
115,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",7,CONC,2998.7077342845773,1401.1910734650176,170.89937605532646,67.94543873910246,27
120,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",8,CONC,2987.1198888708045,1387.040975936365,163.9405485112534,63.838480690754764,27
125,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",9,CONC,2962.2460123697915,1356.319637585449,155.5370597321761,59.40566020914794,27
130,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",10,CONC,2936.5396185980903,1331.02221504603,147.05221561663768,55.49458582080275,27
135,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",11,CONC,2922.6394472475404,1312.75233456953,138.7082218606421,52.074720308516916,27
140,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",12,CONC,2920.9853199146414,1298.6900240491022,130.59726675295045,48.99135094895517,27
145,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",13,CONC,2924.922107837818,1292.386733364634,122.64438242704152,46.12305231527937,27
150,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",14,CONC,2940.527976707176,1283.8815122167098,115.07688164089231,43.617676684477544,27
155,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",15,CONC,2965.535517939815,1280.561989956165,107.83169108933212,41.34890756085987,27
81,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0,HOECHST,1618.4956235532406,370.77057857867817,83.78177524811007,40.73046505586718,27
86,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",1,HOECHST,1804.4178534613716,485.73870368570294,118.91624986674559,64.6559805799744,27
91,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",2,HOECHST,1993.771531846788,582.1162595059923,149.1006247388615,76.71651664493842,27
96,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",3,HOECHST,2150.634896737558,672.5580612824734,167.01280160420697,80.85888037540299,27
101,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",4,HOECHST,2254.698879665799,739.1326731692229,174.38811658611883,80.94486872653324,27
106,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",5,HOECHST,2308.8997350622108,770.9237103055725,172.9894173331362,76.71973337482365,27
111,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",6,HOECHST,2322.97326208044,771.2779722084957,166.4009223516096,70.40454567652468,27
116,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",7,HOECHST,2314.729618778935,771.9077192798356,157.94852672442326,64.31098064317952,27
121,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",8,HOECHST,2297.604058159722,764.5382859004966,148.60433026802394,58.67381624598231,27
126,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",9,HOECHST,2269.825208875868,733.4509364560846,138.38361077212446,52.96930399942264,27
131,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",10,HOECHST,2243.9384087456597,704.6747190483044,128.63575087018484,47.744079013475194,27
136,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",11,HOECHST,2226.8132007740164,679.8397337848007,119.49155510993855,43.113751177578195,27
141,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",12,HOECHST,2226.204250759549,665.5360936238797,111.27665545523422,39.36661741401276,27
146,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",13,HOECHST,2237.465035897714,655.2819115321196,103.40358390657418,35.903267744215476,27
151,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",14,HOECHST,2253.204607928241,648.942108046709,96.12097089454029,32.848584584835116,27
156,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",15,HOECHST,2282.489099573206,649.8763473519891,89.30898208912387,30.24316434467864,27
82,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0,MITO,29419.93800636574,10175.507476922612,3641.8459588985634,818.9402912970374,27
87,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",1,MITO,31361.651222511573,11457.734674815605,4302.2515789110685,1004.4093246948037,27
92,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",2,MITO,33729.32573784722,13053.608767084597,4878.529922211315,1069.0453331204067,27
97,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",3,MITO,35594.62405960648,14048.707866963401,5210.795389326739,1085.8118125769483,27
102,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",4,MITO,37187.80815972222,15197.44751529156,5376.456933802533,1092.634984458119,27
107,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",5,MITO,38155.163194444445,15998.266860133313,5415.386889272525,1071.8235484334343,27
112,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",6,MITO,38857.03468605324,16545.758737710443,5394.176646416144,1025.496178098467,27
117,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",7,MITO,39352.57179542824,17260.948152195833,5315.925019634901,990.5489720480089,27
122,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",8,MITO,39453.86990017361,17326.121106090788,5203.92619133043,958.7866787360767,27
127,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",9,MITO,39320.382523148146,17191.159417850355,5034.165122785593,906.4482487012147,27
132,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",10,MITO,39131.848343460646,16870.852677067134,4832.476077765747,856.9951881168265,27
137,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",11,MITO,39028.132921006945,16857.120127421178,4607.898501534237,813.8268203971634,27
142,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",12,MITO,39026.00831886574,16651.692431200197,4363.370603184618,778.0056276913588,27
147,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",13,MITO,38916.80682146991,16253.517803443758,4083.320256258393,737.9415286867239,27
152,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",14,MITO,38957.14702690972,16012.91968729795,3799.807324780302,709.6504481462863,27
157,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",15,MITO,39089.73871527778,15700.423730835013,3498.348116265766,681.7606727771995,27
83,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0,PHAandWGA,7296.877170138889,3288.5976660635897,673.8433390477419,233.4819921216122,27
88,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",1,PHAandWGA,8349.782904730902,3750.168786934967,858.2576558213342,318.2403895054405,27
93,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",2,PHAandWGA,9428.387514467593,4306.971285964156,1017.6895655198632,365.6221185108697,27
98,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",3,PHAandWGA,10421.855287905093,4836.3004319916545,1118.455005144471,383.6514481243396,27
103,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",4,PHAandWGA,11192.528700086805,5353.41672867835,1168.658884293096,388.70159606068444,27
108,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",5,PHAandWGA,11748.228099681714,5817.191892916558,1183.07356438751,381.96222833947223,27
113,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",6,PHAandWGA,12086.303837528934,6161.334890100226,1173.6877699971444,367.81953979518914,27
118,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",7,PHAandWGA,12226.089463975695,6403.382802621156,1146.5994432167838,354.58493565862324,27
123,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",8,PHAandWGA,12213.040798611111,6559.455107962338,1105.1304649648134,339.30363732042207,27
128,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",9,PHAandWGA,12055.337004484954,6644.696668025744,1051.6510403710408,323.18739036695507,27
133,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",10,PHAandWGA,11807.812310112848,6584.767203204481,996.338926979301,309.23758510548305,27
138,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",11,PHAandWGA,11599.955277054398,6597.387345322647,938.1201441622509,298.74148725399147,27
143,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",12,PHAandWGA,11350.722357855902,6482.230853804611,880.0320279454136,288.52945216234366,27
148,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",13,PHAandWGA,11083.555447048611,6343.270925104389,819.8296654384598,279.31979596481676,27
153,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",14,PHAandWGA,10953.718713831018,6293.462669728487,760.7779101066377,269.91752276999705,27
158,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",15,PHAandWGA,10744.470278139468,6137.231326689122,701.4445290305482,259.478879169621,27
84,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0,SYTO,3978.4788637514466,1852.1073340885162,377.64739601663774,153.69160331609115,27
89,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",1,SYTO,4744.413854528357,2598.7852601923623,507.56069564036295,244.07839355393156,27
94,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",2,SYTO,5542.757916485822,3264.0956182555437,616.236344363865,287.57948688297495,27
99,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",3,SYTO,6185.816162109375,3844.6813810849712,676.2106217750105,301.2564512262631,27
104,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",4,SYTO,6620.226417824074,4325.011553823683,696.9023980392186,297.87019939175786,27
109,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",5,SYTO,6863.605278862848,4722.679695317842,691.1118168785448,283.0706166091738,27
114,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",6,SYTO,6892.324905960648,4910.2923549450525,669.4042823598068,261.8815477278224,27
119,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",7,SYTO,6782.4198314525465,4932.832922729278,640.962608362495,242.29279461705812,27
124,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",8,SYTO,6589.817247178819,4795.612047418234,608.2377736162045,223.7169794856363,27
129,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",9,SYTO,6350.492449725116,4591.23501339066,571.5459060652317,205.56750502195794,27
134,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",10,SYTO,6135.968736436632,4368.099766064525,535.2122138147354,188.8490708792848,27
139,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",11,SYTO,5975.276462131076,4130.626600677426,499.7022650405732,174.99532175055575,27
144,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",12,SYTO,5856.671079282408,3954.758054948688,465.61048731942356,164.0784169753987,27
149,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",13,SYTO,5764.57398365162,3700.1972902627003,431.82350461548316,153.71998741997248,27
154,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",14,SYTO,5735.494981553819,3578.0482895295645,399.7904430511063,144.6270120893413,27
