,cmpd_code,cmpdname,z,channel,mean_laplacian_var,std_laplacian_var,mean_normalized_var,std_normalized_var,n_wells
3,colo-040,SN-38,0,PHAandWGA,10764.38613656851,3821.8282406757994,691.5487801165946,183.64782458084844,26
8,colo-040,SN-38,1,PHAandWGA,11917.064471905049,4105.293289481399,845.740756679581,221.74847593383683,26
13,colo-040,SN-38,2,PHAandWGA,13227.45137845553,4483.017040014747,998.2112687217818,252.17009938406144,26
18,colo-040,SN-38,3,PHAandWGA,14412.868013822115,4798.286417761924,1109.8687175379596,269.92841099394155,26
23,colo-040,SN-38,4,PHAandWGA,15411.513634314904,5182.515833533976,1174.055289342656,284.4474377558899,26
28,colo-040,SN-38,5,PHAandWGA,16100.932542067309,5481.4945186470595,1199.7413713546046,283.7119661964379,26
33,colo-040,SN-38,6,PHAandWGA,16619.51701472356,5734.104588569681,1197.5535290477528,273.51829050542426,26
38,colo-040,SN-38,7,PHAandWGA,16955.022028996395,5983.094637139745,1179.8092321920212,261.7254814458974,26
43,colo-040,SN-38,8,PHAandWGA,17126.167217548078,6146.450105353176,1153.2966039876146,245.87178804662852,26
48,colo-040,SN-38,9,PHAandWGA,17127.144080528848,6178.647524153002,1122.3408838179516,237.7085130443927,26
53,colo-040,SN-38,10,PHAandWGA,17182.026216947117,6380.880100326828,1088.6703767811275,235.5694536474995,26
58,colo-040,SN-38,11,PHAandWGA,17106.46521935096,6416.235675880988,1048.0970882693798,235.7921482562487,26
63,colo-040,SN-38,12,PHAandWGA,17027.10528094952,6468.584577628175,1007.6010486717182,233.22787715509284,26
68,colo-040,SN-38,13,PHAandWGA,16979.815166766828,6533.338024514051,964.6324499179696,230.495573406303,26
73,colo-040,SN-38,14,PHAandWGA,16929.72382061298,6523.37168934354,919.6849466366438,226.76173284470198,26
78,colo-040,SN-38,15,PHAandWGA,16875.10907451923,6559.114374038859,871.8944706766645,222.60025023543488,26
4,colo-040,SN-38,0,SYTO,5287.24862905649,2155.1283983540884,353.514723271289,128.64805380101328,26
9,colo-040,SN-38,1,SYTO,6024.89662522536,2690.0526841570336,446.407706944337,169.62075177193645,26
14,colo-040,SN-38,2,SYTO,6899.372352013221,3276.8121525803945,539.2062509224464,205.00169093775088,26
19,colo-040,SN-38,3,SYTO,7674.109891451322,3770.02639750593,601.1923700603542,223.10268511890897,26
24,colo-040,SN-38,4,SYTO,8188.0841721754805,4138.722674063768,627.5049386106831,225.4635373881464,26
29,colo-040,SN-38,5,SYTO,8482.380295973559,4388.514028648302,629.663223827703,218.44713207089436,26
34,colo-040,SN-38,6,SYTO,8588.598510742188,4454.463638350864,616.7969984015294,205.3092343243591,26
39,colo-040,SN-38,7,SYTO,8580.833139272836,4501.787030637337,597.2799051813662,192.3763020283569,26
