name_y,5Z-7-,AMG23,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Fluor,Gefit,Gemci,MK-22,Nutli,Olapa,Oxali,PD032,PI-10,Pacli,Palbo,Regor,SB505,SN-38,Soraf,Tanes,Tasel,Trame,Trifl,Velip,Vinor,Vorin,abema
Borte,0.39937816906763574,0.7979583168816494,0.352298589204278,0.6130590096804618,0.1352758244781986,0.7215304102140294,0.19573700752700762,0.04624805706476549,0.6278656753100189,0.2051427783263482,1.0000000000000009,0.129370427809262,0.4547594667977019,0.20609149147215172,0.11140326483491761,0.6329679018642571,0.07829254705095616,0.749592863581989,-0.027901546685637393,0.7420335410674314,0.5627493402259373,0.6421389204210974,0.34706732133687634,-0.14523273996133446,0.6066686930105992,0.433168425423956,0.040036201018143876,0.3329984248060897,0.7594469534626079,0.18936327566910738,0.23446459689763338,0.12953234081426612,0.2904194839507544,0.8038688710913593,0.19181981065678885,0.794616264406603,0.6456048830841079,0.557156096970016
Cobim,0.7634145912166621,0.12286348074493852,0.5641904526709385,0.54031728132232,0.6879291264630258,0.5711234004043413,0.7058679057626335,0.716054147549613,0.38905884840568095,0.9060063161240746,0.129370427809262,1.0,0.46765731875414696,0.5182780675339635,0.8813161178608317,0.25629666015278557,0.5544111438717111,0.313052930943866,0.7218449343932413,0.05158640540699196,-0.20549675450685917,0.5255925944302344,0.8483120921745968,0.5223376306309176,0.5590341102698495,0.03566159673436428,0.562705628688067,0.19624603885251748,0.7068956271892282,0.6396370287760464,0.7911408519531644,0.8266712877113714,0.838616137358313,0.18201393302454155,-0.036940427227685535,0.45992739877745237,0.2567112513301555,0.34949936303951484
Crizo,0.506975293832906,0.5963204184834817,0.6817768906641793,0.6509379108568571,0.13433956717666878,0.5915667741130675,0.6560169792163019,0.362883254211681,0.7139861090616473,0.5800591965788077,0.4547594667977019,0.46765731875414696,0.9999999999999993,0.5287019415858747,0.50993610807407,0.6071034793283505,0.5290373449043295,0.7686056479673592,0.428332904330204,0.6027498198188124,0.40384769085151756,0.3566512161263863,0.5806738688344572,0.30219903157847794,0.6552450564744968,0.6578796945842216,0.5909548976363986,0.6686420854234856,0.6060419507081136,0.4863281534637401,0.6964990697009211,0.40715255947033147,0.34671174491386975,0.6220111874829115,0.5678355201767318,0.4339256745101514,0.5183083692992442,0.7029894071254654
Dabra,0.7650188802667137,0.2818641161085114,0.6224581722872282,0.7512712334745778,0.6740030489089209,0.6048852239948443,0.8083513413506611,0.6710538659563734,0.5304586693418005,0.6697016642064888,0.20609149147215172,0.5182780675339635,0.5287019415858747,1.000000000000001,0.7720447273487883,0.3468896285850069,0.7641456810306286,0.33890647675922314,0.2861886410411807,0.10102718343555665,0.18729612754549693,0.3404289110227028,0.6888174773207287,0.7680611458187093,0.5679853357529328,0.27624169433570983,0.8246237567511456,0.5493892684951308,0.3513849447078526,0.7643284978070445,0.6360218992536147,0.780813593347715,0.5034018641224476,0.14405505609082808,0.41159500397605664,0.404272653533802,0.4761289376835668,0.3675733566998875
Encor,0.7649768658143973,0.1251422957732885,0.7138889225468068,0.6503514427424452,0.6846166587796221,0.5058802798322057,0.7748327055238833,0.7671016644311973,0.4917129274422859,0.8933337567078716,0.11140326483491761,0.8813161178608317,0.50993610807407,0.7720447273487883,0.9999999999999999,0.20916830234574338,0.7377775978559187,0.3804602903633515,0.6031989261165852,0.06742904129809663,-0.09661466754429747,0.4126654338512712,0.8349800894317985,0.6473532186528522,0.45042917029502433,0.19652685552285754,0.7793011237403416,0.4255092451700369,0.5306683031579604,0.7498874437871973,0.812747816050369,0.9012696449575673,0.8275876172056649,0.18258564987272408,0.195677221859706,0.3258638690499144,0.2780004645064267,0.35124925318394434
Fluor,0.39041215384375066,0.7712482677894614,0.3825166435349205,0.46979017118946337,0.07606907247352807,0.5531266038576886,0.39424567217944195,0.2895437813358891,0.6410547304139624,0.21562228717321894,0.6329679018642571,0.25629666015278557,0.6071034793283505,0.3468896285850069,0.20916830234574338,1.0000000000000009,0.10751388180067709,0.6641410488789026,0.11677591750167343,0.7410119459849581,0.37709004472549285,0.5804386598751219,0.2758277039367382,0.10853161017949503,0.6600300541633792,0.5417059557091712,0.21747971641359315,0.43406913935593144,0.7391334829718027,0.22292376639187955,0.3093587143235652,0.22782052245252848,0.1961124280796467,0.6676484096089922,0.28948327236344545,0.6374691068572422,0.5632384938023333,0.6792064496760484
Gefit,0.7360529022055587,0.09815805841330888,0.7331611587716955,0.7111096238898902,0.5640135668207179,0.5058427365774383,0.7883031705064725,0.6423493162906551,0.569453520450493,0.7090903215452806,0.07829254705095616,0.5544111438717111,0.5290373449043295,0.7641456810306286,0.7377775978559187,0.10751388180067709,0.999999999999999,0.3404728656424731,0.36558760172267507,0.07556080951645179,0.03341590680166335,0.20925737374401726,0.6962990877732185,0.6450693922112573,0.3336354944693516,0.2132581483839725,0.745285529608852,0.41223728853976854,0.3419139340357407,0.7630663668866164,0.6221804531586002,0.7421214890495782,0.5227068070249051,0.15814503137412372,0.3740657601288585,0.15351152775963867,0.4521682404457653,0.2943557677155882
Gemci,0.4536807368958452,0.7746895153643147,0.5626971591158018,0.6917894018625401,0.22650617657555464,0.7347754233280062,0.42638739010936605,0.16800764075236135,0.7288593025893989,0.33601459974777736,0.749592863581989,0.313052930943866,0.7686056479673592,0.33890647675922314,0.3804602903633515,0.6641410488789026,0.3404728656424731,1.0000000000000002,0.09496500689886246,0.7881390633824518,0.7092910823946041,0.5866583755912488,0.48658543981627267,0.06477330436849187,0.7670058439177222,0.752199964654902,0.45771073402313445,0.6236264014444902,0.8155409566397448,0.45902774361973014,0.6023385390532454,0.25463010296666533,0.41749064843881123,0.8623743268165084,0.5140094163984897,0.736066856386814,0.6387627700963465,0.7637367399208815
MK-22,0.46340190693557376,0.004903710348763428,0.3285102864634278,0.35164331207767685,0.45781093607056156,0.34749080932517445,0.6039659960729141,0.4659614094606204,0.19862505913070683,0.6498938437779562,-0.027901546685637393,0.7218449343932413,0.428332904330204,0.2861886410411807,0.6031989261165852,0.11677591750167343,0.36558760172267507,0.09496500689886246,0.9999999999999993,-0.09725447639939055,-0.32861380585190997,0.3658302637295427,0.5667255946441754,0.2935846377708002,0.6243317732958328,-0.188814454874707,0.28525036690498023,-0.0952524734832903,0.5139987958625389,0.35940904366753734,0.49409266330457613,0.5613670250520315,0.5788925055973475,0.006445621277503552,-0.2128000587325148,0.3496815463020496,0.001293982859792167,0.1426338679154999
Nutli,0.2522129198970957,0.8807460095577626,0.35154538938880936,0.49348540352685566,-0.028665580174646807,0.6029513876955429,0.19485773699931952,-0.02556441387655574,0.68297760243255,0.030978970711175835,0.7420335410674314,0.05158640540699196,0.6027498198188124,0.10102718343555665,0.06742904129809663,0.7410119459849581,0.07556080951645179,0.7881390633824518,-0.09725447639939055,1.0000000000000002,0.7418805952036412,0.45251998631875295,0.16302241760067304,-0.13172491634993586,0.6177570258179134,0.7590652887385632,0.18170426140389462,0.5451863785354933,0.7900886297018117,0.19149574939641298,0.3919406079835551,0.05800380416279537,0.10853172033248519,0.8656729293222859,0.46631070425597543,0.6486604127535963,0.6964588547218282,0.7485775574232896
Olapa,0.014097056463531377,0.5431940022026912,0.15609225483217018,0.18718622481188088,0.06259173013468369,0.4656952852344047,-0.06732125865155925,-0.21512146235443916,0.4279627008721274,-0.034574906929656396,0.5627493402259373,-0.20549675450685917,0.40384769085151756,0.18729612754549693,-0.09661466754429747,0.37709004472549285,0.03341590680166335,0.7092910823946041,-0.32861380585190997,0.7418805952036412,1.0000000000000004,0.3333691182075833,0.14676848828990138,-0.1146169796758229,0.41540534875746127,0.5740619055876353,0.03823222831462386,0.592924599979779,0.378716079633183,0.138767212963709,0.24994033758849998,0.0687569130285639,0.14491033213899607,0.7956665216924452,0.5310468626542264,0.428276895096835,0.630416258761774,0.532916822497719
Oxali,0.6961841205007144,0.6089999637614323,0.43424069125895065,0.5701987257122803,0.5415238352189797,0.7277574062685428,0.3072987209927024,0.440247911491245,0.521617575069438,0.5257602568387093,0.6421389204210974,0.5255925944302344,0.3566512161263863,0.3404289110227028,0.4126654338512712,0.5804386598751219,0.20925737374401726,0.5866583755912488,0.3658302637295427,0.45251998631875295,0.3333691182075833,1.0000000000000009,0.5551867727941018,0.21111301735987342,0.8168872147523545,0.12438731372802839,0.2014374507209751,0.22035232130147156,0.7915350718125858,0.43702915082647986,0.377481555752348,0.537275517420796,0.6100198088082729,0.5373513082141687,0.0038565369794582235,0.7866817782068204,0.5634147403046947,0.3864544007974706
