name_y,5Z-7-,AZD45,AZD77,AZD80,Adavo,Afati,Alpel,BMS-7,Binim,Borte,Cobim,Crizo,Dabra,Encor,Gefit,Gemci,Linsi,MK-22,Oxali,PD032,Pacli,Palbo,Rabus,Regor,SN-38,Tanes,Tasel,Trici,Trifl,Vemur,Vorin,abema
Pacli,0.6156644678166336,0.586615612939259,0.6082964814215839,0.6127622910846402,0.45619681438713966,0.512779222799211,0.5409153573248175,0.5794163846371481,0.6134979471430597,0.5842688215921203,0.5415125036932876,0.5398041107850808,0.5901540572692612,0.5890313258089765,0.5485868975321964,0.5059517366231943,0.6183740851018606,0.561047354757559,0.5593597150098307,0.5523671991571788,1.0000000000000004,0.5465820828701662,0.6796056821709728,0.5865904559624122,0.7057992794971888,0.4600039339605886,0.6183799444625733,0.12759182183190618,0.4557736875594548,0.5813802843953165,0.582985058547576,0.5216980526785046
Palbo,0.4282258274102634,0.6728129409849476,0.57719061254516,0.3939020563822541,0.44977096505277425,0.4766236531310398,0.5410050462622001,0.35233313917619935,0.39572751328520517,0.47450970417252186,0.35718932290729066,0.4260031716035476,0.4001947984736306,0.43356469523269925,0.320032913628067,0.7939226460426174,0.4562916596086164,0.36501409229624865,0.4138421045271494,0.2572504606132047,0.5465820828701662,1.0000000000000002,0.5018090065337508,0.46413142034512317,0.7065187193434544,0.5838907834578537,0.5253796123370662,0.5369298802064641,0.6923393605836177,0.43380665474679825,0.35905289931852835,0.748382950507195
Rabus,0.6409740679730255,0.6873162647654366,0.7240975938492447,0.6023193709842212,0.5978664162553893,0.6603431154028476,0.523620957232028,0.6706300948910877,0.7351364396479725,0.5300169403133128,0.7379697189338508,0.628199650224837,0.6831231726881635,0.7348440795236679,0.5963390105273199,0.47456338111086616,0.6882844761898604,0.6355560619993175,0.5729852561180415,0.6674309155913574,0.6796056821709728,0.5018090065337508,1.0000000000000002,0.6750861830853633,0.7559452853432393,0.4941028202427218,0.6739286314198427,0.00823599460687477,0.38686448207263285,0.5785983751946735,0.6726573936103089,0.4585911437830298
Regor,0.6011215320102384,0.43262063951358953,0.4523043203212498,0.7798037367278795,0.2905453150758656,0.6774450024932719,0.6338902568816085,0.6389065410856387,0.6489326449412951,0.6281327251839135,0.5698316603154082,0.7259912634559902,0.604209702306095,0.6108659932296208,0.808769928308378,0.561791122913301,0.8436538913465217,0.6875434062716079,0.7443153216832731,0.6687566939839429,0.5865904559624122,0.46413142034512317,0.6750861830853633,1.0,0.6175443894453954,0.8871960930639443,0.7305827471366579,0.16334849970693038,0.5455280097179457,0.7059900568569766,0.686192730772744,0.5043587841152779
SN-38,0.756493655238279,0.7545935793024134,0.7078488654290442,0.6264573085508873,0.5458594995039023,0.6570604072159898,0.6364611655981266,0.7114185387238301,0.7766635606512958,0.5460107696687593,0.7690113354267407,0.6820856134415944,0.7775685412623972,0.7757720657238363,0.644573605279233,0.6042023534422148,0.7075316151544945,0.6538200406440352,0.6518166839606794,0.6639012549090688,0.7057992794971888,0.7065187193434544,0.7559452853432393,0.6175443894453954,1.0000000000000018,0.5478477611642695,0.7929268023046759,0.21346883754220475,0.5333460821861051,0.6396474676472241,0.6911925466951534,0.7105309399362416
Tanes,0.5827456532630262,0.5847477885383311,0.6209314811537658,0.6035147709843204,0.47068793154787936,0.51870575396465,0.6620120882592382,0.5720100314399695,0.5847245345376726,0.6412395538684281,0.47008722282115833,0.46320428579337125,0.6180862514498326,0.639059634955087,0.7865739767712578,0.3177272451850442,0.8514803027640673,0.5140856522787621,0.5929069801999071,0.741294373887099,0.4600039339605886,0.5838907834578537,0.4941028202427218,0.8871960930639443,0.5478477611642695,0.9999999999999992,0.7067801901062178,0.20161761024313007,0.5195928018087408,0.6702315630662508,0.48237665870663105,0.4809865823780045
Tasel,0.8805803817543068,0.7151897466450654,0.6742988967726918,0.7914126231679084,0.42949919091701694,0.6931403276808028,0.7892636439493892,0.8396508515224442,0.8572444961392515,0.5633636509689596,0.8257857102331514,0.6523648847136472,0.8658543355010035,0.8656122911937929,0.7923356544614242,0.2859892522359446,0.8231918217496521,0.7370739963094068,0.7347637086592271,0.7679344533255622,0.6183799444625733,0.5253796123370662,0.6739286314198427,0.7305827471366579,0.7929268023046759,0.7067801901062178,1.0000000000000007,0.04560045995900119,0.4816837975893504,0.8039491311182299,0.7969353872863989,0.49936169576246014
Trici,-0.042381054182368025,0.08572479148679249,0.10537198465060416,0.013476468360318438,0.0066712571477448536,0.03632338212599013,0.050288268385355356,-0.05064908541857907,-0.04863683787719997,0.06577627524280508,-0.13700071056242652,0.09239116206544068,-0.09716728397724415,-0.07111442889050676,0.055610692571921305,0.571117127133408,0.0787973955253619,0.023929466446460056,0.07746083301313254,-0.13984195806134037,0.12759182183190618,0.5369298802064641,0.00823599460687477,0.16334849970693038,0.21346883754220475,0.20161761024313007,0.04560045995900119,1.0000000000000002,0.4524897584648948,0.07286708566383616,-0.04155195008788404,0.4120242583959368
Trifl,0.24391876971512372,0.3538055061122978,0.34411367180044156,0.418849155452931,0.18845801901997344,0.37302811851547757,0.3470355867687251,0.26041967011853784,0.27103250052693706,0.5394707141145586,0.17581184910630643,0.433046771829575,0.22998905121746752,0.25630113963424894,0.4759652968909912,0.7575349288731376,0.5750598731391545,0.39212292505991264,0.45939681686575606,0.23171308278723593,0.4557736875594548,0.6923393605836177,0.38686448207263285,0.5455280097179457,0.5333460821861051,0.5195928018087408,0.4816837975893504,0.4524897584648948,1.0000000000000013,0.48121640912746033,0.3616965864904482,0.6898997127758733
Vemur,0.8564174501596098,0.6524049534083983,0.6689983345875125,0.83152016537019,0.39221209031324145,0.6326760551957789,0.7335901026080796,0.8204457562787368,0.8427965470950508,0.46643135566916283,0.7511654656760911,0.6201663516262121,0.8313377768240096,0.8357799242945056,0.7746074627568003,0.6258709565813659,0.8604598366180658,0.7079982388423731,0.7724383454137489,0.8502381394455834,0.5813802843953165,0.43380665474679825,0.5785983751946735,0.7059900568569766,0.6396474676472241,0.6702315630662508,0.8039491311182299,0.07286708566383616,0.48121640912746033,1.000000000000002,0.7758622814360389,0.4135653435408062
