barcode,seg_type,well,plane,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_objects,n_pred,depth_um,depth_bin
PB000137,cell,F06,7,HCT116,DMSO,0.5931873843671653,0.3193310240426269,0.7155275695309687,0.3009708737864077,0.246031746031746,0.2707423580786026,31,95,72,126,103,35,20-40µm
PB000137,cell,F06,9,HCT116,DMSO,0.4819580930287506,0.3472929665522572,0.722140038384305,0.3068181818181818,0.2842105263157894,0.2950819672131147,27,68,61,95,88,45,40-60µm
PB000137,nuclei,D12,1,HCT116,DMSO,0.7918665018541409,0.7301698670817338,0.8834467070696803,0.8615384615384616,0.8115942028985508,0.835820895522388,56,13,9,69,65,5,0-20µm
PB000137,nuclei,D12,11,HCT116,DMSO,0.5601461296409966,0.5267379691717751,0.7805925603150989,0.6853448275862069,0.6115384615384616,0.6463414634146342,159,101,73,260,232,55,40-60µm
PB000137,nuclei,D12,3,HCT116,DMSO,0.8096701925240911,0.7429243083370293,0.8592176130192356,0.8676470588235294,0.8309859154929577,0.8489208633093526,118,24,18,142,136,15,0-20µm
PB000137,nuclei,D12,5,HCT116,DMSO,0.8379511569329933,0.8153327638041612,0.856168832064107,0.9371069182389936,0.9371069182389936,0.9371069182389936,149,10,10,159,159,25,20-40µm
PB000137,nuclei,D12,7,HCT116,DMSO,0.7576786855597452,0.7268895935151005,0.8247408093275954,0.874439461883408,0.8628318584070797,0.8685968819599109,195,31,28,226,223,35,20-40µm
PB000137,nuclei,D12,9,HCT116,DMSO,0.6416999981246869,0.6007330830784947,0.8078450178593279,0.7911111111111111,0.717741935483871,0.7526427061310782,178,70,47,248,225,45,40-60µm
PB000137,nuclei,F06,1,HCT116,DMSO,0.4922728114010735,0.4238508900107035,0.8089434460471876,0.8695652173913043,0.5128205128205128,0.6451612903225806,20,19,3,39,23,5,0-20µm
PB000137,nuclei,F06,11,HCT116,DMSO,0.2454956771043318,0.2419771865609234,0.7282813095287682,0.6875,0.2941176470588235,0.4119850187265917,55,132,25,187,80,55,40-60µm
PB000137,nuclei,F06,3,HCT116,DMSO,0.6901445909742538,0.6632296271243393,0.84658131230203,0.8554216867469879,0.7634408602150538,0.8068181818181818,71,22,12,93,83,15,0-20µm
PB000137,nuclei,F06,5,HCT116,DMSO,0.6967435348028088,0.6483068271279933,0.7724669196712702,0.8549618320610687,0.8,0.8265682656826568,112,28,19,140,131,25,20-40µm
PB000137,nuclei,F06,7,HCT116,DMSO,0.5439563381438,0.5228488230929611,0.723916932046888,0.796875,0.6623376623376623,0.7234042553191489,102,52,26,154,128,35,20-40µm
PB000137,nuclei,F06,9,HCT116,DMSO,0.4461656642056092,0.4404265363280539,0.7395949819137553,0.7967479674796748,0.5632183908045977,0.6599326599326599,98,76,25,174,123,45,40-60µm
PB000139,cell,C03,1,HCT116,binimetinib,0.4439880074870385,0.3295789490341492,0.675645991332777,0.4285714285714285,0.4,0.4137931034482759,6,9,8,15,14,5,0-20µm
PB000139,cell,C03,11,HCT116,binimetinib,0.1198417306410339,0.0875845057209714,,0.0,0.0,,0,8,3,8,3,55,40-60µm
PB000139,cell,C03,3,HCT116,binimetinib,0.3404506878550745,0.2035765368048149,0.6920475968578864,0.1666666666666666,0.15,0.1578947368421052,3,17,15,20,18,15,0-20µm
PB000139,cell,C03,5,HCT116,binimetinib,0.3059491487658549,0.2073108779026229,0.5600059902748675,0.1428571428571428,0.1304347826086956,0.1363636363636363,3,20,18,23,21,25,20-40µm
PB000139,cell,C03,7,HCT116,binimetinib,0.2871207261842284,0.1768361318076793,0.5961847222238253,0.1304347826086956,0.125,0.1276595744680851,3,21,20,24,23,35,20-40µm
PB000139,cell,C03,9,HCT116,binimetinib,0.2036026200873362,0.1626058017763057,0.5989690721649484,0.1111111111111111,0.0909090909090909,0.0999999999999999,1,10,8,11,9,45,40-60µm
PB000139,cell,C12,1,HT29,SN-38,0.7836114137420279,0.5480140329687855,0.7551545744070538,0.6153846153846154,0.6153846153846154,0.6153846153846154,8,5,5,13,13,5,0-20µm
PB000139,cell,C12,11,HT29,SN-38,0.2335504657841283,0.1838099139879831,0.587475340209255,0.4,0.1666666666666666,0.2352941176470588,2,10,3,12,5,55,40-60µm
PB000139,cell,C12,3,HT29,SN-38,0.7183526020735324,0.4726151704076364,0.7358169996912954,0.4814814814814814,0.4814814814814814,0.4814814814814814,13,14,14,27,27,15,0-20µm
PB000139,cell,C12,5,HT29,SN-38,0.5240843421401431,0.3872975889250212,0.6747857679094862,0.36,0.36,0.36,9,16,16,25,25,25,20-40µm
PB000139,cell,C12,7,HT29,SN-38,0.4098938862585472,0.2966588348387248,0.5923786694283548,0.3214285714285714,0.2903225806451613,0.3050847457627119,9,22,19,31,28,35,20-40µm
PB000139,cell,C12,9,HT29,SN-38,0.3381164997209411,0.2128386822741578,0.5690993614003121,0.1666666666666666,0.1176470588235294,0.1379310344827586,2,15,10,17,12,45,40-60µm
PB000139,cell,C14,1,HT29,binimetinib,0.579159076181976,0.2420904333236383,0.6924899443529889,0.1304347826086956,0.1304347826086956,0.1304347826086956,3,20,20,23,23,5,0-20µm
PB000139,cell,C14,11,HT29,binimetinib,0.0,0.0,,,0.0,,0,7,0,7,0,55,40-60µm
PB000139,cell,C14,3,HT29,binimetinib,0.3400760072702606,0.1726429296776014,0.6410037118392853,0.2222222222222222,0.1395348837209302,0.1714285714285714,6,37,21,43,27,15,0-20µm
PB000139,cell,C14,5,HT29,binimetinib,0.303766081871345,0.2235431983871769,0.6194587414323088,0.2857142857142857,0.1875,0.2264150943396226,6,26,15,32,21,25,20-40µm
PB000139,cell,C14,7,HT29,binimetinib,0.1380083210307341,0.0988950183699476,0.5294478527607362,0.1,0.0555555555555555,0.0714285714285714,1,17,9,18,10,35,20-40µm
PB000139,cell,C14,9,HT29,binimetinib,0.0,0.0,,,0.0,,0,15,0,15,0,45,40-60µm
PB000139,cell,C23,1,HCT116,SN-38,0.4613963463476396,0.304022392251443,0.6539423830440514,0.3846153846153846,0.25,0.303030303030303,5,15,8,20,13,5,0-20µm
PB000139,cell,C23,11,HCT116,SN-38,0.307528726179007,0.2818756051082315,0.7351845076957659,0.25,0.2222222222222222,0.2352941176470588,2,7,6,9,8,55,40-60µm
PB000139,cell,C23,3,HCT116,SN-38,0.5557681409108426,0.2140341282798718,0.6776228659538025,0.0909090909090909,0.074074074074074,0.0816326530612244,2,25,20,27,22,15,0-20µm
PB000139,cell,C23,5,HCT116,SN-38,0.3314842743008626,0.2408028820528784,0.6659743055524864,0.2222222222222222,0.1666666666666666,0.1904761904761905,4,20,14,24,18,25,20-40µm
PB000139,cell,C23,7,HCT116,SN-38,0.301139268868602,0.2365267476531892,0.7216498544691516,0.1666666666666666,0.15,0.1578947368421052,3,17,15,20,18,35,20-40µm
PB000139,cell,C23,9,HCT116,SN-38,0.3677768427787553,0.3271181868734127,0.5781460376255134,0.1538461538461538,0.1111111111111111,0.1290322580645161,2,16,11,18,13,45,40-60µm
PB000139,cell,D06,1,HT29,SN-38,0.7190318225007918,0.611757578542575,0.6793163707323783,0.875,0.7777777777777778,0.823529411764706,7,2,1,9,8,5,0-20µm
PB000139,cell,D06,11,HT29,SN-38,0.3175076671580168,0.2203980881635325,0.6206944179515046,0.1666666666666666,0.1,0.125,2,18,10,20,12,55,40-60µm
PB000139,cell,D06,3,HT29,SN-38,0.6260251297870739,0.4012811645168437,0.6909126442566226,0.4375,0.3684210526315789,0.3999999999999999,7,12,9,19,16,15,0-20µm
PB000139,cell,D06,5,HT29,SN-38,0.527190089672963,0.2567018751227208,0.689084549978655,0.3181818181818182,0.2413793103448276,0.2745098039215686,7,22,15,29,22,25,20-40µm
PB000139,cell,D06,7,HT29,SN-38,0.5194133446799457,0.252341854600924,0.6388211095809677,0.1724137931034483,0.1428571428571428,0.15625,5,30,24,35,29,35,20-40µm
PB000139,cell,D06,9,HT29,SN-38,0.3959161989865417,0.2692048681002481,0.6512293438621355,0.2857142857142857,0.2142857142857142,0.2448979591836734,6,22,15,28,21,45,40-60µm
PB000139,cell,D11,1,HCT116,binimetinib,0.490394820632562,0.3425073640215579,0.8476073617829942,0.25,0.2,0.2222222222222222,2,8,6,10,8,5,0-20µm
PB000139,cell,D11,11,HCT116,binimetinib,0.5561774511473974,0.372475166131291,0.6091290172254487,0.3333333333333333,0.25,0.2857142857142857,2,6,4,8,6,55,40-60µm
PB000139,cell,D11,3,HCT116,binimetinib,0.450747802950899,0.2337436350919191,0.6404148693661907,0.1304347826086956,0.1153846153846153,0.1224489795918367,3,23,20,26,23,15,0-20µm
PB000139,cell,D11,5,HCT116,binimetinib,0.2682028804007514,0.1446028892835307,0.7707969749854566,0.0588235294117647,0.0454545454545454,0.0512820512820512,1,21,16,22,17,25,20-40µm
PB000139,cell,D11,7,HCT116,binimetinib,0.4224272182627654,0.2482183153518425,0.6297371155782081,0.2352941176470588,0.1428571428571428,0.1777777777777777,4,24,13,28,17,35,20-40µm
PB000139,cell,D11,9,HCT116,binimetinib,0.3213401040376517,0.1913498763659634,0.6865046898324977,0.3,0.15,0.2,3,17,7,20,10,45,40-60µm
PB000139,cell,G08,1,HCT116,abemaciclib,0.7708209048405222,0.4604320900306795,0.7382836776936663,0.4166666666666667,0.3703703703703703,0.392156862745098,10,17,14,27,24,5,0-20µm
PB000139,cell,G08,11,HCT116,abemaciclib,0.3941727762830194,0.3006128394535011,0.712152791472137,0.3428571428571428,0.2448979591836734,0.2857142857142857,12,37,23,49,35,55,40-60µm
PB000139,cell,G08,3,HCT116,abemaciclib,0.7050536508463967,0.3552809747944893,0.7198808516215865,0.2941176470588235,0.2678571428571428,0.2803738317757009,15,41,36,56,51,15,0-20µm
PB000139,cell,G08,5,HCT116,abemaciclib,0.5845051351563842,0.3874139334460373,0.633200970346014,0.3673469387755102,0.3461538461538461,0.3564356435643564,18,34,31,52,49,25,20-40µm
PB000139,cell,G08,7,HCT116,abemaciclib,0.5262689739317529,0.4137301671486075,0.723473626240471,0.4225352112676056,0.4,0.410958904109589,30,45,41,75,71,35,20-40µm
PB000139,cell,G08,9,HCT116,abemaciclib,0.4964215435781176,0.3939247014731093,0.7335726519691067,0.4426229508196721,0.4029850746268656,0.421875,27,40,34,67,61,45,40-60µm
PB000139,cell,J06,1,HCT116,SN-38,0.6792827885310417,0.3375922064696479,0.7001292701685808,0.2307692307692307,0.2142857142857142,0.2222222222222222,3,11,10,14,13,5,0-20µm
PB000139,cell,J06,11,HCT116,SN-38,0.2803433506124664,0.209941775998166,0.7731874933406567,0.3125,0.1851851851851851,0.2325581395348837,5,22,11,27,16,55,40-60µm
PB000139,cell,J06,3,HCT116,SN-38,0.607910009479988,0.2860104236425762,0.6704466954593928,0.2608695652173913,0.2307692307692307,0.2448979591836734,6,20,17,26,23,15,0-20µm
PB000139,cell,J06,5,HCT116,SN-38,0.4286782015365138,0.2984034654480454,0.6725609851901596,0.3333333333333333,0.2692307692307692,0.2978723404255319,7,19,14,26,21,25,20-40µm
PB000139,cell,J06,7,HCT116,SN-38,0.3872881001213846,0.2836683097694213,0.6605873067235027,0.3703703703703703,0.303030303030303,0.3333333333333333,10,23,17,33,27,35,20-40µm
PB000139,cell,J06,9,HCT116,SN-38,0.3114459778689544,0.2973458419768591,0.6144972338690906,0.2941176470588235,0.238095238095238,0.2631578947368421,5,16,12,21,17,45,40-60µm
PB000139,cell,J15,1,HT29,abemaciclib,0.6956645774074727,0.6233811310482764,0.7309566643161477,0.7333333333333333,0.6875,0.7096774193548386,11,5,4,16,15,5,0-20µm
PB000139,cell,J15,11,HT29,abemaciclib,0.3744074686094057,0.3718182104558947,0.7028329305027384,0.4,0.3333333333333333,0.3636363636363636,4,8,6,12,10,55,40-60µm
PB000139,cell,J15,3,HT29,abemaciclib,0.7647800766350181,0.5067035427418701,0.7019314022488448,0.5555555555555556,0.5434782608695652,0.5494505494505495,25,21,20,46,45,15,0-20µm
PB000139,cell,J15,5,HT29,abemaciclib,0.6684086277516595,0.4515425881846325,0.7075389441646185,0.4318181818181818,0.4222222222222222,0.4269662921348315,19,26,25,45,44,25,20-40µm
PB000139,cell,J15,7,HT29,abemaciclib,0.5078648936727883,0.4046981542452446,0.6520475863227341,0.4390243902439024,0.4285714285714285,0.4337349397590361,18,24,23,42,41,35,20-40µm
PB000139,cell,J15,9,HT29,abemaciclib,0.423614684235252,0.3473462572741039,0.6329913536740016,0.1875,0.1764705882352941,0.1818181818181818,3,14,13,17,16,45,40-60µm
PB000139,nuclei,C03,1,HCT116,binimetinib,0.4887542767401425,0.4554203796021861,0.727112592810047,0.5333333333333333,0.5333333333333333,0.5333333333333333,8,7,7,15,15,5,0-20µm
PB000139,nuclei,C03,11,HCT116,binimetinib,0.0674527008500137,0.193503937007874,0.7740157480314961,0.3333333333333333,0.25,0.2857142857142857,1,3,2,4,3,55,40-60µm
PB000139,nuclei,C03,3,HCT116,binimetinib,0.3197456667537671,0.300033261971096,0.7491866359500562,0.2258064516129032,0.21875,0.2222222222222222,7,25,24,32,31,15,0-20µm
PB000139,nuclei,C03,5,HCT116,binimetinib,0.2787723460674727,0.2471371483284498,0.6847133880508045,0.1923076923076923,0.1851851851851851,0.1886792452830188,5,22,21,27,26,25,20-40µm
PB000139,nuclei,C03,7,HCT116,binimetinib,0.1876063696452366,0.2141721483497566,0.6703541128405274,0.375,0.25,0.3,12,36,20,48,32,35,20-40µm
PB000139,nuclei,C03,9,HCT116,binimetinib,0.1418369407574672,0.1300798781825164,0.6997826605043727,0.1428571428571428,0.1,0.1176470588235294,2,18,12,20,14,45,40-60µm
PB000139,nuclei,C12,1,HT29,SN-38,0.5800976655550262,0.473252299709183,0.8941848117589344,0.6842105263157895,0.4814814814814814,0.5652173913043478,13,14,6,27,19,5,0-20µm
PB000139,nuclei,C12,11,HT29,SN-38,0.2171253822629969,0.2216523877494148,0.8001159942318072,0.4,0.2222222222222222,0.2857142857142857,2,7,3,9,5,55,40-60µm
PB000139,nuclei,C12,3,HT29,SN-38,0.6173109078390873,0.5705578439062103,0.8848327213239537,0.7575757575757576,0.625,0.6849315068493151,25,15,8,40,33,15,0-20µm
PB000139,nuclei,C12,5,HT29,SN-38,0.470112126495521,0.4184019608446809,0.7840540199316325,0.5957446808510638,0.4827586206896552,0.5333333333333333,28,30,19,58,47,25,20-40µm
PB000139,nuclei,C12,7,HT29,SN-38,0.3861808353967406,0.3909298449471524,0.7428215293175912,0.5757575757575758,0.475,0.5205479452054794,19,21,14,40,33,35,20-40µm
PB000139,nuclei,C12,9,HT29,SN-38,0.2779213449771283,0.3030250178395483,0.7062817163082545,0.5,0.3529411764705882,0.4137931034482758,6,11,6,17,12,45,40-60µm
PB000139,nuclei,C14,1,HT29,binimetinib,0.547653340827654,0.5033443875358765,0.7538907130543531,0.6785714285714286,0.6551724137931034,0.6666666666666666,19,10,9,29,28,5,0-20µm
PB000139,nuclei,C14,11,HT29,binimetinib,0.0,0.0,,,0.0,,0,8,0,8,0,55,40-60µm
PB000139,nuclei,C14,3,HT29,binimetinib,0.3371477790082441,0.3104974277614564,0.6388324201530202,0.3928571428571428,0.3928571428571428,0.3928571428571428,11,17,17,28,28,15,0-20µm
PB000139,nuclei,C14,5,HT29,binimetinib,0.3856716520899101,0.3931433361081576,0.6655518881883012,0.5909090909090909,0.5652173913043478,0.5777777777777778,13,10,9,23,22,25,20-40µm
PB000139,nuclei,C14,7,HT29,binimetinib,0.2419928825622775,0.2223332536940913,0.7093721549517561,0.3636363636363636,0.2666666666666666,0.3076923076923076,4,11,7,15,11,35,20-40µm
PB000139,nuclei,C14,9,HT29,binimetinib,0.0,0.0,,,0.0,,0,9,0,9,0,45,40-60µm
PB000139,nuclei,C23,1,HCT116,SN-38,0.6628631586096819,0.6451217693129874,0.7567193929587162,0.7333333333333333,0.7333333333333333,0.7333333333333333,11,4,4,15,15,5,0-20µm
PB000139,nuclei,C23,11,HCT116,SN-38,0.2707046514559435,0.3094748257923724,0.7360626689089481,0.5555555555555556,0.3333333333333333,0.4166666666666667,5,10,4,15,9,55,40-60µm
PB000139,nuclei,C23,3,HCT116,SN-38,0.3696619052891891,0.3970456698818867,0.7148030939655637,0.2916666666666667,0.2916666666666667,0.2916666666666667,7,17,17,24,24,15,0-20µm
PB000139,nuclei,C23,5,HCT116,SN-38,0.3052634756447279,0.3041925665886666,0.6230001768917278,0.3,0.2857142857142857,0.2926829268292683,6,15,14,21,20,25,20-40µm
PB000139,nuclei,C23,7,HCT116,SN-38,0.2552085925601489,0.27142636021923,0.6982820687696742,0.3478260869565217,0.2857142857142857,0.3137254901960784,8,20,15,28,23,35,20-40µm
PB000139,nuclei,C23,9,HCT116,SN-38,0.4085142744462216,0.4384456996776366,0.6653482381098959,0.3846153846153846,0.3846153846153846,0.3846153846153846,5,8,8,13,13,45,40-60µm
PB000139,nuclei,D06,1,HT29,SN-38,0.7243283032756717,0.7284626038788362,0.7284626038788362,1.0,1.0,1.0,9,0,0,9,9,5,0-20µm
PB000139,nuclei,D06,11,HT29,SN-38,0.3210067368543848,0.3066620795580911,0.6173646609158026,0.6363636363636364,0.3888888888888889,0.4827586206896552,7,11,4,18,11,55,40-60µm
PB000139,nuclei,D06,3,HT29,SN-38,0.4684239186424713,0.5099749247917866,0.7555002768105743,0.5882352941176471,0.5882352941176471,0.5882352941176471,10,7,7,17,17,15,0-20µm
PB000139,nuclei,D06,5,HT29,SN-38,0.438595681007888,0.4319410110512235,0.6497942362874258,0.4545454545454545,0.4,0.4255319148936171,10,15,12,25,22,25,20-40µm
PB000139,nuclei,D06,7,HT29,SN-38,0.3350867407098828,0.3409710446049881,0.6536851775895292,0.3103448275862069,0.2903225806451613,0.3,9,22,20,31,29,35,20-40µm
PB000139,nuclei,D06,9,HT29,SN-38,0.3562719841263334,0.3551971789871351,0.6679929416197077,0.5652173913043478,0.4333333333333333,0.490566037735849,13,17,10,30,23,45,40-60µm
PB000139,nuclei,D11,1,HCT116,binimetinib,0.3426807160661681,0.3179489669942567,0.7147250774099427,0.3636363636363636,0.2857142857142857,0.32,4,10,7,14,11,5,0-20µm
PB000139,nuclei,D11,11,HCT116,binimetinib,0.3784979623520279,0.3074941413801087,0.6148961013885329,0.3333333333333333,0.2857142857142857,0.3076923076923076,2,5,4,7,6,55,40-60µm
PB000139,nuclei,D11,3,HCT116,binimetinib,0.3146710792600176,0.3152041409673366,0.6928932953194469,0.3,0.3,0.3,9,21,21,30,30,15,0-20µm
PB000139,nuclei,D11,5,HCT116,binimetinib,0.2015352776975647,0.2064672986161433,0.6243031095656113,0.15,0.1363636363636363,0.1428571428571428,3,19,17,22,20,25,20-40µm
PB000139,nuclei,D11,7,HCT116,binimetinib,0.3596846618724467,0.376084193409572,0.5529455878156907,0.4117647058823529,0.4117647058823529,0.4117647058823529,7,10,10,17,17,35,20-40µm
PB000139,nuclei,D11,9,HCT116,binimetinib,0.397431512173886,0.2958165245627577,0.6252931107910877,0.3,0.3,0.3,3,7,7,10,10,45,40-60µm
PB000139,nuclei,G08,1,HCT116,abemaciclib,0.8030182009754772,0.7973417502095651,0.8637868960603624,0.96,0.9230769230769232,0.9411764705882352,24,2,1,26,25,5,0-20µm
PB000139,nuclei,G08,11,HCT116,abemaciclib,0.5002144433440685,0.4691520371776967,0.6405747308992837,0.7619047619047619,0.6274509803921569,0.6881720430107526,32,19,10,51,42,55,40-60µm
PB000139,nuclei,G08,3,HCT116,abemaciclib,0.7804418272726457,0.7232649610413479,0.8148039415919055,0.864406779661017,0.8360655737704918,0.85,51,10,8,61,59,15,0-20µm
PB000139,nuclei,G08,5,HCT116,abemaciclib,0.563483973269906,0.5503322656848572,0.8598699130075432,0.8571428571428571,0.6153846153846154,0.7164179104477612,48,30,8,78,56,25,20-40µm
PB000139,nuclei,G08,7,HCT116,abemaciclib,0.5932757923770121,0.5766899129101041,0.7866641816817593,0.8522727272727273,0.6944444444444444,0.7653061224489796,75,33,13,108,88,35,20-40µm
PB000139,nuclei,G08,9,HCT116,abemaciclib,0.6479137863802332,0.6284394452652734,0.8472463910267988,0.8656716417910447,0.7160493827160493,0.7837837837837838,58,23,9,81,67,45,40-60µm
PB000139,nuclei,J06,1,HCT116,SN-38,0.6925396145610279,0.6735507842828266,0.7067165932366269,0.8666666666666667,0.8666666666666667,0.8666666666666667,13,2,2,15,15,5,0-20µm
PB000139,nuclei,J06,11,HCT116,SN-38,0.354998099581908,0.3815694691834653,0.7059912786016361,0.6428571428571429,0.5,0.5625000000000001,9,9,5,18,14,55,40-60µm
PB000139,nuclei,J06,3,HCT116,SN-38,0.6767957226758048,0.6847873808808559,0.7477081424444463,0.9629629629629628,0.896551724137931,0.9285714285714286,26,3,1,29,27,15,0-20µm
PB000139,nuclei,J06,5,HCT116,SN-38,0.51203508064088,0.4849500624646258,0.7806042941313318,0.6296296296296297,0.5862068965517241,0.6071428571428571,17,12,10,29,27,25,20-40µm
PB000139,nuclei,J06,7,HCT116,SN-38,0.3371609025456415,0.3603960183218798,0.7647341681475366,0.5185185185185185,0.3783783783783784,0.4375,14,23,13,37,27,35,20-40µm
PB000139,nuclei,J06,9,HCT116,SN-38,0.4295073443390095,0.3828894937595547,0.6911628765587667,0.5294117647058824,0.4285714285714285,0.4736842105263158,9,12,8,21,17,45,40-60µm
PB000139,nuclei,J15,1,HT29,abemaciclib,0.8150679342282426,0.7943332032819128,0.8649720266963846,0.95,0.9047619047619048,0.9268292682926828,19,2,1,21,20,5,0-20µm
PB000139,nuclei,J15,11,HT29,abemaciclib,0.3566824237215298,0.3675570911445097,0.7223229433305514,0.5,0.3846153846153846,0.4347826086956522,5,8,5,13,10,55,40-60µm
PB000139,nuclei,J15,3,HT29,abemaciclib,0.8154903462453142,0.7895634753405436,0.8927113515819781,0.8979591836734694,0.8627450980392157,0.8799999999999999,44,7,5,51,49,15,0-20µm
PB000139,nuclei,J15,5,HT29,abemaciclib,0.6700911839162386,0.6142679651384221,0.8323124415797856,0.803921568627451,0.7068965517241379,0.7522935779816514,41,17,10,58,51,25,20-40µm
PB000139,nuclei,J15,7,HT29,abemaciclib,0.5964352421874346,0.5643757259425506,0.8438906218128329,0.7843137254901961,0.6451612903225806,0.7079646017699115,40,22,11,62,51,35,20-40µm
PB000139,nuclei,J15,9,HT29,abemaciclib,0.37997356452234,0.3878075938101881,0.8127670565963969,0.84,0.4666666666666667,0.6000000000000001,21,24,4,45,25,45,40-60µm
PB000140,cell,B14,1,HT29,abemaciclib,0.5559501827636885,0.318707156143008,0.5571260801070209,0.2142857142857142,0.1875,0.1999999999999999,3,13,11,16,14,5,0-20µm
PB000140,cell,B14,11,HT29,abemaciclib,0.361582921806143,0.3286777604140747,0.6716473768583806,0.25,0.25,0.25,4,12,12,16,16,55,40-60µm
PB000140,cell,B14,3,HT29,abemaciclib,0.7313174616554875,0.3640669340237023,0.6836984375719508,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,28,28,42,42,15,0-20µm
PB000140,cell,B14,5,HT29,abemaciclib,0.749851516706314,0.2948101683744757,0.641273317798591,0.2280701754385964,0.2241379310344827,0.2260869565217391,13,45,44,58,57,25,20-40µm
PB000140,cell,B14,7,HT29,abemaciclib,0.5913198667742778,0.3079771313411071,0.6694986365701416,0.2166666666666666,0.2166666666666666,0.2166666666666666,13,47,47,60,60,35,20-40µm
PB000140,cell,B14,9,HT29,abemaciclib,0.4247116243152585,0.3097557687582485,0.6576759557073615,0.2258064516129032,0.2258064516129032,0.2258064516129032,7,24,24,31,31,45,40-60µm
PB000140,cell,C23,1,HCT116,SN-38,0.5890421792618629,0.5421181089156702,0.7141060388861927,0.5,0.5,0.5,5,5,5,10,10,5,0-20µm
PB000140,cell,C23,11,HCT116,SN-38,0.1936047546968212,0.2266224188110678,0.5949572912119271,0.2857142857142857,0.2222222222222222,0.25,2,7,5,9,7,55,40-60µm
PB000140,cell,C23,3,HCT116,SN-38,0.5970768125721002,0.3304659282206927,0.6630174639157798,0.238095238095238,0.1923076923076923,0.2127659574468084,5,21,16,26,21,15,0-20µm
PB000140,cell,C23,5,HCT116,SN-38,0.4467943058927389,0.219047340537726,0.7246327721313204,0.15,0.12,0.1333333333333333,3,22,17,25,20,25,20-40µm
PB000140,cell,C23,7,HCT116,SN-38,0.3615828190712933,0.2448250906946449,0.6569822893012536,0.1538461538461538,0.1176470588235294,0.1333333333333333,2,15,11,17,13,35,20-40µm
PB000140,cell,C23,9,HCT116,SN-38,0.2362004562038124,0.1567725012095486,0.6288123759905717,0.1666666666666666,0.0909090909090909,0.1176470588235294,2,20,10,22,12,45,40-60µm
PB000140,cell,D22,1,HT29,binimetinib,0.4492054942095341,0.2336061829911082,0.6785175563183854,0.1052631578947368,0.1,0.1025641025641025,2,18,17,20,19,5,0-20µm
PB000140,cell,D22,11,HT29,binimetinib,0.0,0.0,,,0.0,,0,7,0,7,0,55,40-60µm
PB000140,cell,D22,3,HT29,binimetinib,0.2462990217297203,0.2202248514984482,0.6729952147350851,0.2631578947368421,0.217391304347826,0.238095238095238,5,18,14,23,19,15,0-20µm
PB000140,cell,D22,5,HT29,binimetinib,0.2786370001555936,0.1773788049092416,0.6222278409859375,0.2941176470588235,0.2272727272727272,0.2564102564102564,5,17,12,22,17,25,20-40µm
PB000140,cell,D22,7,HT29,binimetinib,0.441894788628457,0.3011748444012634,0.5935744464058574,0.375,0.3333333333333333,0.3529411764705882,6,12,10,18,16,35,20-40µm
PB000140,cell,D22,9,HT29,binimetinib,0.0721054667354306,0.0663581442267572,0.6855747558226897,0.125,0.0833333333333333,0.1,1,11,7,12,8,45,40-60µm
