Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Gefit_3.0,0.1114741329198766,Gefit,3.0,HCT116,replicate
Gemci_3.0,0.3027497430875692,Gemci,3.0,HCT116,replicate
LGK-9_3.0,0.07054561298713344,LGK-9,3.0,HCT116,replicate
Linsi_3.0,0.1648741140484185,Linsi,3.0,HCT116,replicate
MK-22_3.0,0.17172628982169175,MK-22,3.0,HCT116,replicate
Migli_3.0,0.0016254000026969945,Migli,3.0,HCT116,replicate
Navit_3.0,0.027112969910028265,Navit,3.0,HCT116,replicate
Nutli_3.0,0.06571839669319299,Nutli,3.0,HCT116,replicate
Olapa_3.0,0.16576142197757138,Olapa,3.0,HCT116,replicate
Oxali_3.0,,Oxali,3.0,HCT116,replicate
PD032_3.0,0.4443822951248205,PD032,3.0,HCT116,replicate
PI-10_3.0,0.12433222257974492,PI-10,3.0,HCT116,replicate
Pacli_3.0,0.306598618356633,Pacli,3.0,HCT116,replicate
Palbo_3.0,0.4843346536385973,Palbo,3.0,HCT116,replicate
Phenf_3.0,0.029275778413905836,Phenf,3.0,HCT116,replicate
Rabus_3.0,0.04590856752233606,Rabus,3.0,HCT116,replicate
Regor_3.0,0.28239398694813456,Regor,3.0,HCT116,replicate
Ruxol_3.0,0.09596705336369854,Ruxol,3.0,HCT116,replicate
SB216_3.0,-0.06656267578283474,SB216,3.0,HCT116,replicate
SB505_3.0,0.06326342255332897,SB505,3.0,HCT116,replicate
SN-38_3.0,0.6896622770936067,SN-38,3.0,HCT116,replicate
Sapit_3.0,-0.10836335280866558,Sapit,3.0,HCT116,replicate
Soraf_3.0,0.3212363092173233,Soraf,3.0,HCT116,replicate
Tanes_3.0,0.25661274084935115,Tanes,3.0,HCT116,replicate
Tasel_3.0,0.5038631406788245,Tasel,3.0,HCT116,replicate
Temoz_3.0,0.3331841461053817,Temoz,3.0,HCT116,replicate
Trame_3.0,0.4445020942526208,Trame,3.0,HCT116,replicate
Trici_3.0,0.056921530967922136,Trici,3.0,HCT116,replicate
Trifl_3.0,0.07527989497880522,Trifl,3.0,HCT116,replicate
Velip_3.0,0.1981074023660117,Velip,3.0,HCT116,replicate
Vemur_3.0,0.2500550990921589,Vemur,3.0,HCT116,replicate
Vinor_3.0,0.7992748525085969,Vinor,3.0,HCT116,replicate
Vorin_3.0,0.271734745213012,Vorin,3.0,HCT116,replicate
abema_3.0,0.5296234762993701,abema,3.0,HCT116,replicate
ABT-7_4.0,0.039934437780791504,ABT-7,4.0,HCT116,replicate
AMG23_4.0,0.6600350014428672,AMG23,4.0,HCT116,replicate
AZD45_4.0,0.6973919103925387,AZD45,4.0,HCT116,replicate
AZD77_4.0,,AZD77,4.0,HCT116,replicate
AZD80_4.0,0.2645407991928539,AZD80,4.0,HCT116,replicate
Adavo_4.0,0.17870508157685988,Adavo,4.0,HCT116,replicate
Afati_4.0,0.4127725330016855,Afati,4.0,HCT116,replicate
Alpel_4.0,0.6432638587272816,Alpel,4.0,HCT116,replicate
BMS-7_4.0,0.11275697203037699,BMS-7,4.0,HCT116,replicate
Binim_4.0,0.6493247309668064,Binim,4.0,HCT116,replicate
Dabra_4.0,0.4928623426628185,Dabra,4.0,HCT116,replicate
Doram_4.0,0.19116403562288678,Doram,4.0,HCT116,replicate
Encor_4.0,0.6881666768406869,Encor,4.0,HCT116,replicate
Fluor_4.0,0.10632799715375682,Fluor,4.0,HCT116,replicate
Gefit_4.0,0.2512883245152046,Gefit,4.0,HCT116,replicate
Gemci_4.0,0.43243431805324567,Gemci,4.0,HCT116,replicate
LGK-9_4.0,-0.050853106766380024,LGK-9,4.0,HCT116,replicate
Linsi_4.0,0.20672546032893402,Linsi,4.0,HCT116,replicate
MK-22_4.0,0.5141270804071547,MK-22,4.0,HCT116,replicate
Migli_4.0,0.005559685857957595,Migli,4.0,HCT116,replicate
Navit_4.0,0.03919716067133081,Navit,4.0,HCT116,replicate
Nutli_4.0,0.18340828830494416,Nutli,4.0,HCT116,replicate
Olapa_4.0,0.1896075837831197,Olapa,4.0,HCT116,replicate
Oxali_4.0,0.7485582890721671,Oxali,4.0,HCT116,replicate
PD032_4.0,,PD032,4.0,HCT116,replicate
PI-10_4.0,0.00779552562493664,PI-10,4.0,HCT116,replicate
Pacli_4.0,0.3633383172174542,Pacli,4.0,HCT116,replicate
Phenf_4.0,-0.017396351064362808,Phenf,4.0,HCT116,replicate
Rabus_4.0,0.0656434064556988,Rabus,4.0,HCT116,replicate
Regor_4.0,0.25707289200195793,Regor,4.0,HCT116,replicate
