,Metadata_cmpd_conc,Metadata_name,Metadata_cell_line,Metadata_Barcode,corr,null_corr,missing
69,0.010002279,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.29084389366889973,0.23582915233682678,False
72,0.0316473,berb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
75,0.0316473,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.5395035169100796,0.19087258953443065,False
78,0.0316473,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
81,0.0316473,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
84,0.0316473,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
87,0.0316473,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.3547980586479931,0.3571998643290426,False
90,0.1,berb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.5449960420257576,0.1293595833262149,False
93,0.1,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.432036537854219,0.39052243568396117,False
95,0.1,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
98,0.1,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.44498564324285184,0.1380919935565652,False
101,0.1,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
108,0.31428571,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
111,0.31428571,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.49630175390062403,0.13278206890211408,False
112,0.31428571,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
115,0.31428571,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.30744651029025727,0.23780311477775085,False
120,1.0,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.5532826640661195,-0.027882596336950893,False
122,1.0,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
126,1.0,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.38139799306937894,0.24910634102354612,False
129,1.0,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.3153051955864703,0.1735074846077389,False
132,10.0,berb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
135,10.0,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
136,10.0,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.12456674169805204,0.10614567547252474,False
139,10.0,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.38460123559353954,0.3617521110419488,False
144,3.1642857,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
145,3.1642857,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
148,3.1642857,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.6792614899518853,0.4899580497663847,False
150,3.1642857,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
153,3.1642857,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.4581551055153307,0.10332586530778187,False
176,0.1,noco,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
177,10.0,etop,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
178,0.31428571,etop,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
179,3.1642857,berb,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
180,1.0,berb,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
181,0.31428571,berb,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
182,0.010002279,berb,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
183,10.0,fenb,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
185,1.0,flup,,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
