umap1,umap2,kmeans_cluster,pathway
15.829785,10.1651745,5,MAPK
1.6393205,15.418383,3,Cytoskeletal Signaling
16.536425,6.273015,0,MAPK
-8.48476,7.714134,4,Cell Cycle
15.365149,8.752728,0,MAPK
-0.09433829,10.093213,4,DNA Damage
-0.869435,12.448955,1,DNA Damage
4.3322983,15.355124,3,Cytoskeletal Signaling
4.628152,16.42304,3,DNA Damage
-3.6122181,11.611765,1,Cell Cycle
14.75366,4.5030675,0,MAPK
15.57208,9.546751,5,MAPK
15.875419,6.869621,0,MAPK
-8.716745,7.3415904,4,Cell Cycle
4.919175,16.230986,3,DNA Damage
-9.515916,8.159864,4,Cell Cycle
14.699362,1.2790738,6,MAPK
5.214936,16.898869,3,DNA Damage
-8.7538395,5.553843,4,Cell Cycle
20.481283,5.413775,2,PI3K/Akt/mTOR
22.33021,5.0671587,2,PI3K/Akt/mTOR
17.067726,13.480376,5,MAPK
15.355532,8.104246,0,PI3K/Akt/mTOR
-7.795419,5.4439154,4,Cell Cycle
2.7298794,18.195593,3,DNA Damage
17.840725,10.974154,5,MAPK
-8.3540745,4.088629,4,Apoptosis
2.6416583,16.768593,3,Cytoskeletal Signaling
17.61557,4.660119,2,PI3K/Akt/mTOR
21.40616,4.2283745,2,MAPK
16.392567,13.453873,5,MAPK
17.967966,4.190814,2,PI3K/Akt/mTOR
-2.2935197,8.173174,4,Apoptosis
21.710339,3.2046819,2,Apoptosis
18.207973,1.6365844,6,MAPK
16.71417,1.7781031,6,MAPK
-0.6353093,8.222194,4,DNA Damage
19.822538,8.37306,2,MAPK
17.28817,3.2797732,6,PI3K/Akt/mTOR
-2.941528,8.896504,4,Apoptosis
15.404846,9.103687,5,MAPK
-7.4530897,6.145309,4,Cell Cycle
18.753859,11.869366,5,PI3K/Akt/mTOR
17.575575,7.117916,2,MAPK
3.9223194,12.4059725,3,MAPK
1.9351022,14.387245,3,DNA Damage
-9.166819,7.0371523,4,Cell Cycle
6.096786,17.4657,3,DNA Damage
14.876544,7.002215,0,MAPK
16.783978,7.0149527,0,MAPK
-5.8141456,7.1418552,4,Cytoskeletal Signaling
19.021727,3.9417453,2,PI3K/Akt/mTOR
3.6543076,16.186735,3,Cytoskeletal Signaling
-7.9165263,4.800729,4,Cell Cycle
-8.905955,8.297975,4,Cell Cycle
18.476852,0.39153486,6,MAPK
-7.063538,8.789433,4,Cell Cycle
17.196457,10.438988,5,MAPK
-2.6557057,9.515581,4,Apoptosis
15.193567,5.906576,0,PI3K/Akt/mTOR
16.018185,1.9449232,6,MAPK
-4.264405,8.71273,4,Apoptosis
19.288437,9.343914,2,PI3K/Akt/mTOR
-0.9094731,16.54027,3,Apoptosis
3.342409,17.864285,3,DNA Damage
20.75138,8.456034,2,MAPK
-2.9686859,7.3713965,4,Apoptosis
17.584095,2.3445203,6,MAPK
-3.653632,12.335563,1,Cell Cycle
23.455698,6.1641264,2,PI3K/Akt/mTOR
16.809597,-1.7704995,6,MAPK
4.7576556,17.628126,3,DNA Damage
15.686215,4.1349216,6,MAPK
14.78634,7.72121,0,MAPK
-9.773151,7.4279737,4,Cell Cycle
-0.23169018,14.93317,3,Cytoskeletal Signaling
16.766754,10.086523,5,MAPK
-9.391264,5.6177344,4,Cell Cycle
13.683505,8.664026,0,MAPK
6.123782,10.401163,3,DNA Damage
-1.537664,13.173848,1,DNA Damage
0.88828516,17.043877,3,Cytoskeletal Signaling
6.762144,14.071576,3,DNA Damage
17.190987,7.517547,0,MAPK
14.278024,14.680043,5,MAPK
4.0089493,16.850842,3,Cytoskeletal Signaling
3.7209208,18.2941,3,MAPK
-9.68724,4.9025164,4,Cell Cycle
-8.912828,5.0568814,4,Cell Cycle
13.8088255,1.7410945,6,MAPK
-9.623482,9.8731785,4,Cell Cycle
14.543966,10.240192,5,MAPK
20.733625,5.9915032,2,PI3K/Akt/mTOR
20.130087,4.676171,2,PI3K/Akt/mTOR
14.60334,2.7951717,6,PI3K/Akt/mTOR
15.224605,10.4063015,5,MAPK
14.351641,6.136222,0,PI3K/Akt/mTOR
-7.705282,8.9593315,4,Cell Cycle
5.9074497,15.460287,3,DNA Damage
13.482549,6.403106,0,MAPK
-8.324339,5.4875236,4,Apoptosis
23.35864,6.7184944,2,MAPK
2.822283,16.09217,3,Cytoskeletal Signaling
21.252956,4.9120135,2,PI3K/Akt/mTOR
14.196012,1.9896566,6,MAPK
19.214777,5.955889,2,PI3K/Akt/mTOR
19.49992,4.8439302,2,PI3K/Akt/mTOR
-2.7503939,9.951324,4,Apoptosis
4.7652197,15.277869,3,Cytoskeletal Signaling
22.815098,5.3552713,2,MAPK
-6.3632436,9.358097,4,Cell Cycle
15.42204,2.3232977,6,MAPK
-1.5636798,8.197932,4,DNA Damage
-3.3564727,8.51098,4,Apoptosis
14.726513,9.453259,5,MAPK
21.298866,5.3763814,2,PI3K/Akt/mTOR
4.6670475,12.53565,3,MAPK
-8.999726,4.4080205,4,Apoptosis
8.823504,15.405285,3,MAPK
4.4719267,13.159784,3,MAPK
1.1190575,15.096596,3,DNA Damage
15.590177,11.37119,5,MAPK
17.08477,0.9523859,6,MAPK
15.937515,3.4653752,6,MAPK
-8.528216,4.884804,4,Cell Cycle
17.001127,14.0289955,5,MAPK
14.321658,8.80278,0,MAPK
21.458796,5.8965983,2,PI3K/Akt/mTOR
3.106914,16.925793,3,Cytoskeletal Signaling
-8.176414,6.3976073,4,Cell Cycle
-9.179268,6.2117624,4,Cell Cycle
22.093525,3.8903828,2,MAPK
-9.822398,8.755675,4,Cell Cycle
16.66943,11.504296,5,MAPK
-3.4402392,9.53369,4,Apoptosis
18.187578,12.087961,5,PI3K/Akt/mTOR
15.65856,1.5418612,6,MAPK
-4.3273344,8.140779,4,Apoptosis
17.620876,12.18051,5,PI3K/Akt/mTOR
-3.9111469,14.761299,1,Apoptosis
1.5251167,17.366243,3,DNA Damage
5.8237047,16.574436,3,DNA Damage
-3.2732587,7.746489,4,Apoptosis
14.570154,3.8391297,6,MAPK
