Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Nutli_3.0,0.5843322632755698,Nutli,3.0,HCT116,replicate
Olapa_3.0,0.43353365796819654,Olapa,3.0,HCT116,replicate
Oxali_3.0,0.6752502878745348,Oxali,3.0,HCT116,replicate
PD032_3.0,0.5661661608076651,PD032,3.0,HCT116,replicate
PI-10_3.0,0.5231571296642338,PI-10,3.0,HCT116,replicate
Pacli_3.0,0.671034279059311,Pacli,3.0,HCT116,replicate
Palbo_3.0,0.6564329323493672,Palbo,3.0,HCT116,replicate
Phenf_3.0,0.09367370950111262,Phenf,3.0,HCT116,replicate
Rabus_3.0,0.2951798239174551,Rabus,3.0,HCT116,replicate
Regor_3.0,0.6724947090748243,Regor,3.0,HCT116,replicate
Ruxol_3.0,0.3085142218456477,Ruxol,3.0,HCT116,replicate
SB216_3.0,0.16904738082251744,SB216,3.0,HCT116,replicate
SB505_3.0,0.3271524295262498,SB505,3.0,HCT116,replicate
SN-38_3.0,0.7562128283925067,SN-38,3.0,HCT116,replicate
Sapit_3.0,0.12454494542920401,Sapit,3.0,HCT116,replicate
Soraf_3.0,0.6977257966055933,Soraf,3.0,HCT116,replicate
Tanes_3.0,0.663419559503842,Tanes,3.0,HCT116,replicate
Tasel_3.0,0.6120750499002114,Tasel,3.0,HCT116,replicate
Temoz_3.0,0.11745261783543914,Temoz,3.0,HCT116,replicate
Trame_3.0,0.5420856451828573,Trame,3.0,HCT116,replicate
Trici_3.0,0.35490951981085983,Trici,3.0,HCT116,replicate
Trifl_3.0,0.6545507479254973,Trifl,3.0,HCT116,replicate
Velip_3.0,0.5187222843284186,Velip,3.0,HCT116,replicate
Vemur_3.0,0.3605258864139832,Vemur,3.0,HCT116,replicate
Vinor_3.0,0.7765775977893582,Vinor,3.0,HCT116,replicate
Vorin_3.0,0.3684474703997058,Vorin,3.0,HCT116,replicate
abema_3.0,0.6508597990132627,abema,3.0,HCT116,replicate
ABT-7_4.0,0.060521159675269734,ABT-7,4.0,HCT116,replicate
AMG23_4.0,0.8087865535695522,AMG23,4.0,HCT116,replicate
AZD45_4.0,0.7223459685610448,AZD45,4.0,HCT116,replicate
AZD77_4.0,,AZD77,4.0,HCT116,replicate
AZD80_4.0,0.6719902532856263,AZD80,4.0,HCT116,replicate
Adavo_4.0,0.6967352851789517,Adavo,4.0,HCT116,replicate
