drug_a,drug_b,s2,s3,cls_a,cls_b,pair_class
5Z-7-OXOZEAENOL,Linsitinib (OSI-906),-0.13583737995934,0.648954038991497,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,MK-2206 2HCl,0.4031887768338377,0.4135568201041273,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Miglitol,-0.1894056533511954,-0.1930445742163351,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Navitoclax (ABT-263),-0.0045757924953165,0.4635056789828843,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Nutlin-3,0.1805453247534821,0.2244112312834585,MAPK inhibitor,MDM2 inhibitor,Other
5Z-7-OXOZEAENOL,"Olaparib (AZD2281, Ku-0059436)",0.1550484281313403,-0.0356277881635269,MAPK inhibitor,PARP inhibitor,Other
5Z-7-OXOZEAENOL,Oxaliplatin,0.3072156340089986,0.7158497482494727,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,PI-103,0.0217192385288347,0.5566238750151952,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Paclitaxel,0.3809110527768631,0.4571007761775214,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Palbociclib (PD-0332991) HCl,0.1948528232031295,0.2298746755116091,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Phenformin HCl,0.0747881216167285,0.2502757642217026,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Rabusertib (LY2603618),0.4792927591454374,0.2414458626301724,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Regorafenib (BAY 73-4506),0.0725617748876811,0.6713599653954966,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Ruxolitinib (INCB018424),0.2951224220975271,-0.2882118687167077,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,SB216763,0.0814135348242475,0.1548268500151858,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,SB505124,0.6556595032843451,0.3549246852385746,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,SN-38,0.2914387048508296,0.6065599712684525,MAPK inhibitor,Topo I inhibitor,Other
5Z-7-OXOZEAENOL,Sapitinib (AZD8931),-0.1317521045562037,0.0209433264414403,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Tanespimycin (17-AAG),0.3784772398044842,0.5695851615766158,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Taselisib (GDC 0032),0.0153570435206695,0.6341396159872721,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Temozolomide,0.1166418057584748,-0.2576781745424765,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Triciribine,-0.0258235911154055,0.0027015239081153,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,Trifluridine,0.1470652129208702,0.2032125463108343,MAPK inhibitor,Antimetabolite,Other
5Z-7-OXOZEAENOL,Veliparib (ABT-888),0.009015683442984,0.1335947408358115,MAPK inhibitor,PARP inhibitor,Other
5Z-7-OXOZEAENOL,Vinorelbine Tartrate,0.2808287928408465,0.527902439168291,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,"Vorinostat (SAHA, MK0683)",0.2406696510831124,0.4864521868227284,MAPK inhibitor,Other,Other
5Z-7-OXOZEAENOL,abemaciclib (LY2835219),0.1649795365126161,0.226774024092319,MAPK inhibitor,Other,Other
ABT-737,AMG232 (Navtemadlin),0.0750916275692062,-0.070715890325144,Other,MDM2 inhibitor,Other
ABT-737,AZD4547,0.616689994978497,-0.2352504394432572,Other,Other,Other
ABT-737,AZD7762,0.2686426817620738,-0.3179827212684514,Other,Other,Other
ABT-737,AZD8055,0.6136452607462272,0.0191540122182814,Other,Other,Other
ABT-737,Adavosertib （MK-1775）,0.3908353176527733,-0.1572378859529051,Other,Other,Other
ABT-737,Afatinib (BIBW2992),0.5601436093970549,-0.4286722714424667,Other,Other,Other
ABT-737,Alpelisib (BYL719),0.7420871777899322,-0.2825397400415872,Other,Other,Other
ABT-737,BMS-754807,0.3466959471085788,-0.1698385936848256,Other,Other,Other
ABT-737,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0.5939272236132991,-0.223368427421906,Other,MAPK inhibitor,Other
ABT-737,"Cobimetinib (GDC-0973, RG7420)",0.2954303516526416,-0.4798188598230886,Other,MAPK inhibitor,Other
ABT-737,Crizotinib (PF-02341066),0.2421146631909112,-0.3897042678805829,Other,Other,Other
ABT-737,Dabrafenib (GSK2118436),0.7259647161039217,0.0127128941311762,Other,MAPK inhibitor,Other
ABT-737,Doramapimod (BIRB 796),-0.1515004342709278,0.5900099706498743,Other,MAPK inhibitor,Other
ABT-737,Encorafenib (LGX818),0.7133447780095706,-0.3473759901531764,Other,MAPK inhibitor,Other
ABT-737,"Fluorouracil (5-Fluoracil, 5-FU)",-0.3529510875223044,-0.2224783044103364,Other,Antimetabolite,Other
ABT-737,Gefitinib (ZD1839),0.6293434720884087,-0.12656545327315,Other,Other,Other
ABT-737,Gemcitabine,-0.3105319939036981,-0.157085638910799,Other,Antimetabolite,Other
ABT-737,LGK-974,-0.150708477695756,-0.466622408049065,Other,Other,Other
ABT-737,Linsitinib (OSI-906),0.0312975659983085,-0.1733640926488364,Other,Other,Other
ABT-737,MK-2206 2HCl,0.4508221383671304,-0.4138989004591284,Other,Other,Other
ABT-737,Miglitol,0.0558962325105444,0.7006666278438569,Other,Other,Other
ABT-737,Navitoclax (ABT-263),0.0800706420226034,-0.0090528396593309,Other,Other,Other
ABT-737,Nutlin-3,0.0193454303866657,0.1228049458852508,Other,MDM2 inhibitor,Other
ABT-737,"Olaparib (AZD2281, Ku-0059436)",-0.3669450546740454,0.4565139903447898,Other,PARP inhibitor,Other
ABT-737,Oxaliplatin,0.184807725625876,-0.2451072406717389,Other,Other,Other
ABT-737,PD0325901,0.4446339597264938,-0.3621946174350262,Other,MAPK inhibitor,Other
ABT-737,PI-103,0.7290859006015926,-0.0341750458609513,Other,Other,Other
ABT-737,Paclitaxel,0.3750391472490247,-0.3767357284301382,Other,Other,Other
ABT-737,Palbociclib (PD-0332991) HCl,-0.1240139891845416,-0.1332114533317928,Other,Other,Other
ABT-737,Phenformin HCl,-0.1918776733534961,0.1749407092454223,Other,Other,Other
ABT-737,Rabusertib (LY2603618),0.1551424733229112,0.2597651048574523,Other,Other,Other
ABT-737,Regorafenib (BAY 73-4506),0.6439000113800913,-0.2918925709881005,Other,Other,Other
ABT-737,Ruxolitinib (INCB018424),0.0411735563889735,0.6770344066605518,Other,Other,Other
ABT-737,SB216763,0.6676510772293468,0.5102656860544331,Other,Other,Other
ABT-737,SB505124,0.231428745146699,0.1903602074746722,Other,Other,Other
ABT-737,SN-38,-0.179558622561143,-0.2701888788439229,Other,Topo I inhibitor,Other
ABT-737,Sapitinib (AZD8931),0.797544500392987,-0.0127650958967196,Other,Other,Other
ABT-737,Sorafenib,0.5698096551361148,-0.4146985944238011,Other,MAPK inhibitor,Other
ABT-737,Tanespimycin (17-AAG),0.3583276249547683,-0.1889754832164481,Other,Other,Other
ABT-737,Taselisib (GDC 0032),0.7430470423541102,-0.2347969915135284,Other,Other,Other
ABT-737,Temozolomide,0.4675469485571561,0.6653365230899776,Other,Other,Other
ABT-737,Trametinib (GSK1120212),0.2911121058930681,-0.0051353651471851,Other,MAPK inhibitor,Other
ABT-737,Triciribine,-0.2893426080493197,0.0230987362782162,Other,Other,Other
ABT-737,Trifluridine,-0.4073549463694971,0.1050420200247871,Other,Antimetabolite,Other
ABT-737,Veliparib (ABT-888),-0.3455145142293529,0.2492339496090509,Other,PARP inhibitor,Other
ABT-737,"Vemurafenib (PLX4032, RG7204)",0.3327942027904729,0.207794707305114,Other,MAPK inhibitor,Other
ABT-737,Vinorelbine Tartrate,0.2071147698092532,-0.1651526999057721,Other,Other,Other
ABT-737,"Vorinostat (SAHA, MK0683)",0.0789892690586351,-0.1357815146066521,Other,Other,Other
ABT-737,abemaciclib (LY2835219),-0.0649442423060894,-0.1539195100924083,Other,Other,Other
AMG232 (Navtemadlin),AZD4547,0.3687252622130689,0.3842004102351946,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),AZD7762,0.297561350015015,0.4851558824206068,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),AZD8055,-0.0447508186918812,-0.122813793754796,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Adavosertib （MK-1775）,0.5820637039910685,0.3602724543679924,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Afatinib (BIBW2992),0.485694748913386,0.2340713516696203,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Alpelisib (BYL719),0.0483661081849024,-0.0134759295808125,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),BMS-754807,0.6478280555919287,0.7224482543362791,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0.1343542056303964,-0.0155731778007416,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),"Cobimetinib (GDC-0973, RG7420)",0.430737141952745,-0.0093353105894371,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),Crizotinib (PF-02341066),0.5707537362010628,0.339223758820338,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Dabrafenib (GSK2118436),0.0012809850061703,0.0628086058785266,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),Doramapimod (BIRB 796),-0.1245914370050175,0.0434964721268485,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),Encorafenib (LGX818),0.2479602890886503,-0.109510302978769,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),Gefitinib (ZD1839),0.1219154728849629,0.0743517422174918,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),LGK-974,0.2083460124226506,-0.2910512411648505,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Linsitinib (OSI-906),-0.2035339100612338,0.0679632552696588,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),MK-2206 2HCl,0.0769097227145605,-0.0781378347541516,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Miglitol,0.0349695025975702,0.0026295428532285,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Navitoclax (ABT-263),-0.4212242221459632,-0.0596821727222559,MDM2 inhibitor,Other,Other
