,Drug1,Drug2,sim_2D,sim_3D,pair_class
141,AZD80,Dabra,0.6067359451421819,0.6740030489089216,Other
142,AZD80,Encor,0.8461201584392194,0.6846166587796217,Other
143,AZD80,Fluor,0.1001024347242854,0.0760690724735279,Other
144,AZD80,Gefit,0.5037051929864375,0.5640135668207181,Other
145,AZD80,Gemci,0.0880310375824832,0.2265061765755546,Other
146,AZD80,MK-22,0.6836015097300874,0.4578109360705618,Other
147,AZD80,Nutli,-0.0861544141859245,-0.0286655801746467,Other
148,AZD80,Olapa,-0.0537425983321092,0.0625917301346836,Other
149,AZD80,Oxali,0.3522363993435519,0.54152383521898,Other
150,AZD80,PD032,0.65842137785506,0.6769419809993822,Other
151,AZD80,PI-10,0.9177642529238949,0.7752427540686628,Other
152,AZD80,Pacli,0.6205277406820431,0.5762135622316575,Other
153,AZD80,Palbo,0.2285238041371793,-0.1719236605770703,Other
154,AZD80,Regor,0.5989434958372892,0.4819630153702196,Other
155,AZD80,SB505,0.5737580389212986,0.2733182734030301,Other
156,AZD80,SN-38,0.3187013985595437,0.4165574689617644,Other
157,AZD80,Soraf,0.5418508045009818,0.6395902016989858,Other
158,AZD80,Tanes,0.5166476746774766,0.5612331748393504,Other
159,AZD80,Tasel,0.784317385634373,0.7979163376250236,Other
160,AZD80,Trame,0.6529253753265369,0.6868729055168608,Other
161,AZD80,Trifl,-0.0479819054108637,0.0140603885636677,Other
162,AZD80,Vinor,0.5209023401886785,0.2919678903323814,Other
163,AZD80,Vorin,0.3371679747331131,0.3312277953947342,Other
164,AZD80,abema,0.3192552668143401,0.1036730808967119,Other
165,Adavo,Afati,0.8464749445872743,0.6107847933115659,Other
166,Adavo,Alpel,0.760975861589437,0.5417427222702538,Other
167,Adavo,BMS-7,0.7766921313967324,0.7649755656275439,Other
168,Adavo,Binim,0.7401350512980223,0.5675001971063721,Other
169,Adavo,Cobim,0.7376714954614982,0.5711234004043415,Other
170,Adavo,Crizo,0.7733018870715561,0.5915667741130678,Other
171,Adavo,Dabra,0.7683147949304234,0.6048852239948451,Other
172,Adavo,Encor,0.8306710632953975,0.5058802798322057,Other
173,Adavo,Fluor,0.3321119846307587,0.5531266038576883,Other
174,Adavo,Gefit,0.4963289014839317,0.5058427365774385,Other
175,Adavo,Gemci,0.4051810545994185,0.7347754233280065,Other
176,Adavo,MK-22,0.4498554351983161,0.3474908093251749,Other
177,Adavo,Nutli,0.5288264334615952,0.602951387695543,Other
178,Adavo,Olapa,0.2451833920913121,0.4656952852344045,Other
179,Adavo,Oxali,0.6705281389952104,0.7277574062685437,Other
180,Adavo,PD032,0.7113533241253212,0.6094018152706719,Other
181,Adavo,PI-10,0.836078308923886,0.5070574782687104,Other
182,Adavo,Pacli,0.8532306023023133,0.8107001963512752,Other
183,Adavo,Palbo,0.7036280653271331,0.3638491705631221,Other
184,Adavo,Regor,0.6249155692472669,0.4290512791446856,Other
185,Adavo,SB505,0.640339206704105,0.600535239899727,Other
186,Adavo,SN-38,0.6147475917930513,0.8345002206315308,Other
187,Adavo,Soraf,0.6825041006825865,0.6163710951183949,Other
188,Adavo,Tanes,0.8323740348627665,0.5810628730825171,Other
189,Adavo,Tasel,0.7650426951179397,0.6897694890987836,Other
190,Adavo,Trame,0.7412620007761679,0.6679167038046182,Other
191,Adavo,Trifl,0.2554343380623761,0.7125370813290015,Other
192,Adavo,Vinor,0.7483241826780729,0.7605856447258809,Other
193,Adavo,Vorin,0.7117784159206282,0.6160407734703259,Other
194,Adavo,abema,0.7556941983202609,0.5801122994507925,Other
195,Afati,Alpel,0.6316406103500157,0.7312516951481514,Other
196,Afati,BMS-7,0.6119589092751704,0.5575535637471398,Other
197,Afati,Binim,0.7926876653708068,0.6872127179699079,Other
198,Afati,Cobim,0.7635603848009901,0.7058679057626327,Other
199,Afati,Crizo,0.7004557761310373,0.6560169792163015,Other
200,Afati,Dabra,0.7034910860177408,0.8083513413506624,Other
201,Afati,Encor,0.8984500161016258,0.7748327055238831,Other
202,Afati,Fluor,0.2091866516213398,0.3942456721794413,Other
203,Afati,Gefit,0.7233573212715102,0.7883031705064729,Other
204,Afati,Gemci,0.1912808631507222,0.426387390109366,Other
205,Afati,MK-22,0.5212408545994656,0.6039659960729138,Other
