umap1,umap2,kmeans_cluster,pathway
35.677547,14.892936,3,PI3K/Akt/mTOR
32.400913,14.506921,1,Cytoskeletal Signaling
35.39612,12.041589,3,Protein Tyrosine Kinase
34.31783,8.361134,3,Cell Cycle
28.05348,14.911817,1,Protein Tyrosine Kinase
31.583227,13.953061,1,Cytoskeletal Signaling
25.441977,16.344213,4,Cell Cycle
37.86791,22.936325,2,MAPK
35.661266,9.040976,3,Protein Tyrosine Kinase
34.39054,15.744728,3,Protein Tyrosine Kinase
32.252842,15.306971,1,PI3K/Akt/mTOR
29.22088,7.4665294,1,DNA Damage
30.317612,18.810354,2,PI3K/Akt/mTOR
-11.784197,14.118952,0,DNA Damage
33.460625,10.289184,3,Protein Tyrosine Kinase
28.687664,13.37102,1,Protein Tyrosine Kinase
40.46038,22.050034,5,MAPK
-9.729802,13.177211,0,DNA Damage
-11.64191,10.773332,0,PI3K/Akt/mTOR
-12.50669,11.220196,0,PI3K/Akt/mTOR
-8.57287,11.232028,0,DNA Damage
33.883625,9.341496,3,Cell Cycle
37.728096,13.719263,3,Protein Tyrosine Kinase
33.41028,15.738901,3,PI3K/Akt/mTOR
26.12568,14.841163,4,Cell Cycle
31.482489,16.694788,2,PI3K/Akt/mTOR
-10.763023,11.939989,0,DNA Damage
29.976128,18.050285,2,MAPK
37.08821,13.011861,3,Protein Tyrosine Kinase
-11.772643,12.567783,0,DNA Damage
33.294613,22.269793,2,Protein Tyrosine Kinase
-8.76311,12.8013315,0,DNA Damage
31.381624,21.792933,2,Protein Tyrosine Kinase
36.5402,15.536476,3,MAPK
30.504173,10.9979,1,Protein Tyrosine Kinase
38.833294,23.148415,5,MAPK
35.298115,13.099483,3,MAPK
34.592087,11.1557045,3,MAPK
40.55409,17.310642,5,MAPK
28.093302,8.153324,1,DNA Damage
23.802898,14.164351,4,Cytoskeletal Signaling
34.1864,11.631,3,Protein Tyrosine Kinase
29.812992,7.4548793,1,DNA Damage
34.285725,13.552393,3,Protein Tyrosine Kinase
31.46439,11.181562,1,Protein Tyrosine Kinase
32.418346,21.104553,2,Protein Tyrosine Kinase
-8.132252,13.130369,0,DNA Damage
33.918037,16.940683,2,PI3K/Akt/mTOR
23.545294,16.783358,4,Cell Cycle
33.87395,8.8191,3,Cell Cycle
36.134563,10.432242,3,Protein Tyrosine Kinase
34.9686,17.425543,2,Protein Tyrosine Kinase
33.48929,18.994814,2,Protein Tyrosine Kinase
35.18574,16.806503,2,Protein Tyrosine Kinase
33.14956,16.773275,2,PI3K/Akt/mTOR
-9.1776905,12.884883,0,DNA Damage
34.582314,21.838184,2,Protein Tyrosine Kinase
38.64796,12.181109,3,Cytoskeletal Signaling
26.051693,17.060234,4,Cell Cycle
-8.489512,10.451176,0,DNA Damage
